s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7801;3.55;51.5667;0;106;21;60;1868;122
7929;6.46667;51.95;0;106;21;60;1868;114
7612;6.18333;52.85;0;106;21;60;1869;109
7801;3.55;51.5667;0;106;21;60;1869;110
7929;6.46667;51.95;0;106;21;60;1869;106
7475;3.43333;51.2833;0;106;21;60;1870;125
7801;3.55;51.5667;0;106;21;60;1870;115
7929;6.46667;51.95;0;106;21;60;1870;114
7475;3.43333;51.2833;0;106;21;60;1871;134
7612;6.18333;52.85;0;106;21;60;1871;113
7706;5.4;51.8;0;106;21;60;1871;88
7801;3.55;51.5667;0;106;21;60;1871;117
7929;6.46667;51.95;0;106;21;60;1871;112
7797;5.96667;52.2;0;106;21;60;1872;133
7801;3.55;51.5667;0;106;21;60;1872;101
7881;5.8;51.8833;0;106;21;60;1872;106
7923;5.11667;52.1;0;106;21;60;1872;136
7801;3.55;51.5667;0;106;21;60;1873;119
7923;5.11667;52.1;0;106;21;60;1873;126
7929;6.46667;51.95;0;106;21;60;1873;104
7801;3.55;51.5667;0;106;21;60;1874;126
7923;5.11667;52.1;0;106;21;60;1874;99
7929;6.46667;51.95;0;106;21;60;1874;109
7612;6.18333;52.85;0;106;21;60;1875;123
7706;5.4;51.8;0;106;21;60;1875;107
7801;3.55;51.5667;0;106;21;60;1875;126
7929;6.46667;51.95;0;106;21;60;1875;122
7990;4.83333;52.4333;0;106;21;60;1875;125
7797;5.96667;52.2;0;106;21;60;1876;64
7801;3.55;51.5667;0;106;21;60;1876;127
7923;5.11667;52.1;0;106;21;60;1876;77
7929;6.46667;51.95;0;106;21;60;1876;111
7801;3.55;51.5667;0;106;21;60;1877;126
7923;5.11667;52.1;0;106;21;60;1877;48
7929;6.46667;51.95;0;106;21;60;1880;106
7697;5.91667;52.5667;0;106;21;60;1884;141
7881;5.8;51.8833;0;106;21;60;1884;138
7929;6.46667;51.95;0;106;21;60;1884;92
7934;5.96667;52;0;106;21;60;1884;107
7929;6.46667;51.95;0;106;21;60;1885;112
7934;5.96667;52;0;106;21;60;1885;98
7962;6.21667;51.9667;0;106;21;60;1890;104
7729;6.13333;51.8667;0;106;21;60;1893;99
7962;6.21667;51.9667;0;106;21;60;1893;99
7492;5.91667;51.9833;0;106;20;60;1894;92
7499;5.88333;51.2167;0;106;20;60;1894;96
7515;4.3;51.5;0;106;20;60;1894;98
7548;5.18333;52.1167;0;106;20;60;1894;98
7635;6.56667;53.2167;0;106;20;60;1894;101
7641;4.26667;51.5333;0;106;20;60;1894;97
7814;4.51667;51.5833;0;106;20;60;1894;95
7857;4.28333;52.1;0;106;20;60;1894;105
7867;4.3;52.0833;0;106;20;60;1894;110
7899;4.76667;52.8333;0;106;20;60;1894;106
7954;5.68333;51.9667;0;106;20;60;1894;87
7492;5.91667;51.9833;0;106;20;60;1895;108
7515;4.3;51.5;0;106;20;60;1895;107
7559;4.8;53.05;0;106;20;60;1895;121
7635;6.56667;53.2167;0;106;20;60;1895;118
7645;5.63333;52.35;0;106;20;60;1895;113
7704;5.38333;51.9;0;106;20;60;1895;69
7742;5.68333;50.85;0;106;20;60;1895;109
7763;5.88333;51.75;0;106;20;60;1895;114
7814;4.51667;51.5833;0;106;20;60;1895;112
7857;4.28333;52.1;0;106;20;60;1895;120
7901;7.06667;52.8833;0;106;20;60;1895;108
7954;5.68333;51.9667;0;106;20;60;1895;110
7956;6.56667;53.3833;0;106;20;60;1895;130
8000;6.9;52.75;0;106;20;60;1895;106
7488;4.9;52.3667;0;106;20;60;1896;108
7492;5.91667;51.9833;0;106;20;60;1896;116
7499;5.88333;51.2167;0;106;20;60;1896;106
7515;4.3;51.5;0;106;20;60;1896;110
7559;4.8;53.05;0;106;20;60;1896;124
7566;6.16667;52.2667;0;106;20;60;1896;111
7645;5.63333;52.35;0;106;20;60;1896;108
7647;6.63333;53.15;0;106;20;60;1896;111
7742;5.68333;50.85;0;106;20;60;1896;115
7763;5.88333;51.75;0;106;20;60;1896;106
7814;4.51667;51.5833;0;106;20;60;1896;101
7857;4.28333;52.1;0;106;20;60;1896;127
7954;5.68333;51.9667;0;106;20;60;1896;118
7956;6.56667;53.3833;0;106;20;60;1896;106
7996;4.58333;52.0167;0;106;20;60;1896;126
8000;6.9;52.75;0;106;20;60;1896;106
7488;4.9;52.3667;0;106;20;60;1897;108
7492;5.91667;51.9833;0;106;20;60;1897;110
7499;5.88333;51.2167;0;106;20;60;1897;94
7515;4.3;51.5;0;106;20;60;1897;111
7566;6.16667;52.2667;0;106;20;60;1897;116
7635;6.56667;53.2167;0;106;20;60;1897;115
7645;5.63333;52.35;0;106;20;60;1897;105
7742;5.68333;50.85;0;106;20;60;1897;89
7814;4.51667;51.5833;0;106;20;60;1897;100
7857;4.28333;52.1;0;106;20;60;1897;119
7909;4.76667;53.1;0;106;20;60;1897;120
7920;6.73333;53.4167;0;106;20;60;1897;117
7956;6.56667;53.3833;0;106;20;60;1897;110
7996;4.58333;52.0167;0;106;20;60;1897;121
8000;6.9;52.75;0;106;20;60;1897;107
8005;6.2;52.15;0;106;20;60;1897;116
7492;5.91667;51.9833;0;106;20;60;1898;117
7499;5.88333;51.2167;0;106;20;60;1898;111
7515;4.3;51.5;0;106;20;60;1898;117
7635;6.56667;53.2167;0;106;20;60;1898;100
7645;5.63333;52.35;0;106;20;60;1898;109
7742;5.68333;50.85;0;106;20;60;1898;104
7814;4.51667;51.5833;0;106;20;60;1898;110
7857;4.28333;52.1;0;106;20;60;1898;123
7909;4.76667;53.1;0;106;20;60;1898;123
7920;6.73333;53.4167;0;106;20;60;1898;121
7954;5.68333;51.9667;0;106;20;60;1898;116
7996;4.58333;52.0167;0;106;20;60;1898;121
8000;6.9;52.75;0;106;20;60;1898;109
7492;5.91667;51.9833;0;106;20;60;1899;113
7566;6.16667;52.2667;0;106;20;60;1899;120
7635;6.56667;53.2167;0;106;20;60;1899;99
7645;5.63333;52.35;0;106;20;60;1899;119
7742;5.68333;50.85;0;106;20;60;1899;106
7909;4.76667;53.1;0;106;20;60;1899;131
7920;6.73333;53.4167;0;106;20;60;1899;125
7954;5.68333;51.9667;0;106;20;60;1899;118
7996;4.58333;52.0167;0;106;20;60;1899;132
8000;6.9;52.75;0;106;20;60;1899;111
7488;4.9;52.3667;0;106;20;60;1900;113
7566;6.16667;52.2667;0;106;20;60;1900;113
7635;6.56667;53.2167;0;106;20;60;1900;114
7645;5.63333;52.35;0;106;20;60;1900;113
7814;4.51667;51.5833;0;106;20;60;1900;119
7857;4.28333;52.1;0;106;20;60;1900;122
