s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7801;3.55;51.5667;0;107;0;11;1868;109
8001;6.86667;53.1667;0;107;0;11;1868;99
7686;4.9;51.65;0;107;0;11;1869;91
7801;3.55;51.5667;0;107;0;11;1869;105
7929;6.46667;51.95;0;107;0;11;1869;103
7801;3.55;51.5667;0;107;0;11;1870;124
7929;6.46667;51.95;0;107;0;11;1870;115
7612;6.18333;52.85;0;107;0;11;1871;121
7706;5.4;51.8;0;107;0;11;1871;100
7801;3.55;51.5667;0;107;0;11;1871;101
7929;6.46667;51.95;0;107;0;11;1871;98
7612;6.18333;52.85;0;107;0;11;1872;93
7706;5.4;51.8;0;107;0;11;1872;97
7801;3.55;51.5667;0;107;0;11;1872;87
7923;5.11667;52.1;0;107;0;11;1872;76
7929;6.46667;51.95;0;107;0;11;1872;98
7475;3.43333;51.2833;0;107;0;11;1873;81
7706;5.4;51.8;0;107;0;11;1873;98
7801;3.55;51.5667;0;107;0;11;1873;112
7923;5.11667;52.1;0;107;0;11;1873;76
7929;6.46667;51.95;0;107;0;11;1873;106
7706;5.4;51.8;0;107;0;11;1874;97
7923;5.11667;52.1;0;107;0;11;1874;104
7929;6.46667;51.95;0;107;0;11;1874;108
7475;3.43333;51.2833;0;107;0;11;1875;116
7706;5.4;51.8;0;107;0;11;1875;103
7801;3.55;51.5667;0;107;0;11;1875;113
7929;6.46667;51.95;0;107;0;11;1875;113
7475;3.43333;51.2833;0;107;0;11;1876;70
7706;5.4;51.8;0;107;0;11;1876;70
7801;3.55;51.5667;0;107;0;11;1876;111
7929;6.46667;51.95;0;107;0;11;1876;102
7475;3.43333;51.2833;0;107;0;11;1877;109
7801;3.55;51.5667;0;107;0;11;1877;123
7929;6.46667;51.95;0;107;0;11;1877;102
7475;3.43333;51.2833;0;107;0;11;1878;45
7923;5.11667;52.1;0;107;0;11;1879;94
7990;4.83333;52.4333;0;107;0;11;1884;93
7990;4.83333;52.4333;0;107;0;11;1885;108
7990;4.83333;52.4333;0;107;0;11;1886;109
7990;4.83333;52.4333;0;107;0;11;1888;121
7990;4.83333;52.4333;0;107;0;11;1889;115
7699;3.95;51.4833;0;107;0;11;1891;63
7701;4.41667;52.2;0;107;0;11;1891;60
7962;6.21667;51.9667;0;107;0;11;1891;60
7990;4.83333;52.4333;0;107;0;11;1891;74
7990;4.83333;52.4333;0;107;0;11;1892;109
7990;4.83333;52.4333;0;107;0;11;1893;91
7990;4.83333;52.4333;0;107;0;11;1896;100
7230;2.355;41.638;195;107;0;11;1953;86
7230;2.355;41.638;195;107;0;11;1954;87
20451;19.5167;42.8333;944;107;0;11;1954;78
20452;18.9167;42.3833;640;107;0;11;1954;119
7230;2.355;41.638;195;107;0;11;1955;85
20452;18.9167;42.3833;640;107;0;11;1955;113
7230;2.355;41.638;195;107;0;11;1956;85
20451;19.5167;42.8333;944;107;0;11;1956;93
20451;19.5167;42.8333;944;107;0;11;1958;121
20451;19.5167;42.8333;944;107;0;11;1959;69
7230;2.355;41.638;195;107;0;11;1969;77
7230;2.355;41.638;195;107;0;11;1972;72
7230;2.355;41.638;195;107;0;11;1973;72
7230;2.355;41.638;195;107;0;11;1974;81
7230;2.355;41.638;195;107;0;11;1975;75
7230;2.355;41.638;195;107;0;11;1976;71
7230;2.355;41.638;195;107;0;11;1977;57
7230;2.355;41.638;195;107;0;11;1980;82
7230;2.355;41.638;195;107;0;11;1981;84
7230;2.355;41.638;195;107;0;11;1982;79
7230;2.355;41.638;195;107;0;11;1983;76
7230;2.355;41.638;195;107;0;11;1984;99
7230;2.355;41.638;195;107;0;11;1985;89
7230;2.355;41.638;195;107;0;11;1986;84
7230;2.355;41.638;195;107;0;11;1987;84
7230;2.355;41.638;195;107;0;11;1988;78
7230;2.355;41.638;195;107;0;11;1989;79
7230;2.355;41.638;195;107;0;11;1990;76
7230;2.355;41.638;195;107;0;11;1991;73
7230;2.355;41.638;195;107;0;11;1992;82
12224;-0.133;51.617;-1;107;0;11;1992;56
7230;2.355;41.638;195;107;0;11;1993;69
12224;-0.133;51.617;-1;107;0;11;1993;93
7230;2.355;41.638;195;107;0;11;1994;66
7230;2.355;41.638;195;107;0;11;1995;80
7230;2.355;41.638;195;107;0;11;1996;83
12224;-0.133;51.617;-1;107;0;11;1996;107
7230;2.355;41.638;195;107;0;11;1997;59
12224;-0.133;51.617;-1;107;0;11;1997;68
7230;2.355;41.638;195;107;0;11;1998;60
12224;-0.133;51.617;-1;107;0;11;1998;62
7230;2.355;41.638;195;107;0;11;1999;71
8547;-4.067;50.517;-1;107;0;11;1999;108
8645;-2.05;50.633;-1;107;0;11;1999;96
8950;0.15;50.767;-1;107;0;11;1999;103
9459;-0.117;50.933;-1;107;0;11;1999;82
9702;-3.083;51.017;-1;107;0;11;1999;82
10044;-3.2;51.133;-1;107;0;11;1999;84
10166;-0.833;51.183;-1;107;0;11;1999;77
10468;-0.817;51.267;-1;107;0;11;1999;87
10517;0.25;51.267;-1;107;0;11;1999;93
10563;-2.85;51.3;-1;107;0;11;1999;80
10667;-0.3;51.317;-1;107;0;11;1999;77
10799;0.15;51.333;-1;107;0;11;1999;104
10907;-0.767;51.367;-1;107;0;11;1999;82
11694;-3.25;51.517;-1;107;0;11;1999;84
12455;-2.217;51.683;-1;107;0;11;1999;101
12523;-0.717;51.7;-1;107;0;11;1999;87
12786;-1.317;51.767;-1;107;0;11;1999;42
12989;-1.033;51.833;-1;107;0;11;1999;87
13319;0.883;51.917;-1;107;0;11;1999;74
13774;-3.817;52.1;-1;107;0;11;1999;95
13976;-3.117;52.183;-1;107;0;11;1999;102
14145;0.067;52.233;-1;107;0;11;1999;92
