s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7801;3.55;51.5667;0;111;0;60;1868;133
7811;4.63333;52.2167;0;111;0;60;1868;134
7881;5.8;51.8833;0;111;0;60;1868;138
7929;6.46667;51.95;0;111;0;60;1868;130
7475;3.43333;51.2833;0;111;0;60;1869;152
7801;3.55;51.5667;0;111;0;60;1869;128
7929;6.46667;51.95;0;111;0;60;1869;126
7475;3.43333;51.2833;0;111;0;60;1870;159
7801;3.55;51.5667;0;111;0;60;1870;139
7811;4.63333;52.2167;0;111;0;60;1870;136
7929;6.46667;51.95;0;111;0;60;1870;138
7475;3.43333;51.2833;0;111;0;60;1871;154
7801;3.55;51.5667;0;111;0;60;1871;139
7929;6.46667;51.95;0;111;0;60;1871;143
7923;5.11667;52.1;0;111;0;60;1872;137
7801;3.55;51.5667;0;111;0;60;1873;134
7801;3.55;51.5667;0;111;0;60;1874;139
7923;5.11667;52.1;0;111;0;60;1874;139
7706;5.4;51.8;0;111;0;60;1875;131
7801;3.55;51.5667;0;111;0;60;1875;139
7828;5.6;52.2667;0;111;0;60;1875;137
7923;5.11667;52.1;0;111;0;60;1875;139
7929;6.46667;51.95;0;111;0;60;1875;131
7612;6.18333;52.85;0;111;0;60;1876;144
7801;3.55;51.5667;0;111;0;60;1876;147
7929;6.46667;51.95;0;111;0;60;1876;129
7801;3.55;51.5667;0;111;0;60;1877;135
7929;6.46667;51.95;0;111;0;60;1877;143
7569;3.5;51.5667;0;111;0;60;1884;63
8015;25.1;54.6333;142;111;0;60;1960;141
7195;23.5;54.9667;83;111;0;60;1961;124
7201;23.4667;55.2667;91;111;0;60;1961;152
7211;24.1667;56.0167;78;111;0;60;1961;141
7212;24.15;56.1;77;111;0;60;1961;130
8015;25.1;54.6333;142;111;0;60;1961;134
8016;23.5;54.4833;197;111;0;60;1961;140
19291;17.233;45.6;161;111;0;60;1961;102
19295;16.55;46.033;138;111;0;60;1961;104
19300;16.033;45.817;121;111;0;60;1961;103
7192;24.55;54.25;110;111;0;60;1962;138
7195;23.5;54.9667;83;111;0;60;1962;144
7201;23.4667;55.2667;91;111;0;60;1962;150
7202;21.4667;55.35;11;111;0;60;1962;146
7211;24.1667;56.0167;78;111;0;60;1962;152
7212;24.15;56.1;77;111;0;60;1962;137
7215;25.05;56.25;83;111;0;60;1962;140
8015;25.1;54.6333;142;111;0;60;1962;140
19293;15.4;44.533;566;111;0;60;1962;138
19295;16.55;46.033;138;111;0;60;1962;118
19300;16.033;45.817;121;111;0;60;1962;115
20452;18.9167;42.3833;640;111;0;60;1962;131
7201;23.4667;55.2667;91;111;0;60;1963;130
7202;21.4667;55.35;11;111;0;60;1963;134
7204;23.8667;55.4;82;111;0;60;1963;134
7211;24.1667;56.0167;78;111;0;60;1963;136
7212;24.15;56.1;77;111;0;60;1963;134
7215;25.05;56.25;83;111;0;60;1963;147
8015;25.1;54.6333;142;111;0;60;1963;134
19293;15.4;44.533;566;111;0;60;1963;129
19295;16.55;46.033;138;111;0;60;1963;117
19300;16.033;45.817;121;111;0;60;1963;116
7201;23.4667;55.2667;91;111;0;60;1964;145
7202;21.4667;55.35;11;111;0;60;1964;143
7204;23.8667;55.4;82;111;0;60;1964;148
7211;24.1667;56.0167;78;111;0;60;1964;142
7212;24.15;56.1;77;111;0;60;1964;144
8015;25.1;54.6333;142;111;0;60;1964;147
8016;23.5;54.4833;197;111;0;60;1964;140
19291;17.233;45.6;161;111;0;60;1964;116
19293;15.4;44.533;566;111;0;60;1964;124
19295;16.55;46.033;138;111;0;60;1964;114
19296;18.233;45.367;231;111;0;60;1964;112
19300;16.033;45.817;121;111;0;60;1964;110
7201;23.4667;55.2667;91;111;0;60;1965;159
7202;21.4667;55.35;11;111;0;60;1965;148
7204;23.8667;55.4;82;111;0;60;1965;161
7211;24.1667;56.0167;78;111;0;60;1965;157
8015;25.1;54.6333;142;111;0;60;1965;152
8016;23.5;54.4833;197;111;0;60;1965;126
19295;16.55;46.033;138;111;0;60;1965;118
19296;18.233;45.367;231;111;0;60;1965;122
19300;16.033;45.817;121;111;0;60;1965;117
7201;23.4667;55.2667;91;111;0;60;1966;137
7202;21.4667;55.35;11;111;0;60;1966;142
7204;23.8667;55.4;82;111;0;60;1966;144
7211;24.1667;56.0167;78;111;0;60;1966;145
8015;25.1;54.6333;142;111;0;60;1966;140
8016;23.5;54.4833;197;111;0;60;1966;137
19295;16.55;46.033;138;111;0;60;1966;111
19296;18.233;45.367;231;111;0;60;1966;115
19300;16.033;45.817;121;111;0;60;1966;110
7201;23.4667;55.2667;91;111;0;60;1967;138
7202;21.4667;55.35;11;111;0;60;1967;138
8015;25.1;54.6333;142;111;0;60;1967;137
19291;17.233;45.6;161;111;0;60;1967;112
19293;15.4;44.533;566;111;0;60;1967;134
19295;16.55;46.033;138;111;0;60;1967;112
19296;18.233;45.367;231;111;0;60;1967;120
19300;16.033;45.817;121;111;0;60;1967;109
7192;24.55;54.25;110;111;0;60;1968;133
7201;23.4667;55.2667;91;111;0;60;1968;134
7202;21.4667;55.35;11;111;0;60;1968;130
7204;23.8667;55.4;82;111;0;60;1968;144
7205;23.15;55.4667;60;111;0;60;1968;150
8015;25.1;54.6333;142;111;0;60;1968;133
8016;23.5;54.4833;197;111;0;60;1968;125
19293;15.4;44.533;566;111;0;60;1968;121
19295;16.55;46.033;138;111;0;60;1968;110
19296;18.233;45.367;231;111;0;60;1968;111
19300;16.033;45.817;121;111;0;60;1968;106
7192;24.55;54.25;110;111;0;60;1969;161
7194;23.1667;54.95;74;111;0;60;1969;137
7201;23.4667;55.2667;91;111;0;60;1969;146
7202;21.4667;55.35;11;111;0;60;1969;147
7213;22.8;56.15;93;111;0;60;1969;154
7215;25.05;56.25;83;111;0;60;1969;164
8015;25.1;54.6333;142;111;0;60;1969;136
19293;15.4;44.533;566;111;0;60;1969;126
19295;16.55;46.033;138;111;0;60;1969;121
19296;18.233;45.367;231;111;0;60;1969;119
19300;16.033;45.817;121;111;0;60;1969;119
7194;23.1667;54.95;74;111;0;60;1970;155
7195;23.5;54.9667;83;111;0;60;1970;139
7201;23.4667;55.2667;91;111;0;60;1970;138
7202;21.4667;55.35;11;111;0;60;1970;144
7204;23.8667;55.4;82;111;0;60;1970;142
7207;26.3167;55.5167;164;111;0;60;1970;136
7213;22.8;56.15;93;111;0;60;1970;147
8015;25.1;54.6333;142;111;0;60;1970;138
19293;15.4;44.533;566;111;0;60;1970;135
19295;16.55;46.033;138;111;0;60;1970;116
19296;18.233;45.367;231;111;0;60;1970;116
19300;16.033;45.817;121;111;0;60;1970;114
7192;24.55;54.25;110;111;0;60;1971;134
7194;23.1667;54.95;74;111;0;60;1971;133
7195;23.5;54.9667;83;111;0;60;1971;137
7201;23.4667;55.2667;91;111;0;60;1971;139
7202;21.4667;55.35;11;111;0;60;1971;138
7204;23.8667;55.4;82;111;0;60;1971;136
7211;24.1667;56.0167;78;111;0;60;1971;140
7212;24.15;56.1;77;111;0;60;1971;138
7213;22.8;56.15;93;111;0;60;1971;135
7215;25.05;56.25;83;111;0;60;1971;146
8015;25.1;54.6333;142;111;0;60;1971;137
8016;23.5;54.4833;197;111;0;60;1971;134
19291;17.233;45.6;161;111;0;60;1971;114
19293;15.4;44.533;566;111;0;60;1971;123
19295;16.55;46.033;138;111;0;60;1971;114
19296;18.233;45.367;231;111;0;60;1971;116
19300;16.033;45.817;121;111;0;60;1971;116
20450;19.0833;42.1;6;111;0;60;1971;112
7192;24.55;54.25;110;111;0;60;1972;129
7194;23.1667;54.95;74;111;0;60;1972;135
7195;23.5;54.9667;83;111;0;60;1972;143
7201;23.4667;55.2667;91;111;0;60;1972;142
7202;21.4667;55.35;11;111;0;60;1972;146
7204;23.8667;55.4;82;111;0;60;1972;130
7207;26.3167;55.5167;164;111;0;60;1972;142
7211;24.1667;56.0167;78;111;0;60;1972;136
7212;24.15;56.1;77;111;0;60;1972;144
7213;22.8;56.15;93;111;0;60;1972;136
8015;25.1;54.6333;142;111;0;60;1972;138
19291;17.233;45.6;161;111;0;60;1972;106
19295;16.55;46.033;138;111;0;60;1972;104
19296;18.233;45.367;231;111;0;60;1972;100
19300;16.033;45.817;121;111;0;60;1972;101
7188;23.7;54.1;119;111;0;60;1973;138
7192;24.55;54.25;110;111;0;60;1973;138
7196;24.95;55.05;126;111;0;60;1973;144
7201;23.4667;55.2667;91;111;0;60;1973;146
7202;21.4667;55.35;11;111;0;60;1973;141
7207;26.3167;55.5167;164;111;0;60;1973;139
