name,min _precip,min_temp,frost_free
Smilax_rotundifolia,32,-33,185
Smilax_hispida,,,
Lindera_benzoin,32,-23,120
Sassafras_albidum,30,-27,160
Liriodendron_tulipifera,30,-18,150
Asimina_triloba,36,-27,160
Platanus_occidentalis,30,-35,100
Menispermum_canadense,,,
Clematis_virginiana,32,-38,85
Liquidambar_styraciflua,40,-21,180
Hamamelis_virginiana,30,-28,120
Ribes_lacustre,8,-62,120
Ribes_cynosbati,,,
Ribes_triste,9,-62,115
Ribes_americanum,12,-46,128
Parthenocissus_tricuspidata,35,-28,110
Parthenocissus_quinquefolia,32,-28,130
Parthenocissus_inserta,,,
Vitis_aestivalis,30,-23,120
Vitis_riparia,32,-33,170
Staphylea_trifolia,,,
Dirca_palustris,,,
Tilia_americana,21,-46,80
Tilia_cordata,30,-33,140
Rhus_aromatica,,,
Rhus_glabra,30,-33,135
Rhus_typhina,,,
Toxicodendron_radicans,,,
Toxicodendron_vernix,,,
Aesculus_glabra,30,-33,145
Aesculus_hippocastanum,,,
Acer_spicatum,30,-47,100
Acer_platanoides,32,-28,130
Acer_pensylvanicum,24,-47,90
Acer_negundo,15,-46,100
Acer_saccharinum,20,-47,120
Acer_rubrum,25,-47,80
Acer_saccharum,22,-47,80
Ailanthus_altissima,14,-18,150
Ptelea_trifoliata,30,-33,165
Zanthoxylum_americanum,,,
Euonymus_americanus,,,
Euonymus_atropurpureus,,,
Celastrus_scandens,30,-38,110
Hypericum_kalmianum,,,
Hypericum_prolificum,30,-28,100
Populus_heterophylla,35,-23,180
Populus_deltoides,18,-43,100
Populus_balsamifera,6,-79,75
Populus_nigra,20,-28,160
Populus_grandidentata,20,-43,90
Populus_tremuloides,7,-70,70
Populus_alba,,,
Salix_serissima,,,
Salix_petiolaris,,,
Salix_pedicellaris,,,
Salix_myricoides,,,
Salix_humilis,20,-43,80
Salix_candida,24,-33,120
Salix_nigra,18,-58,120
Salix_fragilis,,,
Salix_alba,20,-33,100
Salix_lucida,30,-43,80
Salix_discolor,20,-33,95
Salix_amygdaloides,24,-33,130
Salix_interior,10,-62,120
Salix_eriocephala,20,-38,95
Salix_cordata,,,
Salix_bebbiana,20,-4,80
Fagus_grandifolia,28,-44,92
Castanea_dentata,35,-33,150
Quercus_ellipsoidalis,,,
Quercus_coccinea,30,-28,160
Quercus_prinoides,,,
Quercus_muehlenbergii,20,-33,120
Quercus_imbricaria,24,-18,160
Quercus_shumardii,25,-22,120
Quercus_palustris,32,-33,120
Quercus_velutina,30,-30,140
Quercus_rubra,30,-35,100
Quercus_bicolor,36,-28,120
Quercus_macrocarpa,15,-38,100
Quercus_alba,30,-43,145
Comptonia_peregrina,30,-38,100
Myrica_gale,30,-33,95
Carya_laciniosa,30,-22,170
Carya_ovata,29,-40,140
Carya_cordiformis,25,-47,120
Carya_glabra,30,-30,140
Juglans_cinerea,25,-33,105
Juglans_nigra,30,-28,170
Alnus_alnobetula,16,-48,90
Alnus_incana,32,-33,100
Alnus_glutinosa,20,-18,130
Corylus_americana,32,-33,100
Corylus_cornuta,20,-47,90
Ostrya_virginiana,18,-38,100
Carpinus_caroliniana,23,-34,80
Betula_alleghaniensis,25,-47,60
Betula_nigra,30,-31,150
Betula_pumila,16,-38,90
Betula_papyrifera,12,-62,80
Betula_pendula,30,-33,90
Frangula_alnus,35,-38,90
Rhamnus_alnifolia,10,-33,100
Rhamnus_cathartica,,,
Ceanothus_americanus,25,-28,120
Ceanothus_herbaceus,,,
Elaeagnus_umbellata,28,-23,150
Shepherdia_canadensis,15,-63,95
Ulmus_thomasii,22,-46,120
Ulmus_americana,15,-46,80
Ulmus_rubra,21,-43,90
Ulmus_pumila,16,-38,90
Celtis_occidentalis,14,-47,120
Celtis_tenuifolia,,,
Morus_alba,30,-18,130
Morus_rubra,35,-33,140
Maclura_pomifera,24,-23,180
Rubus_parviflorus,20,-28,100
Rubus_occidentalis,24,-28,129
Rubus_idaeus,10,-62,88
Rubus_allegheniensis,30,-28,120
Rubus_hispidus,30,-38,140
Rubus_flagellaris,15,-23,180
Rosa_multiflora,,,
Rosa_acicularis,15,-38,200
Rosa_palustris,35,-33,95
Rosa_carolina,25,-43,100
Rosa_blanda,,,
Dasiphora_fruticosa,,,
Spiraea_alba,18,-33,110
Spiraea_tomentosa,30,-33,110
Prunus_nigra,15,24,128
Prunus_serotina,21,-43,120
Prunus_virginiana,13,-43,120
Prunus_avium,,,
Prunus_pensylvanica,16,-38,90
Prunus_pumila,15,-33,125
Prunus_americana,16,-38,100
Amelanchier_sanguinea,35,-43,100
Amelanchier_arborea,26,-47,120
Amelanchier_laevis,34,-38,85
Crataegus_succulenta,,,
Crataegus_punctata,,,
Crataegus_macrosperma,,,
Crataegus_chrysocarpa,,,
Crataegus_crus-galli,24,-33,90
Malus_pumila,33,-78,100
Malus_coronaria,,,
Cercis_canadensis,20,-28,170
Gymnocladus_dioica,,-32,
Gleditsia_triacanthos,20,-36,150
Robinia_pseudoacacia,16,-37,140
Cornus_florida,28,-28,160
Cornus_alternifolia,24,-47,120
Cornus_sericea,18,-38,90
Cornus_amomum,36,-38,110
Cornus_foemina,36,-3,240
Cornus_rugosa,18,-28,90
Nyssa_sylvatica,40,-18,140
Kalmia_angustifolia,,,
Kalmia_polifolia,,,
Vaccinium_angustifolium,32,-33,100
Vaccinium_myrtilloides,,,
Vaccinium_ovalifolium,24,-33,100
Gaylussacia_baccata,28,-33,100
Vaccinium_corymbosum,32,-33,100
Vaccinium_pallidum,,,
Ilex_mucronata,,,
Ilex_verticillata,35,-28,140
Sambucus_canadensis,34,-28,100
Sambucus_racemosa,24,-33,200
Viburnum_trilobum,,,
Viburnum_cassinoides,,,
Viburnum_acerifolium,32,-28,115
Viburnum_dentatum,32,-28,163
Viburnum_rafinesquianum,30,-43,100
Viburnum_lentago,38,-33,128
Diervilla_lonicera,,,
Symphoricarpos_albus,12,-38,150
Lonicera_canadensis,,,
Lonicera_dioica,,,
Lonicera_tatarica,32,-38,120
Lonicera_maackii,25,-33,100
Aralia_hispida,,,
Cephalanthus_occidentalis,20,-33,150
Fraxinus_quadrangulata,,,
Fraxinus_profunda,36,-24,180
Fraxinus_pennsylvanica,15,-47,120
Fraxinus_americana,28,-34,90
Fraxinus_nigra,20,-47,80
Syringa_vulgaris,30,-38,110
Ligustrum_vulgare,18,-38,130
Catalpa_bignonioides,30,-18,140
Catalpa_speciosa,20,-38,90
