Taxon name,N,0%,10%,25%,50%,75%,90%,100%
Acacia greggii,1422,0.04,0.11,0.22,0.30,0.41,0.53,0.84
Acer barbatum ,636,0.82,0.88,0.90,0.94,0.96,0.98,1.00
Acer circinatum,334,0.40,0.66,0.76,0.86,0.93,0.96,1.00
Acer glabrum ,1738,0.14,0.49,0.62,0.76,0.91,0.98,1.00
Acer grandidentatum,103,0.17,0.37,0.48,0.57,0.71,0.83,0.97
Acer leucoderme ,191,0.87,0.91,0.93,0.95,0.96,0.97,0.99
Acer macrophyllum,362,0.41,0.56,0.68,0.84,0.95,0.99,1.00
Acer negundo,6534,0.11,0.52,0.66,0.90,0.96,0.98,1.00
Acer nigrum,1494,0.82,0.94,0.95,0.97,0.98,0.99,1.00
Acer pensylvanicum,1103,0.89,0.95,0.97,0.98,0.99,0.99,1.00
Acer rubrum,4842,0.80,0.91,0.94,0.97,0.99,0.99,1.00
Acer saccharinum,3792,0.78,0.91,0.94,0.96,0.98,0.99,1.00
Acer saccharum,3424,0.69,0.94,0.96,0.97,0.99,0.99,1.00
Acer spicatum ,3076,0.62,0.88,0.96,0.98,0.99,1.00,1.00
Aesculus californica ,107,0.33,0.42,0.51,0.57,0.64,0.68,0.84
Aesculus glabra,1412,0.53,0.86,0.93,0.95,0.97,0.97,0.99
Aesculus octandra ,383,0.94,0.96,0.97,0.98,0.99,0.99,1.00
Agave utahensis,48,0.07,0.13,0.17,0.31,0.41,0.48,0.84
Alnus oblongifolia ,50,0.26,0.37,0.48,0.66,0.86,0.92,0.97
Alnus rhombifolia,219,0.22,0.49,0.57,0.66,0.73,0.81,0.92
Alnus rubra,442,0.34,0.71,0.84,0.96,0.99,1.00,1.00
Alnus rugosa ,8293,0.37,0.53,0.70,0.95,0.99,1.00,1.00
Alnus serrulata ,2148,0.80,0.90,0.94,0.96,0.98,0.99,1.00
Alnus sinuata,1601,0.32,0.55,0.69,0.87,0.97,0.99,1.00
Alnus tenuifolia,3862,0.29,0.48,0.57,0.69,0.80,0.93,1.00
Amelanchier alnifolia,5719,0.22,0.50,0.60,0.69,0.80,0.94,1.00
Amelanchier arborea,4166,0.85,0.93,0.95,0.97,0.98,0.99,1.00
Amelanchier utahensis ,364,0.13,0.37,0.46,0.57,0.69,0.84,0.99
Arbutus arizonica ,181,0.35,0.51,0.66,0.78,0.89,0.92,0.94
Arbutus menziesii ,191,0.47,0.63,0.69,0.82,0.90,0.95,0.99
Arbutus texana ,25,0.22,0.23,0.29,0.43,0.75,0.77,0.80
Arctostaphylos pringlei ,13,0.37,0.37,0.40,0.55,0.64,0.74,0.84
Artemisia tridentata ,1700,0.06,0.27,0.35,0.46,0.54,0.64,0.95
Betula alleghaniensis ,2260,0.78,0.94,0.96,0.98,0.99,0.99,1.00
Betula lenta ,752,0.89,0.95,0.97,0.98,0.99,0.99,1.00
Betula nana ,6531,0.28,0.42,0.47,0.62,0.78,0.93,1.00
Betula nigra ,2113,0.83,0.89,0.93,0.95,0.97,0.99,1.00
Betula occidentalis,1085,0.09,0.46,0.52,0.62,0.70,0.84,0.99
Betula papyrifera ,10207,0.33,0.52,0.67,0.90,0.99,1.00,1.00
Betula populifolia,624,0.91,0.95,0.96,0.98,0.99,0.99,1.00
Bursera fagaroides ,763,0.10,0.27,0.55,0.67,0.75,0.80,0.99
Bursera microphylla ,211,0.05,0.11,0.15,0.18,0.23,0.30,0.46
Canotia holacantha ,68,0.09,0.17,0.24,0.32,0.46,0.59,0.74
Carpinus caroliniana,4072,0.53,0.89,0.93,0.96,0.98,0.99,1.00
Carya aquatica ,979,0.79,0.88,0.90,0.96,0.99,0.99,1.00
Carya cordiformis ,3774,0.79,0.90,0.94,0.96,0.98,0.99,1.00
Carya floridana ,45,0.98,0.99,0.99,0.99,0.99,0.99,1.00
Carya glabra ,2882,0.85,0.91,0.94,0.96,0.98,0.99,1.00
Carya illinoensis ,1057,0.43,0.77,0.86,0.90,0.93,0.95,1.00
Carya laciniosa,895,0.86,0.93,0.94,0.96,0.97,0.98,0.99
Carya myristicaeformis,48,0.69,0.87,0.88,0.89,0.90,0.92,0.99
Carya ovata ,3038,0.45,0.90,0.94,0.96,0.97,0.98,1.00
Carya pallida ,656,0.85,0.91,0.94,0.96,0.98,0.99,1.00
Carya texana,649,0.57,0.85,0.89,0.91,0.94,0.95,0.98
Carya tomentosa ,2831,0.79,0.90,0.93,0.96,0.98,0.99,1.00
Castanea alnifolia ,70,0.88,0.98,0.99,0.99,0.99,1.00,1.00
Castanea dentata ,1137,0.85,0.93,0.96,0.97,0.98,0.99,1.00
Castanea ozarkensis ,84,0.86,0.88,0.91,0.93,0.94,0.96,0.96
