name,lat,lon,ele,DBH,locality,,,,CreationTime
CORCOR06_HF,42.47275,-72.16946698,0,,slab city gate23,,,,2015-06-05T17:10:44Z
CORCOR07_HF,42.47303397,-72.16920496,0,,slab city gate23,,,,2015-06-05T17:10:44Z
CORCOR08_HF,42.47327303,-72.169126,0,,slab city gate23,,,,2015-06-05T17:10:44Z
CORCOR09_HF,42.47344502,-72.16895099,0,,slab city gate23,,,,2015-06-05T17:10:44Z
CORCOR10_HF,42.47320999,-72.16839502,0,,slab city gate23,,,,2015-06-05T17:10:44Z
CORECORE 13DB,42.47239502,-72.16967703,274.035919,<1,slab city gate23,,,,2017-07-20T13:29:26Z
VIBCAS13 HF DB,42.47233802,-72.169773,272.24234,<1,slab city gate23,,,,2017-07-20T13:31:59Z
ACESAC11 HF DB,42.47239301,-72.16970301,272.439911,8.4,slab city gate23,,,,2017-07-20T13:34:03Z
BETALL25 HF DB,42.47249996,-72.16965398,272.859863,29.2,slab city gate23,,,,2017-07-20T13:41:47Z
ACESAC12 HF DB,42.47251899,-72.16981097,273.700836,14.4,slab city gate23,,,,2017-07-20T13:44:58Z
VIBACE01 HF DB,42.47258998,-72.16983897,274.869934,<1,slab city gate23,,,,2017-07-20T13:47:37Z
VIBACE02 HF DB,42.47273298,-72.16971299,276.043976,<1,slab city gate23,,,,2017-07-20T13:48:56Z
CORCOR14 HF DB,42.47268797,-72.16962397,275.216644,<1,slab city gate23,,,,2017-07-20T13:50:04Z
ACERUB18 HF DB,42.47254296,-72.16993704,276.190125,11.4,slab city gate23,,,,2017-07-20T13:52:00Z
ACESAC13 HF DB,42.47272996,-72.16964199,277.836731,7+12.6+8.2,slab city gate23,,,,2017-07-20T13:55:11Z
VIBACE03 HF DB,42.47273097,-72.16955499,278.337372,<1,slab city gate23,,,,2017-07-20T13:58:07Z
CORCOR06 HF,42.47280397,-72.16953102,278.354462,DF,slab city gate23,,,,2017-07-20T13:59:15Z
BETALL26 HF DB,42.47279098,-72.16951299,277.771149,3.8,slab city gate23,,,,2017-07-20T14:00:16Z
VIBACE4 HF DB,42.47272904,-72.16940202,277.876373,<1,slab city gate23,,,,2017-07-20T14:02:18Z
FAGGRA15 HF DB,42.472851,-72.16926397,276.240265,19.5,slab city gate23,,,,2017-07-20T14:04:05Z
VIBACE5 HF DB,42.472923,-72.16931803,275.886688,<1,slab city gate23,,,,2017-07-20T14:06:06Z
FAGGRA16 HF DB,42.47279601,-72.16929004,274.842926,11,slab city gate23,,,,2017-07-20T14:07:57Z
BETALL27 HF DB,42.47291302,-72.16912198,275.418274,4.5,slab city gate23,,,,2017-07-20T14:12:00Z
FAGGRA17 HF DB,42.472924,-72.16913698,274.703491,5.6,slab city gate23,,,,2017-07-20T14:14:22Z
BETALL28 HF DB,42.47291302,-72.16907697,274.090027,5.8,slab city gate23,,,,2017-07-20T14:16:10Z
ACERUB19 HF DB,42.47282702,-72.169011,275.141754,11.1,slab city gate23,,,,2017-07-20T14:18:23Z
VIBACE06 HF DB,42.47290196,-72.16909801,275.509613,<1,slab city gate23,,,,2017-07-20T14:20:41Z
VIBACE07 HF DB,42.47315803,-72.16914402,273.349091,<1,slab city gate23,,,,2017-07-20T14:23:46Z
ACERUB20 HF DB,42.47312098,-72.16896901,272.742493,13.1,slab city gate23,,,,2017-07-20T14:24:49Z
FAGGRA18 HF DB,42.47327596,-72.16913296,272.632385,12.2,slab city gate23,,,,2017-07-20T14:27:52Z
BETALL29 HF DB,42.47325702,-72.16920798,273.151703,8.6,slab city gate23,,,,2017-07-20T14:29:26Z
ILEVER01 HF DB,42.47334503,-72.16910899,273.757782,<1,slab city gate23,,,,2017-07-20T14:32:30Z
QUEALB17 HF DB,42.47376697,-72.16898301,269.269745,16.6,slab city gate23,,,,2017-07-20T14:36:58Z
BETALL30 HF DB,42.47439704,-72.16905098,267.641418,9.8,slab city gate23,,,,2017-07-20T14:41:23Z
ACESAC14 HF DB,42.47617501,-72.169456,263.560089,18.3,slab city gate23,,,,2017-07-20T14:46:05Z
ACESAC15 HF DB,42.47577603,-72.16952498,273.931519,6.1,slab city gate23,,,,2017-07-20T14:56:33Z
FAGGRA19 HF DB,42.47563002,-72.16944996,274.306915,8.2,slab city gate23,,,,2017-07-20T14:59:52Z
ACEPEN13 HF DB,42.47364099,-72.16903497,271.009766,2.4,slab city gate23,,,,2017-07-20T15:09:04Z
ACERUB21 HF DB,42.47357897,-72.16902601,272.79657,5.2,slab city gate23,,,,2017-07-20T15:11:00Z
ACERUB22 HF DB,42.47311997,-72.16919599,274.365295,5.9,slab city gate23,,,,2017-07-20T15:14:05Z
BETALL31 HF DB,42.47306004,-72.169125,274.86908,11.5,slab city gate23,,,,2017-07-20T15:16:13Z
ACEPEN14 HF DB,42.47301302,-72.16902701,273.80426,2.3+3.2+4,slab city gate23,,,,2017-07-20T15:17:30Z
ILEVER 02 HF DB,42.47312601,-72.16929699,274.772186,2.4,slab city gate23,,,,2017-07-20T15:20:19Z
ACERUB23 HF DB,42.47318502,-72.16929297,276.028076,12.4,slab city gate23,,,,2017-07-20T15:22:05Z
VIBACE08 HF DB,42.47297103,-72.16921301,276.630615,<1,slab city gate23,,,,2017-07-20T15:24:00Z
ACESAC16 HF DB,42.47290498,-72.16937302,279.693451,22,slab city gate23,,,,2017-07-20T15:25:27Z
BETALL32 HF DB,42.47287497,-72.16944703,280.488983,11,slab city gate23,,,,2017-07-20T15:27:17Z
ACERUB24 HF DB,42.47280498,-72.16951098,281.799438,29,slab city gate23,,,,2017-07-20T15:29:23Z
QUEALB18 HF DB,42.47276198,-72.16957401,281.943634,31.5,slab city gate23,,,,2017-07-20T15:31:10Z
ACERUB25 HF DB,42.472607,-72.16974802,282.754364,10.1,slab city gate23,,,,2017-07-20T15:34:21Z
ACESAC17 HF DB,42.47254204,-72.16999202,281.749329,21,slab city gate23,,,,2017-07-20T15:38:24Z
ILEVER03 HF DB,42.47241598,-72.16985196,281.282837,<1,slab city gate23,,,,2017-07-20T15:41:33Z
ILEVER04 HF DB,42.47255696,-72.169355,277.922028,2,slab city gate23,,,,2017-07-20T15:46:32Z
ILEVER05 HF DB,42.47250197,-72.16940998,277.495087,1.2,slab city gate23,,,,2017-07-20T15:48:14Z
