name,GEN.SPA,Force,Light,Chill,good_flaskid,11/23/17,11/26/17,11/28/17,12/1/17,,,,,,,,,12/3/17,,,,,,,,,12/5/17,,,,,,,,
,,,,,,,,,term.F,,term.L,,lat.F,,lat.L,,,term.F,,term.L,,lat.F,,lat.L,,,term.F,,term.L,,Lat.F,,lat.L,,
,,,,,,,,,earl,adv,earl,adv,earl,adv,earl,adv,perc.F,earl,adv,earl,adv,earl,adv,earl,adv,perc.F,earl,adv,earl,adv,earl,adv,earl,adv,perc.F
BETALL25 HF DB,BET.ALL,W,S,0,WS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 3 HF DB,COM.PER,W,S,0,WS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
VIBACE 7 HF DB,VIB.ACE,W,S,0,WS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC12 HF DB,ACE.SAC,W,S,0,WS0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER01 HF DB,ILE.VER,W,S,0,WS0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 5 HF DB,VAC.COR,W,S,0,WS0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN24 HF DB,ACE.PEN,W,S,0,WS0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC18 HF DB,ACE.SAC,W,S,0,WS0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 5 HF DB,PRU.VIR,W,S,0,WS0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
