"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"1","BETALL25 HF DB_WS0_9","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_9",NA,37,50,40,"W_S_0","N","A"
"2","COMPER 3 HF DB_WS0_9","COMPER 3 HF DB","COM.PER","W","L",0,"WS0_9",NA,NA,NA,NA,"W_S_0","?","?"
"3","VIBACE 7 HF DB_WS0_9","VIBACE 7 HF DB","VIB.ACE","W","L",0,"WS0_9",NA,35,50,37,"W_S_0","N","A"
"4","ACESAC12 HF DB_WS0_8","ACESAC12 HF DB","ACE.SAC","W","L",0,"WS0_8",NA,NA,NA,NA,"W_S_0","N","?"
"5","ILEVER01 HF DB_WS0_8","ILEVER01 HF DB","ILE.VER","W","L",0,"WS0_8",NA,23,28,26,"W_S_0","N","A"
"6","VACCOR 5 HF DB_WS0_8","VACCOR 5 HF DB","VAC.COR","W","L",0,"WS0_8",NA,30,37,35,"W_S_0","N","A"
"7","ACEPEN24 HF DB_WS0_7","ACEPEN24 HF DB","ACE.PEN","W","L",0,"WS0_7",NA,87,90,NA,"W_S_0","N","A"
"8","ACESAC18 HF DB_WS0_7","ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_7",NA,NA,NA,NA,"W_S_0","N","?"
"9","PRUVIR 5 HF DB_WS0_7","PRUVIR 5 HF DB","PRU.VIR","W","L",0,"WS0_7",NA,37,56,42,"W_S_0","N","A"
"10","CORCOR 17 HF DB_WS0_6","CORCOR 17 HF DB","COR.COR","W","L",0,"WS0_6",63,82,93,58,"W_S_0","Y","A"
"11","ILEVER05 HF DB_WS0_6","ILEVER05 HF DB","ILE.VER","W","L",0,"WS0_6",NA,NA,NA,NA,"W_S_0","N","D"
"12","PRUPEN 24 HF DB_WS0_6","PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_6",30,16,23,19,"W_S_0","Y","A"
"13","BETALL25 HF DB_WS0_5","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_5",NA,63,76,65,"W_S_0","N","A"
"14","ILEMUC 9 HF DB_WS0_5","ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_5",NA,37,50,42,"W_S_0","N","A"
"15","VIBACE09 HF DB_WS0_5","VIBACE09 HF DB","VIB.ACE","W","L",0,"WS0_5",NA,33,54,45,"W_S_0","N","A"
"16","BETALL25 HF DB_WS0_4","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_4",NA,NA,61,58,"W_S_0","N","A"
"17","CORCOR 16 HF DB_WS0_4","CORCOR 16 HF DB","COR.COR","W","L",0,"WS0_4",NA,50,61,52,"W_S_0","N","A"
"18","ILEVER07 HF DB_WS0_4","ILEVER07 HF DB","ILE.VER","W","L",0,"WS0_4",NA,28,35,33,"W_S_0","N","A"
"19","ACEPEN15 HF DB_WS0_3","ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_3",NA,45,70,68,"W_S_0","N","A"
"20","ACERUB26 HF DB_WS0_3","ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_3",NA,NA,NA,NA,"W_S_0","?","?"
"21","ILEMUC 13 HF DB_WS0_3","ILEMUC 13 HF DB","ILE.MUC","W","L",0,"WS0_3",NA,NA,NA,NA,"W_S_0","?","?"
