"id","leaf_day","flo_day","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"BETALL25 HF DB_WS0_9",50,NA,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_9"
"COMPER 3 HF DB_WS0_9",NA,NA,"COMPER 3 HF DB","COM.PER","W","L",0,"WS0_9"
"VIBACE 7 HF DB_WS0_9",50,NA,"VIBACE 7 HF DB","VIB.ACE","W","L",0,"WS0_9"
"ACESAC12 HF DB_WS0_8",NA,NA,"ACESAC12 HF DB","ACE.SAC","W","L",0,"WS0_8"
"ILEVER01 HF DB_WS0_8",28,NA,"ILEVER01 HF DB","ILE.VER","W","L",0,"WS0_8"
"VACCOR 5 HF DB_WS0_8",37,NA,"VACCOR 5 HF DB","VAC.COR","W","L",0,"WS0_8"
"ACEPEN24 HF DB_WS0_7",90,NA,"ACEPEN24 HF DB","ACE.PEN","W","L",0,"WS0_7"
"ACESAC18 HF DB_WS0_7",NA,NA,"ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_7"
"PRUVIR 5 HF DB_WS0_7",56,NA,"PRUVIR 5 HF DB","PRU.VIR","W","L",0,"WS0_7"
"CORCOR 17 HF DB_WS0_6",93,63,"CORCOR 17 HF DB","COR.COR","W","L",0,"WS0_6"
"ILEVER05 HF DB_WS0_6",NA,NA,"ILEVER05 HF DB","ILE.VER","W","L",0,"WS0_6"
"PRUPEN 24 HF DB_WS0_6",23,30,"PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_6"
"BETALL25 HF DB_WS0_5",76,NA,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_5"
"ILEMUC 9 HF DB_WS0_5",50,NA,"ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_5"
"VIBACE09 HF DB_WS0_5",54,NA,"VIBACE09 HF DB","VIB.ACE","W","L",0,"WS0_5"
"BETALL25 HF DB_WS0_4",61,NA,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_4"
"CORCOR 16 HF DB_WS0_4",61,NA,"CORCOR 16 HF DB","COR.COR","W","L",0,"WS0_4"
"ILEVER07 HF DB_WS0_4",35,NA,"ILEVER07 HF DB","ILE.VER","W","L",0,"WS0_4"
"ACEPEN15 HF DB_WS0_3",70,NA,"ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_3"
"ACERUB26 HF DB_WS0_3",NA,NA,"ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_3"
"ILEMUC 13 HF DB_WS0_3",NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","L",0,"WS0_3"
"BETALL33 HF DB_WS0_24",79,NA,"BETALL33 HF DB","BET.ALL","W","L",0,"WS0_24"
"ILEVER03 HF DB_WS0_24",42,NA,"ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_24"
