,nomen,name,flask_id,treat,new_num
94,Acer_rubrum,ACERUB27 HF DB,CL0_1,CL0,
234,Comptonia_peregrina,COMPER 2 HF DB,CL0_1,CL0,
425,Prunus_pensylvanica,PRUPEN 21 HF DB,CL0_1,CL0,
296,Ilex_mucronata,ILEMUC 12 HF DB,CL0_10,CL0,
343,Ilex_verticilata,ILEVER07 HF DB,CL0_10,CL0,
575,Viburnum_acerifolium,VIBACE06 HF DB,CL0_10,CL0,
5,Acer_pensylvanicum,ACEPEN17 HF DB,CL0_11,CL0,
136,Acer_saccharum,ACESAC11 HF DB,CL0_11,CL0,
366,Ilex_verticilata,ILEVER05 HF DB,CL0_11,CL0,
107,Acer_saccharum,ACESAC11 HF DB,CL0_12,CL0,
249,Corylus_cornuta,CORCOR09_HF,CL0_12,CL0,
358,Ilex_verticilata,ILEVER08 HF DB,CL0_12,CL0,
419,Prunus_pensylvanica,PRUPEN 24 HF DB,CL0_13,CL0,
433,Prunus_virginiana,PRUVIR 7 HF DB,CL0_13,CL0,
489,Vaccinium_corymbosum,VACCOR 10 HF DB,CL0_13,CL0,
73,Acer_rubrum,ACERUB26 HF DB,CL0_14,CL0,
188,Betula_allagheniensis,BETALL26 HF DB,CL0_14,CL0,
554,Viburnum_acerifolium,VIBACE4 HF DB,CL0_14,CL0,
182,Betula_allagheniensis,BETALL34 HF DB,CL0_15,CL0,
287,Corylus_cornuta,CORCOR07_HF,CL0_15,CL0,
344,Ilex_verticilata,ILEVER04 HF DB,CL0_15,CL0,
243,Corylus_cornuta,CORCOR09_HF,CL0_16,CL0,
522,Vaccinium_corymbosum,VACCOR 1 HF DB,CL0_16,CL0,
556,Viburnum_acerifolium,VIBACE01 HF DB,CL0_16,CL0,
72,Acer_rubrum,ACERUB23 HF DB,CL0_17,CL0,
157,Betula_allagheniensis,BETALL31 HF DB,CL0_17,CL0,
255,Corylus_cornuta,CORCOR 16 HF DB,CL0_17,CL0,
196,Comptonia_peregrina,COMPER 6 HF DB,CL0_18,CL0,
299,Ilex_mucronata,ILEMUC 12 HF DB,CL0_18,CL0,
550,Viburnum_acerifolium,VIBACE10 HF DB,CL0_18,CL0,
87,Acer_rubrum,ACERUB23 HF DB,CL0_19,CL0,
445,Prunus_virginiana,PRUVIR 6 HF DB,CL0_19,CL0,
491,Vaccinium_corymbosum,VACCOR 11 HF DB,CL0_19,CL0,
152,Betula_allagheniensis,BETALL33 HF DB,CL0_2,CL0,
337,Ilex_verticilata,ILEVER04 HF DB,CL0_2,CL0,
389,Prunus_pensylvanica,PRUPEN 22 HF DB,CL0_2,CL0,
1,Acer_pensylvanicum,ACEPEN17 HF DB,CL0_20,CL0,
