name,lat,lon,ele,CreationTime,DBH,locality,note
ACEPEN 21 HF DB,42.467242,-72.21247796,251.769989,2017-08-03T17:22:11Z,6.4+4.0,Simes tract gate27,
ACEPEN 22 HF DB,42.46723697,-72.21247,252.163345,2017-08-03T17:22:48Z,7.2,Simes tract gate27,
ACEPEN13 HF DB,42.47364099,-72.16903497,271.009766,2017-07-20T15:09:04Z,2.4,slab city gate23,
ACEPEN14 HF DB,42.47301302,-72.16902701,273.80426,2017-07-20T15:17:30Z,2.3+3.2+4,slab city gate23,
ACEPEN15 HF DB,42.53709099,-72.18658802,390.311676,2017-07-20T18:39:30Z,3.9,"prospect hill, enter by solar panels",
ACEPEN16 HF DB,42.53726701,-72.18648199,391.302887,2017-07-20T18:41:20Z,3.9,"prospect hill, enter by solar panels",
ACEPEN17 HF DB,42.53774897,-72.18679103,393.042297,2017-07-20T18:44:13Z,5,"prospect hill, enter by solar panels",
ACEPEN18 HF DB,42.53767597,-72.186757,392.660248,2017-07-20T18:45:51Z,6.1,"prospect hill, enter by solar panels",
ACEPEN19 HF DB,42.53773699,-72.18650596,392.274872,2017-07-20T18:49:43Z,5.2,"prospect hill, enter by solar panels",
ACEPEN20 HF DB,42.53847199,-72.185923,394.52301,2017-07-20T18:53:48Z,6.2,"prospect hill, enter by solar panels",
ACERUB18 HF DB,42.47254296,-72.16993704,276.190125,2017-07-20T13:52:00Z,11.4,slab city gate23,
ACERUB19 HF DB,42.47282702,-72.169011,275.141754,2017-07-20T14:18:23Z,11.1,slab city gate23,
ACERUB20 HF DB,42.47312098,-72.16896901,272.742493,2017-07-20T14:24:49Z,13.1,slab city gate23,
ACERUB21 HF DB,42.47357897,-72.16902601,272.79657,2017-07-20T15:11:00Z,5.2,slab city gate23,
ACERUB22 HF DB,42.47311997,-72.16919599,274.365295,2017-07-20T15:14:05Z,5.9,slab city gate23,
ACERUB23 HF DB,42.47318502,-72.16929297,276.028076,2017-07-20T15:22:05Z,12.4,slab city gate23,
ACERUB24 HF DB,42.47280498,-72.16951098,281.799438,2017-07-20T15:29:23Z,29,slab city gate23,
ACERUB25 HF DB,42.472607,-72.16974802,282.754364,2017-07-20T15:34:21Z,10.1,slab city gate23,
ACERUB26 HF DB,42.498335,-72.20647098,256.858124,2017-07-20T16:28:27Z,23.9,tom swamp gate12,
ACERUB27 HF DB,42.49941199,-72.20676402,254.847321,2017-07-20T16:56:59Z,23.8,tom swamp gate12,
ACERUB28 HF DB,42.49950402,-72.20679897,253.89032,2017-07-20T16:59:32Z,16.9,tom swamp gate12,
ACERUB29 HF DB,42.50195104,-72.20691103,254.447845,2017-07-20T17:18:02Z,10.6,tom swamp gate12,
ACESAC11 HF DB,42.47239301,-72.16970301,272.439911,2017-07-20T13:34:03Z,8.4,slab city gate23,
ACESAC12 HF DB,42.47251899,-72.16981097,273.700836,2017-07-20T13:44:58Z,14.4,slab city gate23,
ACESAC13 HF DB,42.47272996,-72.16964199,277.836731,2017-07-20T13:55:11Z,7+12.6+8.2,slab city gate23,
ACESAC14 HF DB,42.47617501,-72.169456,263.560089,2017-07-20T14:46:05Z,18.3,slab city gate23,
ACESAC15 HF DB,42.47577603,-72.16952498,273.931519,2017-07-20T14:56:33Z,6.1,slab city gate23,
ACESAC16 HF DB,42.47290498,-72.16937302,279.693451,2017-07-20T15:25:27Z,22,slab city gate23,
ACESAC17 HF DB,42.47254204,-72.16999202,281.749329,2017-07-20T15:38:24Z,21,slab city gate23,
ACESAC18 HF DB,42.49884403,-72.20673996,253.976944,2017-07-20T16:50:13Z,25.7,tom swamp gate12,
ACESAC19 HF DB,42.53428096,-72.18898801,362.296356,2017-07-20T18:27:13Z,89.2,"prospect hill, enter by solar panels",
BETALL25 HF DB,42.47249996,-72.16965398,272.859863,2017-07-20T13:41:47Z,29.2,slab city gate23,
BETALL26 HF DB,42.47279098,-72.16951299,277.771149,2017-07-20T14:00:16Z,3.8,slab city gate23,
BETALL27 HF DB,42.47291302,-72.16912198,275.418274,2017-07-20T14:12:00Z,4.5,slab city gate23,
BETALL28 HF DB,42.47291302,-72.16907697,274.090027,2017-07-20T14:16:10Z,5.8,slab city gate23,
BETALL29 HF DB,42.47325702,-72.16920798,273.151703,2017-07-20T14:29:26Z,8.6,slab city gate23,
BETALL30 HF DB,42.47439704,-72.16905098,267.641418,2017-07-20T14:41:23Z,9.8,slab city gate23,
BETALL31 HF DB,42.47306004,-72.169125,274.86908,2017-07-20T15:16:13Z,11.5,slab city gate23,
BETALL32 HF DB,42.47287497,-72.16944703,280.488983,2017-07-20T15:27:17Z,11,slab city gate23,
BETALL33 HF DB,42.498881,-72.20670803,254.062622,2017-07-20T16:44:46Z,20.4,tom swamp gate12,
BETALL34 HF DB,42.49881696,-72.20674197,254.433838,2017-07-20T16:47:06Z,22,tom swamp gate12,
COMPER 1 HF DB,42.50448002,-72.21148504,251.342117,2017-08-03T14:33:06Z,<1,Tom swamp gate13,
COMPER 2 HF DB,42.50434399,-72.21155603,252.469376,2017-08-03T14:34:55Z,<1,Tom swamp gate13,
COMPER 3 HF DB,42.50417601,-72.21168897,253.967194,2017-08-03T14:37:12Z,<1,Tom swamp gate13,
COMPER 4 HF DB,42.50398398,-72.21175301,255.056534,2017-08-03T14:40:47Z,<1,Tom swamp gate13,
COMPER 5 HF DB,42.50375197,-72.21194596,253.709198,2017-08-03T14:43:48Z,<1,Tom swamp gate13,
COMPER 6 HF DB,42.50371199,-72.21200103,253.91597,2017-08-03T14:44:54Z,1.5,Tom swamp gate13,
COMPER 7 HF DB,42.50351401,-72.21204604,256.751617,2017-08-03T15:08:18Z,<1,Tom swamp gate13,
COMPER 8 HF DB,42.50293097,-72.21213698,253.988754,2017-08-03T15:11:18Z,<1,Tom swamp gate13,
CORCOR 15 HF DB,42.50279501,-72.21199902,252.920914,2017-08-03T15:15:15Z,<1,Tom swamp gate13,
CORCOR 16 HF DB,42.50233803,-72.21259497,250.398193,2017-08-03T15:18:25Z,<1,Tom swamp gate13,
CORCOR 17 HF DB,42.50126003,-72.21371898,246.628098,2017-08-03T15:29:15Z,<1,Tom swamp gate13,
CORCOR06 HF,42.47280397,-72.16953102,278.354462,2017-07-20T15:14:05Z,DF,slab city gate23,
CORCOR06_HF,42.47275,-72.16946698,0,2017-07-20T15:16:13Z,DF,slab city gate23,
CORCOR07_HF,42.47303397,-72.16920496,0,2017-07-20T15:17:30Z,DF,slab city gate23,
CORCOR08_HF,42.47327303,-72.169126,0,2017-07-20T15:20:19Z,DF,slab city gate23,
CORCOR09_HF,42.47344502,-72.16895099,0,2017-07-20T15:22:05Z,DF,slab city gate23,
CORCOR10_HF,42.47320999,-72.16839502,0,2017-07-20T15:24:00Z,DF,slab city gate23,
CORCOR14 HF DB,42.47268797,-72.16962397,275.216644,2017-07-20T13:50:04Z,<1,slab city gate23,
CORCOR 13DB,42.47239502,-72.16967703,274.035919,2017-07-20T13:29:26Z,<1,slab city gate23,
FAGGRA 22 HF DB,42.50064899,-72.21392803,240.428757,2017-08-03T13:40:23Z,22.9,Tom swamp gate13,
FAGGRA 23 HF DB,42.50191902,-72.21325899,244.108643,2017-08-03T14:06:56Z,17.2,Tom swamp gate13,
FAGGRA15 HF DB,42.472851,-72.16926397,276.240265,2017-07-20T14:04:05Z,19.5,slab city gate23,
FAGGRA16 HF DB,42.47279601,-72.16929004,274.842926,2017-07-20T14:07:57Z,11,slab city gate23,
FAGGRA17 HF DB,42.472924,-72.16913698,274.703491,2017-07-20T14:14:22Z,5.6,slab city gate23,
FAGGRA18 HF DB,42.47327596,-72.16913296,272.632385,2017-07-20T14:27:52Z,12.2,slab city gate23,
FAGGRA19 HF DB,42.47563002,-72.16944996,274.306915,2017-07-20T14:59:52Z,8.2,slab city gate23,
FAGGRA20 HF DB,42.49842502,-72.20643402,255.859619,2017-07-20T16:32:52Z,9.5,tom swamp gate12,
FAGGRA20 HFDB,42.53768401,-72.18657201,392.822418,2017-07-20T18:47:34Z,17.6,"prospect hill, enter by solar panels",
FAGGRA21 HF DB,42.53829799,-72.18563198,392.296936,2017-07-20T18:57:10Z,14,"prospect hill, enter by solar panels",
FRAAME 4 HF DB,42.46933001,-72.21231401,259.478363,2017-08-03T17:33:39Z,9.9,Simes tract gate27,
FRAAME01 HF DB,42.47201096,-72.16944803,259.808472,2017-07-20T16:17:17Z,7.9,tom swamp gate12,
FRAAME02 HF DB,42.49831203,-72.20643,257.297333,2017-07-20T16:26:35Z,7.3,tom swamp gate12,
FRAAME03 HF DB,42.49870598,-72.20670702,254.828766,2017-07-20T16:41:51Z,17,tom swamp gate12,
ILEMUC 10 HF DB,42.50012102,-72.21374698,240.319489,2017-08-03T13:32:34Z,<1,Tom swamp gate13,
ILEMUC 11 HF DB,42.50019603,-72.21384203,240.519394,2017-08-03T13:35:08Z,<1,Tom swamp gate13,
ILEMUC 12 HF DB,42.50067598,-72.21387296,241.08136,2017-08-03T13:44:09Z,<1,Tom swamp gate13,
ILEMUC 13 HF DB,42.50147796,-72.213363,242.378845,2017-08-03T14:01:25Z,2.3,Tom swamp gate13,
ILEMUC 14 HF DB,42.50172196,-72.21320903,243.286026,2017-08-03T14:04:02Z,<1,Tom swamp gate13,
ILEMUC 15 HF DB,42.50155298,-72.21322697,246.510391,2017-08-03T15:26:41Z,<1,Tom swamp gate13,
ILEMUC 9 HF DB,42.50007299,-72.21378,239.475754,2017-08-03T13:30:06Z,<1,Tom swamp gate13,
ILEVER 02 HF DB,42.47312601,-72.16929699,274.772186,2017-07-20T15:20:19Z,2.4,slab city gate23,
ILEVER 13 HF DB,42.468695,-72.21238098,255.087128,2017-08-03T17:30:04Z,3.1+2.9,Simes tract gate27,
ILEVER01 HF DB,42.47334503,-72.16910899,273.757782,2017-07-20T14:32:30Z,<1,slab city gate23,
ILEVER03 HF DB,42.47241598,-72.16985196,281.282837,2017-07-20T15:41:33Z,<1,slab city gate23,
ILEVER04 HF DB,42.47255696,-72.169355,277.922028,2017-07-20T15:46:32Z,2,slab city gate23,
ILEVER05 HF DB,42.47250197,-72.16940998,277.495087,2017-07-20T15:48:14Z,1.2,slab city gate23,
ILEVER06 HF DB,42.47252201,-72.16940403,277.394897,2017-07-20T15:49:48Z,3.2,slab city gate23,
ILEVER07 HF DB,42.47255101,-72.16924503,277.021637,2017-07-20T15:50:50Z,2.7,slab city gate23,
ILEVER08 HF DB,42.47254497,-72.16914101,277.006592,2017-07-20T15:52:02Z,4,slab city gate23,
ILEVER09 HF DB,42.49823903,-72.20624501,258.138702,2017-07-20T16:23:25Z,2.5,tom swamp gate12,
ILEVER09 HF DB1,42.498363,-72.20638499,258.032623,2017-07-20T16:24:45Z,NA,tom swamp gate12,should probably be 10
ILEVER11 HF DB,42.49846098,-72.20659303,255.287552,2017-07-20T16:40:11Z,<1,tom swamp gate12,
ILEVER12 HF DB,42.49866701,-72.20659504,253.383133,2017-07-20T16:49:00Z,<1,tom swamp gate12,
LINBIN 1 HF DB,42.46656298,-72.21234502,248.062531,2017-08-03T17:18:10Z,<1,Simes tract gate27,
PRUPEN 18 HF DB,42.50404702,-72.21156802,251.07785,2017-08-03T14:19:14Z,1.3,Tom swamp gate13,
PRUPEN 19 HF DB,42.50404199,-72.21157498,251.573318,2017-08-03T14:21:09Z,2.1,Tom swamp gate13,
PRUPEN 20 HF DB,42.50419898,-72.21160096,252.179276,2017-08-03T14:23:34Z,3.7,Tom swamp gate13,
PRUPEN 21 HF DB,42.50416604,-72.21168998,252.607315,2017-08-03T14:27:07Z,4+3.8+2.4_3.2,Tom swamp gate13,
