"id","leaf_day(15)","flo_day","budburst(9)","Leaf_expand(11)","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"BETALL25 HF DB_WS0_9",50,NA,37,40,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_9"
"COMPER 3 HF DB_WS0_9",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","L",0,"WS0_9"
"VIBACE 7 HF DB_WS0_9",50,NA,35,37,"VIBACE 7 HF DB","VIB.ACE","W","L",0,"WS0_9"
"ACESAC12 HF DB_WS0_8",NA,NA,NA,NA,"ACESAC12 HF DB","ACE.SAC","W","L",0,"WS0_8"
"ILEVER01 HF DB_WS0_8",28,NA,23,26,"ILEVER01 HF DB","ILE.VER","W","L",0,"WS0_8"
"VACCOR 5 HF DB_WS0_8",37,NA,30,35,"VACCOR 5 HF DB","VAC.COR","W","L",0,"WS0_8"
"ACEPEN24 HF DB_WS0_7",90,NA,87,90,"ACEPEN24 HF DB","ACE.PEN","W","L",0,"WS0_7"
"ACESAC18 HF DB_WS0_7",NA,NA,NA,NA,"ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_7"
"PRUVIR 5 HF DB_WS0_7",56,NA,37,42,"PRUVIR 5 HF DB","PRU.VIR","W","L",0,"WS0_7"
"CORCOR 17 HF DB_WS0_6",93,63,58,58,"CORCOR 17 HF DB","COR.COR","W","L",0,"WS0_6"
"ILEVER05 HF DB_WS0_6",NA,NA,NA,NA,"ILEVER05 HF DB","ILE.VER","W","L",0,"WS0_6"
"PRUPEN 24 HF DB_WS0_6",23,30,16,19,"PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_6"
"BETALL25 HF DB_WS0_5",76,NA,63,65,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_5"
"ILEMUC 9 HF DB_WS0_5",50,NA,37,42,"ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_5"
"VIBACE09 HF DB_WS0_5",54,NA,33,45,"VIBACE09 HF DB","VIB.ACE","W","L",0,"WS0_5"
"BETALL25 HF DB_WS0_4",61,NA,58,58,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_4"
"CORCOR 16 HF DB_WS0_4",61,NA,50,52,"CORCOR 16 HF DB","COR.COR","W","L",0,"WS0_4"
"ILEVER07 HF DB_WS0_4",35,NA,28,33,"ILEVER07 HF DB","ILE.VER","W","L",0,"WS0_4"
"ACEPEN15 HF DB_WS0_3",70,NA,45,68,"ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_3"
"ACERUB26 HF DB_WS0_3",NA,NA,NA,NA,"ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_3"
"ILEMUC 13 HF DB_WS0_3",NA,NA,NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","L",0,"WS0_3"
"BETALL33 HF DB_WS0_24",79,NA,76,76,"BETALL33 HF DB","BET.ALL","W","L",0,"WS0_24"
"ILEVER03 HF DB_WS0_24",42,NA,28,33,"ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_24"
"VACCOR 89 HF DB_WS0_24",54,23,16,50,"VACCOR 89 HF DB","VAC.COR","W","L",0,"WS0_24"
"ACERUB23 HF DB_WS0_23",NA,NA,NA,NA,"ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_23"
"ILEVER ? HF DB_WS0_23",26,NA,19,23,"ILEVER ? HF DB","ILE.VER","W","L",0,"WS0_23"
"VACCOR 3 HF DB_WS0_23",NA,NA,NA,NA,"VACCOR 3 HF DB","VAC.COR","W","L",0,"WS0_23"
"ACEPEN15 HF DB_WS0_22",65,NA,54,63,"ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_22"
"ILEVER03 HF DB_WS0_22",NA,NA,19,30,"ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_22"
