name,GEN.SPA,good_flaskid,,,,
ACERUB25 HF DB,ACE.RUB,WS1_9,,,,
CORCOR10_HF,COR.COR,WS1_9,,,,
VACCOR 9 HF DB,VAC.COR,WS1_9,,,,
COMPER 3 HF DB,COM.PER,WS1_8,,,,
VACCOR 3 HF DB,VAC.COR,WS1_8,,,,
VIBACE4 HF DB,VIB.ACE,WS1_8,,,,
ACESAC19 HF DB,ACE.SAC,WS1_7,,,,
ILEVER10 HF DB,ILE.VER,WS1_7,,,,
VACCOR ? HF DB,VAC.COR,WS1_7,,,,
ACESAC16 HF DB,ACE.SAC,WS1_6,,,,
BETALL34 HF DB,BET.ALL,WS1_6,,,,
ILEVER08 HF DB,ILE.VER,WS1_6,,,,
ACEPEN17 HF DB,ACE.PEN,WS1_5,,,,
PRUPEN 24 HF DB,PRU.PEN,WS1_5,,,,
PRUVIR 7 HF DB,PRU.VIR,WS1_5,,,,
ACEPEN14 HF DB,ACE.PEN,WS1_4,,,,
CORCOR 17 HF DB,COR.COR,WS1_4,,,,
PRUVIR 5 HF DB,PRU.VIR,WS1_4,,,,
ACEPEN18 HF DB,ACE.PEN,WS1_3,,,,
ACESAC12 HF DB,ACE.SAC,WS1_3,,,,
VIBACE06 HF DB,VIB.ACE,WS1_3,,,,
PRUPEN 24 HF DB,PRU.PEN,WS1_24,,,,
PRUVIR 7 HF DB,PRU.VIR,WS1_24,,,,
VIBACE08 HF DB,VIB.ACE,WS1_24,,,,
BETALL33 HF DB,BET.ALL,WS1_23,,,,
ILEMUC 14 HF DB,ILE.MUC,WS1_23,,,,
VACCOR 1 HF DB,VAC.COR,WS1_23,,,,
ACESAC11 HF DB,ACE.SAC,WS1_22,,,,
BETALL33 HF DB,BET.ALL,WS1_22,,,,
VIBACE02 HF DB,VIB.ACE,WS1_22,,,,
ACERUB28 HF DB,ACE.RUB,WS1_21,,,,
COMPER 8 HF DB,COM.PER,WS1_21,,,,
VIBACE4 HF DB,VIB.ACE,WS1_21,,,,
ACESAC11 HF DB,ACE.SAC,WS1_20,,,,
CORCOR14 HF DB,COR.COR,WS1_20,,,,
PRUPEN 24 HF DB,PRU.PEN,WS1_20,,,,
BETALL32 HF DB,BET.ALL,WS1_2,,,,
CORCOR08_HF,COR.COR,WS1_2,,,,
ILEVER05 HF DB,ILE.VER,WS1_2,,,,
ACEPEN19 HF DB,ACE.PEN,WS1_19,,,,
CORCOR07_HF,COR.COR,WS1_19,,,,
ILEMUC 14 HF DB,ILE.MUC,WS1_19,,,,
ACERUB29 HF DB,ACE.RUB,WS1_18,,,,
ILEVER08 HF DB,ILE.VER,WS1_18,,,,
PRUVIR 3 HF DB,PRU.VIR,WS1_18,,,,
ACEPEN16 HF DB,ACE.PEN,WS1_17,,,,
ACERUB26 HF DB,ACE.RUB,WS1_17,,,,
VACCOR 7 HF DB,VAC.COR,WS1_17,,,,
ACEPEN14 HF DB,ACE.PEN,WS1_16,,,,
ILEMUC 10 HF DB,ILE.MUC,WS1_16,,,,
PRUVIR 7 HF DB,PRU.VIR,WS1_16,,,,
ACESAC18 HF DB,ACE.SAC,WS1_15,,,,
ILEVER05 HF DB,ILE.VER,WS1_15,,,,
PRUPEN17 HF DB,PRU.PEN,WS1_15,,,,
ACERUB28 HF DB,ACE.RUB,WS1_14,,,,
ILEMUC 12 HF DB,ILE.MUC,WS1_14,,,,
