"id","name","GEN.SPA","Force","Light","Chill","good_flaskid","LBB","L11","L15","F60"
"BETALL25 HF DB_WS0_9","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_9",37,40,50,NA
"COMPER 3 HF DB_WS0_9","COMPER 3 HF DB","COM.PER","W","L",0,"WS0_9",28,NA,NA,NA
"VIBACE 7 HF DB_WS0_9","VIBACE 7 HF DB","VIB.ACE","W","L",0,"WS0_9",35,37,50,NA
"ACESAC12 HF DB_WS0_8","ACESAC12 HF DB","ACE.SAC","W","L",0,"WS0_8",NA,NA,NA,NA
"ILEVER01 HF DB_WS0_8","ILEVER01 HF DB","ILE.VER","W","L",0,"WS0_8",23,26,28,NA
"VACCOR 5 HF DB_WS0_8","VACCOR 5 HF DB","VAC.COR","W","L",0,"WS0_8",28,35,37,NA
"ACEPEN24 HF DB_WS0_7","ACEPEN24 HF DB","ACE.PEN","W","L",0,"WS0_7",87,NA,90,NA
"ACESAC18 HF DB_WS0_7","ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_7",NA,NA,NA,NA
"PRUVIR 5 HF DB_WS0_7","PRUVIR 5 HF DB","PRU.VIR","W","L",0,"WS0_7",35,42,56,NA
"CORCOR 17 HF DB_WS0_6","CORCOR 17 HF DB","COR.COR","W","L",0,"WS0_6",82,58,93,63
"ILEVER05 HF DB_WS0_6","ILEVER05 HF DB","ILE.VER","W","L",0,"WS0_6",NA,NA,NA,NA
"PRUPEN 24 HF DB_WS0_6","PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_6",16,19,23,30
"BETALL25 HF DB_WS0_5","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_5",63,65,76,NA
"ILEMUC 9 HF DB_WS0_5","ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_5",35,42,50,NA
"VIBACE09 HF DB_WS0_5","VIBACE09 HF DB","VIB.ACE","W","L",0,"WS0_5",33,45,54,NA
"BETALL25 HF DB_WS0_4","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_4",NA,58,61,NA
"CORCOR 16 HF DB_WS0_4","CORCOR 16 HF DB","COR.COR","W","L",0,"WS0_4",47,52,61,NA
"ILEVER07 HF DB_WS0_4","ILEVER07 HF DB","ILE.VER","W","L",0,"WS0_4",28,33,35,NA
"ACEPEN15 HF DB_WS0_3","ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_3",42,68,70,NA
"ACERUB26 HF DB_WS0_3","ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_3",NA,NA,NA,NA
"ILEMUC 13 HF DB_WS0_3","ILEMUC 13 HF DB","ILE.MUC","W","L",0,"WS0_3",NA,NA,NA,NA
"BETALL33 HF DB_WS0_24","BETALL33 HF DB","BET.ALL","W","L",0,"WS0_24",NA,76,79,NA
"ILEVER03 HF DB_WS0_24","ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_24",23,33,42,NA
"VACCOR 89 HF DB_WS0_24","VACCOR 89 HF DB","VAC.COR","W","L",0,"WS0_24",16,50,54,23
"ACERUB23 HF DB_WS0_23","ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_23",NA,NA,NA,NA
"ILEVER ? HF DB_WS0_23","ILEVER ? HF DB","ILE.VER","W","L",0,"WS0_23",19,23,26,NA
"VACCOR 3 HF DB_WS0_23","VACCOR 3 HF DB","VAC.COR","W","L",0,"WS0_23",NA,NA,NA,NA
"ACEPEN15 HF DB_WS0_22","ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_22",52,63,65,NA
"ILEVER03 HF DB_WS0_22","ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_22",16,30,NA,NA
"PRUPEN 22 HF DB_WS0_22","PRUPEN 22 HF DB","PRU.PEN","W","L",0,"WS0_22",19,21,26,33
"ACESAC13 HF DB_WS0_21","ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_21",63,68,70,NA
"COMPER 6 HF DB_WS0_21","COMPER 6 HF DB","COM.PER","W","L",0,"WS0_21",23,40,47,21
"PRUVIR 4 HF DB_WS0_21","PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_21",NA,NA,NA,NA
