genus,species,name,number
Acer,pensylvanicum,ACEPEN01_HF,1
Acer,pensylvanicum,ACEPEN01_HF,2
Acer,pensylvanicum,ACEPEN01_HF,3
Acer,pensylvanicum,ACEPEN01_HF,4
Acer,pensylvanicum,ACEPEN01_HF,5
Acer,pensylvanicum,ACEPEN01_HF,6
Acer,pensylvanicum,ACEPEN01_HF,7
Acer,pensylvanicum,ACEPEN01_HF,8
Acer,pensylvanicum,ACEPEN01_HF,1
Acer,pensylvanicum,ACEPEN02_HF,2
Acer,pensylvanicum,ACEPEN02_HF,3
Acer,pensylvanicum,ACEPEN02_HF,4
Acer,pensylvanicum,ACEPEN02_HF,5
Acer,pensylvanicum,ACEPEN02_HF,6
Acer,pensylvanicum,ACEPEN02_HF,7
Acer,pensylvanicum,ACEPEN02_HF,8
Betula,alleghaniensis,BETALL19_HF,1
Betula,alleghaniensis,BETALL19_HF,2
Betula,alleghaniensis,BETALL19_HF,3
Betula,alleghaniensis,BETALL19_HF,4
Betula,alleghaniensis,BETALL19_HF,5
Betula,alleghaniensis,BETALL19_HF,6
Betula,alleghaniensis,BETALL19_HF,7
Betula,alleghaniensis,BETALL19_HF,8
Betula,alleghaniensis,BETALL18_HF,1
Betula,alleghaniensis,BETALL18_HF,2
Betula,alleghaniensis,BETALL18_HF,3
Betula,alleghaniensis,BETALL18_HF,4
Betula,alleghaniensis,BETALL18_HF,5
Betula,alleghaniensis,BETALL18_HF,6
Betula,alleghaniensis,BETALL18_HF,7
Betula,alleghaniensis,BETALL18_HF,8
Corylus,cornuta,CORCOR09_HF,1
Corylus,cornuta,CORCOR09_HF,2
Corylus,cornuta,CORCOR09_HF,3
Corylus,cornuta,CORCOR09_HF,4
Corylus,cornuta,CORCOR09_HF,5
Corylus,cornuta,CORCOR09_HF,6
Corylus,cornuta,CORCOR09_HF,7
Corylus,cornuta,CORCOR09_HF,8
Corylus,cornuta,CORCOR08_HF,1
Corylus,cornuta,CORCOR08_HF,2
Corylus,cornuta,CORCOR08_HF,3
Corylus,cornuta,CORCOR08_HF,4
Corylus,cornuta,CORCOR08_HF,5
Corylus,cornuta,CORCOR08_HF,6
Corylus,cornuta,CORCOR08_HF,7
Corylus,cornuta,CORCOR08_HF,8
