Name,Total,Freq_ind,cutting_number
Acer_pensylvanicum,50,10,4.8
Acer_rubrum,48,12,4
Acer_saccharum,54,9,5.333333333
Betula_allagheniensis,50,10,4.8
Comptonia_peregrina,48,8,6
Corylus_cornuta,50,10,4.8
Fagus_grandifolia,50,10,4.8
Ilex_mucronata,49,7,6.857142857
Ilex_verticilata,53,13,3.692307692
Prunus_pensylvanica,55,11,4.363636364
Prunus_virginiana,49,7,6.857142857
Vaccinium_corymbosum,55,11,4.363636364
Viburnum_acerifolium,55,11,4.363636364
,,,
,,,
,,,
,,,
Name,Total,Freq_ind,cutting_number
Acer_pensylvanicum,50,10,4.8
Acer_rubrum,48,12,4
Acer_saccharum,54,9,5.333333333
Betula_allagheniensis,50,10,4.8
Comptonia_peregrina,48,8,6
Corylus_cornuta,50,10,4.8
Fagus_grandifolia,50,10,4.8
Ilex_mucronata,49,7,6.857142857
Ilex_verticilata,53,13,3.692307692
Prunus_pensylvanica,55,11,4.363636364
Prunus_virginiana,49,7,6.857142857
Vaccinium_corymbosum,55,11,4.363636364
Viburnum_acerifolium,55,11,4.363636364
