"Genus","species","tree_id","name","lat","lon","ele","CreationTime","DBH","locality","note","nomen","assignment","group","flask_id"
"Acer","pensylvanicum",17,"ACEPEN17 HF DB",42.53774897,-72.18679103,393.042297,"2017-07-20T18:44:13Z","5","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL0",20,"CL0_20"
"Acer","pensylvanicum",16,"ACEPEN16 HF DB",42.53726701,-72.18648199,391.302887,"2017-07-20T18:41:20Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL0",5,"CL0_5"
"Acer","pensylvanicum",17,"ACEPEN17 HF DB",42.53774897,-72.18679103,393.042297,"2017-07-20T18:44:13Z","5","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS1",5,"WS1_5"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL1",11,"CL1_11"
"Acer","pensylvanicum",17,"ACEPEN17 HF DB",42.53774897,-72.18679103,393.042297,"2017-07-20T18:44:13Z","5","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL0",11,"CL0_11"
"Acer","pensylvanicum",20,"ACEPEN20 HF DB",42.53847199,-72.185923,394.52301,"2017-07-20T18:53:48Z","6.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS1",12,"CS1_12"
"Acer","pensylvanicum",20,"ACEPEN20 HF DB",42.53847199,-72.185923,394.52301,"2017-07-20T18:53:48Z","6.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL1",16,"WL1_16"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS0",3,"WS0_3"
"Acer","pensylvanicum",20,"ACEPEN20 HF DB",42.53847199,-72.185923,394.52301,"2017-07-20T18:53:48Z","6.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL0",2,"WL0_2"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL0",20,"WL0_20"
"Acer","pensylvanicum",19,"ACEPEN19 HF DB",42.53773699,-72.18650596,392.274872,"2017-07-20T18:49:43Z","5.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS1",18,"CS1_18"
"Acer","pensylvanicum",18,"ACEPEN18 HF DB",42.53767597,-72.186757,392.660248,"2017-07-20T18:45:51Z","6.1","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS0",17,"WS0_17"
"Acer","pensylvanicum",20,"ACEPEN20 HF DB",42.53847199,-72.185923,394.52301,"2017-07-20T18:53:48Z","6.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS1",17,"CS1_17"
