"Var1","Freq"
"ACEPEN15 HF DB",6
"ACEPEN16 HF DB",6
"ACEPEN17 HF DB",9
"ACEPEN18 HF DB",7
"ACEPEN19 HF DB",6
"ACEPEN20 HF DB",14
"ACERUB22 HF DB",8
"ACERUB23 HF DB",11
"ACERUB25 HF DB",12
"ACERUB26 HF DB",4
"ACERUB27 HF DB",4
"ACERUB28 HF DB",6
"ACERUB29 HF DB",3
"ACESAC11 HF DB",11
"ACESAC12 HF DB",8
"ACESAC17 HF DB",10
"ACESAC18 HF DB",9
"ACESAC19 HF DB",10
"BETALL25 HF DB",7
"BETALL26 HF DB",10
"BETALL31 HF DB",10
"BETALL32 HF DB",12
"BETALL33 HF DB",5
"BETALL34 HF DB",4
"COMPER 1 HF DB",13
"COMPER 2 HF DB",5
"COMPER 3 HF DB",4
"COMPER 4 HF DB",6
"COMPER 5 HF DB",4
"COMPER 6 HF DB",10
"COMPER 8 HF DB",6
"CORCOR 15 HF DB",6
"CORCOR 16 HF DB",5
"CORCOR 17 HF DB",5
"CORCOR06 HF",6
"CORCOR07_HF",7
"CORCOR08_HF",2
"CORCOR09_HF",8
"CORCOR10_HF",5
"CORCOR14 HF DB",4
"ILEMUC 10 HF DB",7
"ILEMUC 11 HF DB",8
"ILEMUC 12 HF DB",10
"ILEMUC 13 HF DB",9
"ILEMUC 14 HF DB",7
"ILEMUC 9 HF DB",7
"ILEVER01 HF DB",9
"ILEVER03 HF DB",5
"ILEVER04 HF DB",4
"ILEVER05 HF DB",9
"ILEVER06 HF DB",4
"ILEVER07 HF DB",4
"ILEVER08 HF DB",8
"ILEVER09 HF DB",3
"ILEVER09 HF DB1",2
"PRUPEN 21 HF DB",8
"PRUPEN 22 HF DB",8
"PRUPEN 23 HF DB",9
"PRUPEN 24 HF DB",12
"PRUPEN 26 HF DB",3
"PRUPEN16 HF DB",4
"PRUPEN17 HF DB",4
"PRUVIR 2 HF DB",7
"PRUVIR 3 HF DB",5
"PRUVIR 4 HF DB",9
"PRUVIR 5 HF DB",9
"PRUVIR 6 HF DB",9
"PRUVIR 7 HF DB",9
"VACCOR 1 HF DB",5
"VACCOR 10 HF DB",4
"VACCOR 11 HF DB",5
"VACCOR 2 HF DB",4
"VACCOR 3 HF DB",5
"VACCOR 4 HF DB",5
"VACCOR 5 HF DB",4
"VACCOR 6 HF DB",5
"VACCOR 7 HF DB",4
"VACCOR 8 HF DB",3
"VACCOR 9 HF DB",4
"VIBACE01 HF DB",3
"VIBACE02 HF DB",7
"VIBACE03 HF DB",1
"VIBACE06 HF DB",9
"VIBACE07 HF DB",6
"VIBACE08 HF DB",4
"VIBACE09 HF DB",3
"VIBACE10 HF DB",4
"VIBACE11 HF DB",2
"VIBACE4 HF DB",6
"VIBACE5 HF DB",3
