Family,Genus,species,Proteranthous?,habit,pollination syndrome,,,,,,,,,
Adoxaceae,Viburnum,lantinoides,N,shrub,insect,,,,,,,,,
Adoxaceae,Viburnum,cassiniodes,N,shrub,insect,,,,,,,,,
Aquifolieaceae,Ilex,mucronata,N,shrub,insect,,,,,,,,,
Aquifolieaceae,Ilex,verticilata,N,shrub,insect,*not observed by DF,,,,,,,,
Betulaceae,Corylus,cornuta,Y,shrub,wind,,,,,,,,,
Betulaceae,Alnus,incana,Y,tree,wind,,,,,,,,,
Fabaceae,Cercis,canadensis,Y,tree,insect,*not observed by DF,,,,,,,,
Fagaceae,Quercus,rubra,Y/N,tree,wind,,,,,,,,,
Fagaceae,Quercus,alba,Y/N,tree,wind,,,,,,,,,
Fagaceae,Fagus,grandifolia,N,tree,wind,,,,,,,,,
Juglandaceae,Carya,ovata,Y/N,tree,wind,,,,,,,,,
Oleaceaue,Fraxinus,americana,Y,tree,wind,,,,,,,,,
Roseaceae,Prunus,pensylvanica,N,shrub,insect,,,,,,,,,
Roseaceae,Prunus,avium,Y,tree,insect,*not observed by DF,*exotic but hysteranthous insect pollinated,,,,,,,
Roseaceae,Prunus,serotina,N,tree,insect,,,,,,,,,
Salicaceae,Populus,grandidentata,Y,tree,wind,,,,,,,,,
Sapindaceae,Acer,rubrum,Y,tree,wind?,,,,,,,,,
Sapindaceae,Acer,spicatum,N,shrub,insect/wind,,,,,,,,,
Sapindaceae,Acer,saccharum,Y/N,tree,insect/wind,,,,,,,,,
Sapindaceae,Acer,pensylvanicum,N,tree,insect/wind,,,,,,,,,
Sapindaceae,Acer,negundo,Y,tree,wind,*not observed by DF,,,,,,,,
,,,,,,,,,,,,,,
,Conus,florida,,,,,,,,,,,,
,Cornus,amomum,,,,,,,,,,,,
,Cornus,mas,,,,arboretum,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Species,Current #,Target,H,,,,,,,,,,,
C. cornuta,8,8,Y,,,,,,,,,,,
Betula allegheniensis,10,12,Y,,,,,,,,,,currently sequestered:,109
A. saccharrum,9,12,Y,,,,,576,total cuttings( 6 base level),glassware:,192,,,
A. rubrum,12,12,Y,,,,,768,(8 base level),glasswhare,256,,,
F. americana (or nigra),3,8,Y,,,,,,,,,,,
P. grandidentata,0,8,Y,,,,,,,,,,,
I verticilata (or mucronata),11,12,N,,,,,,,,,,,
P. pensylvanicum,2,8,N,,,,,,,,,,,
A. pensyvanicum,8,8,N,,,,,,,,,,,
F. grandifolia,8,8,N,,,,,,,,,,,
Q. alba,4,8,N,,,,,,,,,,,
V. acerifolium,11,12,N,,,,,,,# beakers/sp,,,,
Comptonia perigynia,,,N,,,,,,0WL,2,,,,
Lindera benzoin,,,Y,,,,,,0WS,2,,,,
Vaccinium corymbosum,,,N,,,,,,OCL,2,,,,
,,,,,,,,,OCS,2,96,,,
,,,,,,,,,CWL,2,,,,
,,,,,,,,,CWS,2,,,,
,,,,,,,,,CCL,2,,,,
,,,,,,,,,CCS,2,,,,
,,,,,,,,,Total,16,,,,
,,,,,,,,,,192,,,,
