"","id","name","GEN.SPA","treatment","Force","Light","Chill","good_flaskid","treatcode","Flo.poss.","Dead.alive","photoperiod","temp_day","temp_night","chilldays","p_z","f_z","c_z","phase","DOY","surv","floposs"
"1","COMPER 3 HF DB_WS0_9","COMPER 3 HF DB","COM.PER","WL0","W","L",0,"WS0_9","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"2","CORCOR 17 HF DB_WS0_6","CORCOR 17 HF DB","COR.COR","WL0","W","L",0,"WS0_6","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",63,0,1
"3","PRUPEN 24 HF DB_WS0_6","PRUPEN 24 HF DB","PRU.PEN","WL0","W","L",0,"WS0_6","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",30,0,1
"4","ACERUB26 HF DB_WS0_3","ACERUB26 HF DB","ACE.RUB","WL0","W","L",0,"WS0_3","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"5","ILEMUC 13 HF DB_WS0_3","ILEMUC 13 HF DB","ILE.MUC","WL0","W","L",0,"WS0_3","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"6","VACCOR 89 HF DB_WS0_24","VACCOR 89 HF DB","VAC.COR","WL0","W","L",0,"WS0_24","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",23,0,1
"7","ACERUB23 HF DB_WS0_23","ACERUB23 HF DB","ACE.RUB","WL0","W","L",0,"WS0_23","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"8","PRUPEN 22 HF DB_WS0_22","PRUPEN 22 HF DB","PRU.PEN","WL0","W","L",0,"WS0_22","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",33,0,1
"9","COMPER 6 HF DB_WS0_21","COMPER 6 HF DB","COM.PER","WL0","W","L",0,"WS0_21","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",21,0,1
"10","PRUVIR 4 HF DB_WS0_21","PRUVIR 4 HF DB","PRU.VIR","WL0","W","L",0,"WS0_21","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
