"year","GDD.flo","treeyear","tree.id","burst.flo","GDD.bb","burst.bb","species","GDD.diff","FLS.diff"
1990,797.521049681955,"ACPE-01 1990","ACPE-01",136,674.259855122588,121,"ACPE",-123.261194559367,-15
1991,760.407450712384,"ACPE-01 1991","ACPE-01",129,688.524033415531,119,"ACPE",-71.8834172968525,-10
1992,751.059721451056,"ACPE-01 1992","ACPE-01",138,723.132393561758,134,"ACPE",-27.9273278892975,-4
1993,695.726928467648,"ACPE-01 1993","ACPE-01",130,563.558309960642,116,"ACPE",-132.168618507005,-14
1994,748.129557888084,"ACPE-01 1994","ACPE-01",135,647.186466340732,121,"ACPE",-100.943091547352,-14
1995,640.60553719923,"ACPE-01 1995","ACPE-01",138,559.741588473017,126,"ACPE",-80.8639487262132,-12
1996,713.473723193851,"ACPE-01 1996","ACPE-01",141,592.46752801602,125,"ACPE",-121.006195177831,-16
1997,582.127301862138,"ACPE-01 1997","ACPE-01",141,512.058660159554,129,"ACPE",-70.068641702584,-12
1998,666.010422081136,"ACPE-01 1998","ACPE-01",125,557.967621408444,111,"ACPE",-108.042800672692,-14
2000,745.176804742282,"ACPE-01 2000","ACPE-01",130,673.321269116204,125,"ACPE",-71.8555356260783,-5
2002,716.783180746723,"ACPE-01 2002","ACPE-01",128,600.803203781051,110,"ACPE",-115.979976965673,-18
1990,797.521049681955,"ACPE-02 1990","ACPE-02",136,713.956409880846,126,"ACPE",-83.5646398011089,-10
1991,788.927186886359,"ACPE-02 1991","ACPE-02",132,688.524033415531,119,"ACPE",-100.403153470828,-13
1992,751.059721451056,"ACPE-02 1992","ACPE-02",138,751.059721451056,138,"ACPE",0,0
1993,695.726928467648,"ACPE-02 1993","ACPE-02",130,621.021869494084,123,"ACPE",-74.7050589735633,-7
1994,780.960818862027,"ACPE-02 1994","ACPE-02",140,688.026465591051,127,"ACPE",-92.9343532709767,-13
1995,648.834479756643,"ACPE-02 1995","ACPE-02",139,573.396729942496,128,"ACPE",-75.4377498141474,-11
1996,713.473723193851,"ACPE-02 1996","ACPE-02",141,642.476336650783,132,"ACPE",-70.9973865430682,-9
1997,595.71096328469,"ACPE-02 1997","ACPE-02",144,542.343766737316,134,"ACPE",-53.3671965473749,-10
1998,684.380335509262,"ACPE-02 1998","ACPE-02",127,607.937391428414,119,"ACPE",-76.442944080848,-8
1999,799.184356992096,"ACPE-02 1999","ACPE-02",144,624.922878748044,125,"ACPE",-174.261478244051,-19
2000,757.408380567407,"ACPE-02 2000","ACPE-02",131,709.651477601474,128,"ACPE",-47.7569029659325,-3
2001,721.420765685517,"ACPE-02 2001","ACPE-02",128,683.122666136615,124,"ACPE",-38.2980995489015,-4
2002,741.391361695436,"ACPE-02 2002","ACPE-02",131,665.326897996016,122,"ACPE",-76.06446369942,-9
1990,938.085470539722,"ACPE-03 1990","ACPE-03",153,699.729010601527,124,"ACPE",-238.356459938194,-29
1992,759.29264902302,"ACPE-03 1992","ACPE-03",141,723.132393561758,134,"ACPE",-36.1602554612613,-7
1994,788.620592132986,"ACPE-03 1994","ACPE-03",141,688.026465591051,127,"ACPE",-100.594126541935,-14
1996,713.473723193851,"ACPE-03 1996","ACPE-03",141,642.476336650783,132,"ACPE",-70.9973865430682,-9
1997,595.71096328469,"ACPE-03 1997","ACPE-03",144,542.343766737316,134,"ACPE",-53.3671965473749,-10
1998,684.380335509262,"ACPE-03 1998","ACPE-03",127,639.292408152087,122,"ACPE",-45.0879273571749,-5
2000,770.595166370785,"ACPE-03 2000","ACPE-03",133,709.651477601474,128,"ACPE",-60.9436887693108,-5
2002,781.894447222518,"ACPE-03 2002","ACPE-03",137,660.009957546648,121,"ACPE",-121.88448967587,-16
1990,863.430995860462,"ACPE-04 1990","ACPE-04",146,733.513798781658,129,"ACPE",-129.917197078805,-17
1992,759.29264902302,"ACPE-04 1992","ACPE-04",141,751.059721451056,138,"ACPE",-8.23292757196373,-3
1993,695.726928467648,"ACPE-04 1993","ACPE-04",130,621.021869494084,123,"ACPE",-74.7050589735633,-7
1994,788.620592132986,"ACPE-04 1994","ACPE-04",141,748.129557888084,135,"ACPE",-40.4910342449018,-6
1995,654.992458934073,"ACPE-04 1995","ACPE-04",140,595.83167470969,131,"ACPE",-59.1607842243836,-9
1996,749.428308609508,"ACPE-04 1996","ACPE-04",144,677.054046366041,137,"ACPE",-72.3742622434673,-7
1997,659.535163043658,"ACPE-04 1997","ACPE-04",151,561.773538759742,136,"ACPE",-97.7616242839155,-15
1998,684.380335509262,"ACPE-04 1998","ACPE-04",127,617.246051795425,120,"ACPE",-67.1342837138371,-7
2000,788.488229608735,"ACPE-04 2000","ACPE-04",136,709.651477601474,128,"ACPE",-78.8367520072605,-8
2002,781.894447222518,"ACPE-04 2002","ACPE-04",137,741.391361695436,131,"ACPE",-40.503085527082,-6
1990,563.348055340601,"ACRU-01 1990","ACRU-01",107,674.259855122588,121,"ACRU",110.911799781987,14
1991,517.974088617497,"ACRU-01 1991","ACRU-01",97,760.407450712384,129,"ACRU",242.433362094887,32
1992,598.835215677463,"ACRU-01 1992","ACRU-01",116,751.059721451056,138,"ACRU",152.224505773593,22
1993,523.008466539946,"ACRU-01 1993","ACRU-01",111,590.193619514092,120,"ACRU",67.1851529741467,9
1994,583.251268612994,"ACRU-01 1994","ACRU-01",113,748.129557888084,135,"ACRU",164.87828927509,22
1995,494.015252351192,"ACRU-01 1995","ACRU-01",117,590.292717951228,130,"ACRU",96.2774656000362,13
1996,517.720447459359,"ACRU-01 1996","ACRU-01",113,553.29161279855,119,"ACRU",35.5711653391903,6
1997,481.501001187688,"ACRU-01 1997","ACRU-01",113,561.773538759742,137,"ACRU",80.2725375720541,24
1998,454.695870891641,"ACRU-01 1998","ACRU-01",95,666.010422081136,125,"ACRU",211.314551189495,30
1999,488.535321233643,"ACRU-01 1999","ACRU-01",102,663.727558533817,130,"ACRU",175.192237300174,28
2000,516.762093981511,"ACRU-01 2000","ACRU-01",99,757.408380567407,131,"ACRU",240.646286585896,32
2001,592.320697151457,"ACRU-01 2001","ACRU-01",115,683.122666136615,124,"ACRU",90.8019689851583,9
2002,502.594622149333,"ACRU-01 2002","ACRU-01",101,749.466754033012,132,"ACRU",246.87213188368,31
1990,568.348055340601,"ACRU-02 1990","ACRU-02",108,669.089831023486,120,"ACRU",100.741775682885,12
1991,517.974088617497,"ACRU-02 1991","ACRU-02",97,688.524033415531,119,"ACRU",170.549944798034,22
1992,598.835215677463,"ACRU-02 1992","ACRU-02",116,691.931926146576,131,"ACRU",93.0967104691127,15
1993,534.18010819241,"ACRU-02 1993","ACRU-02",112,580.88601235209,119,"ACRU",46.7059041596798,7
1994,590.503247912594,"ACRU-02 1994","ACRU-02",114,676.899448799951,125,"ACRU",86.3962008873576,11
1995,487.606076857326,"ACRU-02 1995","ACRU-02",116,559.741588473017,126,"ACRU",72.1355116156911,10
1996,517.720447459359,"ACRU-02 1996","ACRU-02",113,592.46752801602,125,"ACRU",74.7470805566608,12
1997,493.206054290608,"ACRU-02 1997","ACRU-02",115,524.671762769345,132,"ACRU",31.4657084787374,17
1998,464.799385235332,"ACRU-02 1998","ACRU-02",97,617.246051795425,120,"ACRU",152.446666560093,23
1999,498.640480962757,"ACRU-02 1999","ACRU-02",104,633.57836691379,126,"ACRU",134.937885951033,22
2000,536.651078667867,"ACRU-02 2000","ACRU-02",102,745.176804742282,130,"ACRU",208.525726074415,28
2001,592.320697151457,"ACRU-02 2001","ACRU-02",115,666.417140224382,123,"ACRU",74.096443072925,8
2002,556.035226662799,"ACRU-02 2002","ACRU-02",107,705.852685960632,127,"ACRU",149.817459297832,20
1990,650.115585920037,"ACRU-03 1990","ACRU-03",118,759.186172007615,132,"ACRU",109.070586087578,14
1991,579.556076548117,"ACRU-03 1991","ACRU-03",104,730.644415740559,125,"ACRU",151.088339192442,21
1992,652.467768216338,"ACRU-03 1992","ACRU-03",124,751.059721451056,138,"ACRU",98.5919532347181,14
1993,544.845960967659,"ACRU-03 1993","ACRU-03",114,640.232580623009,125,"ACRU",95.3866196553497,11
1994,590.503247912594,"ACRU-03 1994","ACRU-03",114,748.129557888084,135,"ACRU",157.62630997549,21
1995,566.079774864593,"ACRU-03 1995","ACRU-03",127,648.834479756643,139,"ACRU",82.7547048920497,12
1996,539.272250418711,"ACRU-03 1996","ACRU-03",115,642.476336650783,132,"ACRU",103.204086232072,17
1997,481.501001187688,"ACRU-03 1997","ACRU-03",113,576.579010189601,139,"ACRU",95.0780090019126,26
1998,464.799385235332,"ACRU-03 1998","ACRU-03",97,639.292408152087,122,"ACRU",174.493022916755,25
1999,504.194833692155,"ACRU-03 1999","ACRU-03",105,654.606223849974,129,"ACRU",150.411390157819,24
2000,488.275415010921,"ACRU-03 2000","ACRU-03",94,745.176804742282,130,"ACRU",256.901389731361,36
2001,592.320697151457,"ACRU-03 2001","ACRU-03",114,683.122666136615,124,"ACRU",90.8019689851583,10
2002,518.109119669943,"ACRU-03 2002","ACRU-03",103,741.391361695436,131,"ACRU",223.282242025494,28
1990,568.348055340601,"ACRU-04 1990","ACRU-04",108,699.729010601527,124,"ACRU",131.380955260926,16
