"","mean_funct_offset","mean_phys_offset","mean_minP","mean_floday","mean_pol","funct.bin","phys.bin"
"Hamamelis_virginiana",-10,-41,0.261124803194958,0.922946832335741,-0.593414719823785,0,0
"Acer_pensylvanicum",13.5925925925926,-5.4390243902439,-0.179893962834241,0.0405892083739813,-0.593414719823785,1,0
"Acer_rubrum",39.390243902439,22.3008130081301,-0.106390835162708,-0.559614559230222,0.421033014378631,1,1
"Acer_saccharum",20.1111111111111,5.72727272727273,-0.326900218177307,-0.255386091702512,0.421033014378631,1,1
"Populus_tremuloides",36.304347826087,21.962962962963,-1.4294471332503,-0.753960982135274,0.421033014378631,1,1
"Fagus_grandifolia",6.6,-8.6,0.114118547851891,0.0486417925149915,0.421033014378631,1,0
"Quercus_velutina",10.4666666666667,-2.05,0.261124803194958,0.152861783256152,0.421033014378631,1,0
"Quercus_rubra",18.6571428571429,-1.97260273972603,0.261124803194958,-0.0561029911672374,0.421033014378631,1,0
"Betula_alleghaniensis",18.6451612903226,2.11428571428571,-0.106390835162708,-0.13281492849918,0.421033014378631,1,1
"Betula_lenta",11.9090909090909,0.0625,0.187621675523424,-0.0286777008024898,0.421033014378631,1,1
"Betula_papyrifera",11.3478260869565,-3.45161290322581,-1.06193149489264,-0.0691547859793763,0.421033014378631,1,0
"Betula_populifolia",11.8235294117647,-4.47222222222222,0.702143569224156,0.0474172756524975,0.421033014378631,1,0
"Prunus_serotina",-6.33333333333333,-28.5833333333333,-0.400403345848841,0.392889764543179,-0.593414719823785,0,0
"Amelanchier_arborea",17.4166666666667,0,-0.032887707491175,-0.180164939517871,-0.593414719823785,1,1
"Cornus_alternifolia",-10.2222222222222,-34.85,-0.179893962834241,0.486950800573277,-0.593414719823785,0,0
"Nyssa_sylvatica",-7.66666666666667,-24.1111111111111,0.996156079910289,0.809867991206661,-0.593414719823785,0,0
"Kalmia_latifolia",-8.25,-27,0.408131058538024,0.987276485563293,-0.593414719823785,0,0
"Lyonia_ligustrina",-33.3125,-48.0555555555556,0.922652952238756,1.23953546282639,-0.593414719823785,0,0
"Vaccinium_corymbosum",9.54166666666667,-11.5625,0.408131058538024,0.118223829414306,-0.593414719823785,1,0
"Ilex_verticillata",-27.7777777777778,-46.1578947368421,0.628640441552623,1.08357018621228,-0.593414719823785,0,0
"Sambucus_racemosa",17.6571428571429,-15.425,-0.179893962834241,-0.0612245815365577,-0.593414719823785,1,0
"Viburnum_nudum",-26,-52.5,0.628640441552623,0.818862899023747,-0.593414719823785,0,0
"Fraxinus_americana",22.6071428571429,2.71428571428571,0.114118547851891,0.00932119548601599,0.421033014378631,1,1
