Genus,Species,Pollination,Phen sequence,heigh_height ft,flower_class,flo_time,av_fruit_time
Asimina,triloba,insect,syn,,perfect,4,9.5
Tilia,americana,insect,ser,130,perfect,6.5,10
Ailanthus,alyissima,insect,ser,70,polygamo-dioecious,6,10
Ilex,monticola,insect,syn/ser,,,6,
Acer,pensylvanicum,insect,syn/ser,40,polygamo-monecious,5,9
Acer,spicatum,insect,ser,30,polygamo-monecious,6,9
Acer,saccarum,wind,syn,120,polygamo-monecious,5,9
Acer,saccharinum,wind,pro,100,polygamo-monecious,3.5,4.5
Acer,rubrum,wind,pro,100,polygamo-monecious,3.5,5.5
Acer,platanoides,wind,syn,60,,,
Acer,pseudoplatanus,insect,syn,,,,
Acer,negundo,wind,pro,70,dioecious,4,6
Robinia,pseudoacacia,insect,ser,70,perfect,5,11
Cercis,canadensis,insect,pro/syn,,perfect,4.5,12
Prunus,nigra,insect,pro,20,perfect,5,9.5
Prunus,pennsylvanica,insect,ser,40,perfect,5,
Prunus,serotina,insect,syn,50,perfect,5.5,8.5
Malus,coronaria,insect,syn/ser,,perfect,5.5,10
Sorbus,americana,insect,ser,,perfect,5.5,10
Craetaegus,crus-gali,insect,ser,,perfect,5.5,9
Craetaegus,coccinea,insect,syn/ser,20,perfect,5,9.5
Craetaegus,mollis,insect,syn,,perfect,5,9
Craetaegus,punctata,insect,ser,,perfect,5.5,9
Amelachier,canadensis,insect,syn,,perfect,4,6
Liquidambar,styraxiflua,insect,syn,140,monoecious,4,12
Nyssa,sylvatica,insect,syn,100,polygamo-dioecious,5.5,10
Diospoyros,virginiana,insect,syn,50,dioecious,5.5,
Mohrodendron,carolinum,insect,syn,90,perfect,5,12
Fraxinus,americana,wind,pro,100,dioecious,5,8.5
Fraxinus,pennsylvanica,wind,syn,40,dioecious,5,12
Fraxinus,quadrangulata,wind,pro,120,perfect,4,9.5
Fraxinus,nigra,wind,pro,,polygamous,4,9.5
Chionanthus,virginicus,insect,syn,30,perfect,4.5,
Sassafras,albidum,insect,syn,50,dioecious,5,
Ulmus,americana,wind,pro,120,perfect,3.5,
Ulmus,racemosa,wind,pro,60,perfect,3.5,5
Ulmus,alata,wind,pro,50,perfect,3,
Celtis,occidentalis,wind,syn/ser,30,polygamo-monecious,5,9.5
Morus,rubra,wind,syn,70,dioecious,5.5,7
Maclura,pomifera,wind,ser,60,dioecious,6,
Platanus,occidentalis,wind,syn,120,monoecious,5,10
Juglans,nigra,wind,syn,100,monoecious,5,
Juglans,cinerea,wind,syn,70,monoecious,5,
Carya,cordiformis,wind,syn,100,monoecious,5.5,
Carya,ovata,wind,ser,100,monoecious,5,
Carya,tomentosa,wind,syn,,monoecious,5,10
Carya,glabra,wind,syn,100,monoecious,5.5,
Betula,populifolia,wind,pro,30,monoecious,4,
Betula,papyrifera,wind,pro,70,monoecious,4,
Betula,nigra,wind,pro,95,monoecious,3.5,5.5
Betula,alleghaniensis,wind,pro,100,monoecious,4,
Betula,lenta,wind,pro,80,monoecious,4,
Ostrya,virginiana,wind,syn,50,monoecious,4.5,
Quercus,alba,wind,syn,100,monoecious,5,
Quercus,minor,wind,syn,60,monoecious,5,
Quercus,macrocarpa,wind,syn,160,monoecious,5,
Quercus,prinus,wind,syn,100,monoecious,5,
Quercus,acuminata,wind,syn,160,monoecious,4,
Quercus,prinoides,wind,syn,12,monoecious,5,
Quercus,rubra,wind,syn,140,monoecious,5,
Quecus,coccinea,wind,syn,160,monoecious,5,
Quercus,velutina,wind,syn,150,monoecious,5,
Quercus,digitata,wind,syn,80,monecious,5,
Quercus,palustris,wind,syn,70,monoecious,5,
Quercus,ilicifolia,wind,syn,,monoecious,5,
Quercus,nigra,wind,syn,,monoecious,5,
Quercus,imbricaria,wind,syn,60,monoecious,5,
Quercus,phellos,wind,syn,80,monoecious,5,
Fagus,grandifolia,wind,syn,80,monoecious,4,
Salix,nigra,ambo,pro,40,monoecious,3.5,
Salix,lucida,ambo,pro,20,monoecious,4,
Salix,bebbiana,ambo,syn,20,monoecious,,
Salix,discolor,ambo,pro,20,monoecious,,
Populus,tremuloides,wind,pro,50,dioecious,4,
Polulus,grandidentata,wind,pro,60,dioecious,4,5
Populus,heterophylla,wind,pro,90,dioecious,3.5,5
Populus,deltoides,wind,pro,100,dioecious,3.5,
Populus,balsamifera,wind,pro,100,dioecious,3.5,5.5
