s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
6;10.7167;53.8333;13;115;30;60;1951;115
14;9.83333;54.4667;5;115;30;60;1951;117
27;9.6;54.4;15;115;30;60;1951;130
41;10.6167;54.1333;40;115;30;60;1951;127
45;10.5667;54.1667;55;115;30;60;1951;116
73;9.16667;54.7167;10;115;30;60;1951;119
81;9.16667;54.7667;15;115;30;60;1951;119
95;10.5667;53.6833;40;115;30;60;1951;116
104;10.6167;53.6667;30;115;30;60;1951;121
110;10.4833;53.5;40;115;30;60;1951;115
119;9.03333;54.6167;15;115;30;60;1951;140
148;10.8333;54.25;55;115;30;60;1951;101
158;10.7833;54.0833;25;115;30;60;1951;126
163;9.75;53.7667;8;115;30;60;1951;114
167;9.85;53.6333;10;115;30;60;1951;124
168;9.6;53.6333;2;115;30;60;1951;149
173;9.88333;53.7333;13;115;30;60;1951;115
185;10.1833;54.3667;12;115;30;60;1951;119
213;9.65;54.0833;60;115;30;60;1951;145
215;9.66667;54.2333;6;115;30;60;1951;114
241;9.51667;54.55;20;115;30;60;1951;141
244;9.56667;54.5167;18;115;30;60;1951;117
247;9.21667;54.35;10;115;30;60;1951;136
277;9.43333;53.7833;2;115;30;60;1951;119
279;9.51667;53.9167;30;115;30;60;1951;115
289;10.2;53.6667;50;115;30;60;1951;127
304;10.4167;53.6167;30;115;30;60;1951;119
307;9.28333;54.15;35;115;30;60;1951;130
325;8.95;54.7833;5;115;30;60;1951;117
372;8.73333;52.85;40;115;30;60;1951;102
384;8.81667;52.9167;40;115;30;60;1951;110
400;9.31667;52.1;220;115;30;60;1951;110
404;9.56667;52.0833;160;115;30;60;1951;119
425;9.6;52.6;30;115;30;60;1951;119
427;9.45;52.4;50;115;30;60;1951;121
437;9.25;52.6667;25;115;30;60;1951;110
453;8.9;52.5;40;115;30;60;1951;105
464;9.2;52.3333;80;115;30;60;1951;112
480;9.93333;51.5333;150;115;30;60;1951;107
481;9.95;51.5333;190;115;30;60;1951;106
484;9.81667;51.9833;90;115;30;60;1951;119
491;9.78333;51.9833;160;115;30;60;1951;125
517;10.1667;52.1;100;115;30;60;1951;107
533;9.45;51.8333;100;115;30;60;1951;107
537;9.63333;51.8833;270;115;30;60;1951;112
539;9.61667;51.5333;120;115;30;60;1951;113
553;10;51.7167;130;115;30;60;1951;98
559;10.1833;51.7667;160;115;30;60;1951;126
564;10.4667;51.6333;300;115;30;60;1951;112
565;10.25;51.7333;220;115;30;60;1951;113
568;10.55;51.6;340;115;30;60;1951;116
569;10.0667;51.8167;240;115;30;60;1951;125
589;10.0833;52.6333;50;115;30;60;1951;116
594;9.75;52.5833;40;115;30;60;1951;121
601;9.88333;52.4667;65;115;30;60;1951;71
603;9.75;52.5333;50;115;30;60;1951;115
604;10.1167;52.6;40;115;30;60;1951;109
609;10.2333;52.7333;70;115;30;60;1951;114
629;9.93333;52.8167;65;115;30;60;1951;116
642;9.6;52.8667;35;115;30;60;1951;115
671;9.88333;53.3333;75;115;30;60;1951;134
675;10.1167;53.2333;50;115;30;60;1951;132
726;10.8833;53.0333;100;115;30;60;1951;117
729;11.4;52.9667;25;115;30;60;1951;128
730;11.0667;53.0833;20;115;30;60;1951;117
732;11.2;53.1167;20;115;30;60;1951;136
736;10.9;52.9;40;115;30;60;1951;131
760;10.0667;53.1;75;115;30;60;1951;69
769;10.5833;53.0833;30;115;30;60;1951;115
772;10.2833;53.0167;75;115;30;60;1951;121
779;10.5833;53.0667;25;115;30;60;1951;120
782;10.6833;53.0167;50;115;30;60;1951;118
832;8.6;53.2667;6;115;30;60;1951;122
849;9.41667;53.1167;25;115;30;60;1951;121
878;9.48333;53.6;7;115;30;60;1951;127
908;7.3;52.9;8;115;30;60;1951;110
918;7.98333;52.4167;45;115;30;60;1951;106
919;7.95;52.55;35;115;30;60;1951;120
922;7.68333;52.5167;50;115;30;60;1951;131
924;7.95;52.6667;25;115;30;60;1951;111
951;7.3;52.5;25;115;30;60;1951;112
964;7.48333;52.6667;20;115;30;60;1951;112
