"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"1","118","54.6167,8.96667","8.96667","54.6167","10","102","40","1961",59,74,15
"2","124","54.6667,9.13333","9.13333","54.6667","20","102","40","1961",53,116,63
"3","142","54.5,11.1","11.1","54.5","6","102","40","1961",93,112,19
"4","152","54.1,10.8167","10.8167","54.1","10","102","40","1961",104,110,6
"5","174","53.5833,9.7","9.7","53.5833","15","102","40","1961",60,79,19
"6","199","54.1167,10.1667","10.1667","54.1167","45","102","40","1961",63,104,41
"7","215","54.2333,9.66667","9.66667","54.2333","6","102","40","1961",108,122,14
"8","265","54.0167,10.1667","10.1667","54.0167","45","102","40","1961",71,102,31
"9","360","52.7667,8.75","8.75","52.7667","55","102","40","1961",51,98,47
"10","427","52.4,9.45","9.45","52.4","50","102","40","1961",90,99,9
"11","442","52.4167,8.75","8.75","52.4167","50","102","40","1961",55,110,55
"12","467","52.2167,9.4","9.4","52.2167","160","102","40","1961",60,110,50
"13","498","51.5,10.1833","10.1833","51.5","210","102","40","1961",106,114,8
"14","502","51.8,9.7","9.7","51.8","160","102","40","1961",65,106,41
"15","531","51.95,9.73333","9.73333","51.95","200","102","40","1961",68,108,40
"16","552","51.6333,9.93333","9.93333","51.6333","140","102","40","1961",115,91,-24
"17","553","51.7167,10","10","51.7167","130","102","40","1961",95,92,-3
"18","568","51.6,10.55","10.55","51.6","340","102","40","1961",61,105,44
"19","619","52.8667,10.1167","10.1167","52.8667","55","102","40","1961",61,111,50
"20","656","52.5333,10.35","10.35","52.5333","50","102","40","1961",57,84,27
"21","680","53.45,9.73333","9.73333","53.45","40","102","40","1961",76,116,40
"22","732","53.1167,11.2","11.2","53.1167","20","102","40","1961",63,100,37
"23","831","53.15,8.93333","8.93333","53.15","4","102","40","1961",60,79,19
"24","867","53.5167,9.48333","9.48333","53.5167","25","102","40","1961",107,114,7
"25","868","53.6167,9.31667","9.31667","53.6167","6","102","40","1961",117,124,7
"26","906","52.2833,8.03333","8.03333","52.2833","80","102","40","1961",67,100,33
"27","909","52.9667,7.76667","7.76667","52.9667","15","102","40","1961",102,127,25
"28","932","52.6,6.85","6.85","52.6","15","102","40","1961",56,112,56
"29","977","52.3167,8.03333","8.03333","52.3167","90","102","40","1961",48,113,65
"30","1074","51.9,9.85","9.85","51.9","200","102","40","1961",138,141,3
"31","1107","52.2833,10.75","10.75","52.2833","100","102","40","1961",42,111,69
"32","1119","52.1833,10.7167","10.7167","52.1833","150","102","40","1961",53,106,53
"33","1129","53.15,8.2","8.2","53.15","5","102","40","1961",52,105,53
"34","1131","53.1333,7.98333","7.98333","53.1333","5","102","40","1961",77,100,23
"35","1176","53.4,8.13333","8.13333","53.4","10","102","40","1961",59,105,46
"36","1187","53.0667,8.16667","8.16667","53.0667","15","102","40","1961",67,71,4
"37","1324","51.6333,6.18333","6.18333","51.6333","20","102","40","1961",52,118,66
"38","1413","50.9833,7.4","7.4","50.9833","140","102","40","1961",52,101,49
"39","1510","51.9833,6.93333","6.93333","51.9833","50","102","40","1961",100,119,19
"40","1539","51.8333,7.3","7.3","51.8333","65","102","40","1961",47,90,43
