"X","Genus","Species","Pollination","Phen.sequence","heigh_height.ft","flower_class","flo_time","av_fruit_time","name"
1,"Asimina","triloba","insect","syn",NA,"perfect",4,9.5,"Asimina_triloba"
2,"Tilia","americana","insect","ser",130,"perfect",6.5,10,"Tilia_americana"
3,"Ailanthus","alyissima","insect","ser",70,"polygamo-dioecious",6,10,"Ailanthus_altissima"
4,"Ilex","monticola","insect","syn/ser",NA,"",6,NA,"Ilex_montana"
5,"Acer","pensylvanicum","insect","syn/ser",40,"polygamo-monecious",5,9,"Acer_pensylvanicum"
6,"Acer","spicatum","insect","ser",30,"polygamo-monecious",6,9,"Acer_spicatum"
7,"Acer","saccarum","wind","syn",120,"polygamo-monecious",5,9,"Acer_saccharum"
8,"Acer","saccharinum","wind","pro",100,"polygamo-monecious",3.5,4.5,"Acer_saccharinum"
9,"Acer","rubrum","wind","pro",100,"polygamo-monecious",3.5,5.5,"Acer_rubrum"
10,"Acer","platanoides","wind","syn",60,"",NA,NA,"Acer_platanoides"
11,"Acer","pseudoplatanus","insect","syn",NA,"",NA,NA,"Acer_pseudoplatanus"
12,"Acer","negundo","wind","pro",70,"dioecious",4,6,"Acer_negundo"
13,"Robinia","pseudoacacia","insect","ser",70,"perfect",5,11,"Robinia_pseudoacacia"
14,"Cercis","canadensis","insect","pro/syn",NA,"perfect",4.5,12,"Cercis_canadensis"
15,"Prunus","nigra","insect","pro",20,"perfect",5,9.5,"Prunus_nigra"
16,"Prunus","pennsylvanica","insect","ser",40,"perfect",5,NA,"Prunus_pensylvanica"
17,"Prunus","serotina","insect","syn",50,"perfect",5.5,8.5,"Prunus_serotina"
18,"Malus","coronaria","insect","syn/ser",NA,"perfect",5.5,10,"Malus_coronaria"
19,"Sorbus","americana","insect","ser",NA,"perfect",5.5,10,"Sorbus_americana"
20,"Liquidambar","styraxiflua","insect","syn",140,"monoecious",4,12,"Liquidambar_styraciflua"
21,"Nyssa","sylvatica","insect","syn",100,"polygamo-dioecious",5.5,10,"Nyssa_sylvatica"
22,"Mohrodendron","carolinum","insect","syn",90,"perfect",5,12,"Halesia_carolina"
23,"Fraxinus","americana","wind","pro",100,"dioecious",5,8.5,"Fraxinus_americana"
24,"Fraxinus","pennsylvanica","wind","syn",40,"dioecious",5,12,"Fraxinus_pennsylvanica"
