"","Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","imputed_resp","imputed_pred","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruiting","pro3","dev.time","min._precip","min_temp","frost_free","height_cent","fruit_cent","flo_cent","pol_cent","av_fruit_time_cent","dev_time_cent","tol_cent","precip_cent"
"1","Smilaceae","Smilax","rotundifolia","insect","ser",5,"dioecious",6,10.5,"intolerant","Y","N","Smilax_rotundifolia",0,0,0,"0shrub",0,1,0,10.5,0,4.5,32,-33,185,-0.405994400689537,0.342695150954521,0.365683389554263,-0.390895870240413,NA,0.21433680720224,-0.408011528691085,0.459077779620328
"2","Lauraceae","Lindera","benzoin","insect","pro",5,"dioecious",4,8,"moderately_tolerant","N","N","Lindera_benzoin",1,1,0,"0shrub",0,1,1,8,1,4,32,-23,120,-0.405994400689537,-0.130765254969488,-0.639091531277076,-0.390895870240413,NA,0.115256585004978,0.608559568217212,0.459077779620328
"3","Lauraceae","Sassafras","albidum","insect","syn",18,"dioecious",5,9.5,"tolerant","N","N","Sassafras_albidum",0,1,0,"1smalltree",1,1,1,9.5,0,4.5,30,-27,160,0.239852015457725,0.153310988584917,-0.136704070861407,-0.390895870240413,NA,0.21433680720224,0.608559568217212,0.330290692589435
"4","Magnoliaceae","Liriodendron","tulipifera","insect","ser",32,"perfect",5.5,9.5,"intolerant","N","N","Liriodendron_tulipifera",0,0,0,"2talltree",1,0,0,9.5,0,4,30,-18,150,0.935378925154776,0.153310988584917,0.114489659346428,-0.390895870240413,NA,0.115256585004978,-0.408011528691085,0.330290692589435
"5","Annonanceae","Asimina","triloba","insect","pro",9,"perfect",5.5,9.5,"tolerant","N","N","Asimina_triloba",1,1,0,"0shrub",0,0,1,9.5,1,4,36,-27,160,-0.20727242649038,0.153310988584917,0.114489659346428,-0.390895870240413,NA,0.115256585004978,0.608559568217212,0.716651953682115
"6","Platanaceae","Platanus","occidentalis","wind","syn",30,"monoecious",5,10,"intolerant","N","N","Platanus_occidentalis",0,1,1,"2talltree",1,1,0,10,0,5,30,-35,100,0.836017938055197,0.248003069769719,-0.136704070861407,0.635205789140671,NA,0.313417029399502,-0.408011528691085,0.330290692589435
"7","Ranunculaceae","Clematis","virginiana","insect","ser",5,"monoecious",7.5,9,"intolerant","Y","N","Clematis_virginiana",0,0,0,"0shrub",0,1,0,9,0,1.5,32,-38,85,-0.405994400689537,0.0586189074001155,1.11926458017777,-0.390895870240413,NA,-0.380144525981331,-0.408011528691085,0.459077779620328
"8","Hammamelidaceae","Liquidambar","styraciflua","wind","syn",22,"monoecious",4.5,12,"intolerant","N","N","Liquidambar_styraciflua",0,1,1,"2talltree",1,1,0,12,0,7.5,40,-21,180,0.438573989656882,0.626771394508926,-0.387897801069241,0.635205789140671,NA,0.808818140385811,-0.408011528691085,0.974226127743902
"9","Hammamelidaceae","Hamamelis","virginiana","insect","hyst",10,"perfect",10.5,10.5,"tolerant","N","N","Hamamelis_virginiana",0,0,0,"1smalltree",0,0,1,10.5,0,0,30,-28,120,-0.15759193294059,0.342695150954521,2.62642696142477,-0.390895870240413,NA,-0.677385192573117,0.608559568217212,0.330290692589435
"10","Grossulariaceae","Ribes","lacustre","insect","ser",1,"perfect",5.5,8,"moderately_tolerant","Y","N","Ribes_lacustre",0,0,0,"0shrub",0,0,1,8,0,2.5,8,-62,120,-0.604716374888695,-0.130765254969488,0.114489659346428,-0.390895870240413,NA,-0.181984081586807,0.608559568217212,-1.0863672647504
