"","genus","species","silvics_pollin","silvic_phen_seq","flower_class","av_fruit_time","locality","flower_time","flower_locality","shade","height","imputed","imputed_pred","name","pro","pol","fruit_bin","shade_bin","X","min._precip","min_temp","frost_free","fruiting","pro2","pro3","height_cent","fruit_cent","flo_cent","pol_cent","tol_cent","dev.time","dev_time_cent","precip_cent"
"1","Sassafras","albidum","insect","syn","dio",8.5,"",3.5,"","intolerant",30,"N","N","Sassafras_albidum",0,0,0,0,1,30,-27,160,8.5,1,0,0.124196557932234,-0.174475990537992,-0.572665308699095,-0.722715150653323,-0.614887322810518,5,0.0164994263455426,0.151498190379546
"2","Magnolia","fraseri","insect","ser","perfect",9,"",5.5,"","medium_tolerant",24,"Y","fruit","Magnolia_fraseri",0,0,1,1,2,35,-16,160,9,0,0,-0.171683477141617,-0.0963955748828686,0.359714389886367,-0.722715150653323,0.401559067957889,3.5,-0.206242829319284,0.420606818027425
"3","Magnolia","acuminata","insect","syn/ser","perfect",9,"",5.5,"","medium_tolerant",30,"N","N","Magnolia_acuminata",0,0,1,1,3,40,-13,150,9,0,0,0.124196557932234,-0.0963955748828686,0.359714389886367,-0.722715150653323,0.401559067957889,3.5,-0.206242829319284,0.689715445675303
"4","Platanus","occidentalis","wind","syn","mono",9.5,"",4,"","medium_tolerant",43,"Y","N","Platanus_occidentalis",0,1,1,1,4,30,-35,100,9.5,1,0,0.76526996725891,-0.0183151592277449,-0.33957038405273,0.341647162127025,0.401559067957889,5.5,0.0907468449004848,0.151498190379546
"5","Liquidambar","styraciflua","wind","syn","mono",10,"",4,"","intolerant",20,"Y","pol,pro,height","Liquidambar_styraciflua",0,1,1,0,5,40,-21,180,10,1,0,-0.368936833857518,0.0597652564273787,-0.33957038405273,0.341647162127025,-0.614887322810518,6,0.164994263455427,0.689715445675303
"6","Tilia","americana","insect","ser","perfect",9.5,"",6,"","tolerant",40,"N","N","Tilia_americana",0,0,1,1,6,21,-46,80,9.5,0,0,0.617329949721985,-0.0183151592277449,0.592809314532732,-0.722715150653323,0.401559067957889,3.5,-0.206242829319284,-0.332897339386635
"7","Tilia","heterophylla","insect","ser","perfect",9.5,"",6.5,"","tolerant",27,"Y","N","Tilia_heterophylla",0,0,1,1,7,35,-21,165,9.5,0,0,-0.0237434596046917,-0.0183151592277449,0.825904239179098,-0.722715150653323,0.401559067957889,3,-0.280490247874226,0.420606818027425
"8","Aesculus","glabra","insect","ser","polygamo-mono",9.5,"",4,"","tolerant",21.3,"N","N","Aesculus_glabra",0,0,1,1,8,30,-33,145,9.5,0,0,-0.30482949292485,-0.0183151592277449,-0.33957038405273,-0.722715150653323,0.401559067957889,5.5,0.0907468449004848,0.151498190379546
"9","Aesculus","octandra","insect","ser","polygamo-mono",9,"",5,"","tolerant",26,"N","N","Aesculus_octandra",0,0,1,1,9,39,-18,150,9,0,0,-0.0730567987836668,-0.0963955748828686,0.126619465240001,-0.722715150653323,0.401559067957889,4,-0.131995410764342,0.635893720145727
"10","Acer","nigrum","ambo","syn","mono",9.5,"New england",4.5,"range ave","tolerant",34,"N","N","Acer_nigrum",0,0,1,1,10,24,-47,130,9.5,1,0,0.321449914648134,-0.0183151592277449,-0.106475459406364,-0.722715150653323,0.401559067957889,5,0.0164994263455426,-0.171432162797908
"11","Acer","pensylvanicum","insect","ser","mono/dio",10.5,"",5.5,"","tolerant",15,"N","N","Acer_pensylvanicum",0,0,1,1,11,24,-47,90,10.5,0,0,-0.615503529752393,0.137845672082502,0.359714389886367,-0.722715150653323,0.401559067957889,5,0.0164994263455426,-0.171432162797908
"12","Acer","negundo","wind","pro/syn","dio",9,"",4,"","tolerant",23,"N","N","Acer_negundo",1,1,1,1,12,15,-46,100,9,1,0,-0.220996816320592,-0.0963955748828686,-0.33957038405273,0.341647162127025,0.401559067957889,5,0.0164994263455426,-0.655827692564089
