"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"10","7923","52.1,5.11667","5.11667","52.1","0","222","100","1894",93,NA,NA,"Prunus avium"
"13","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1894",94,NA,NA,"Prunus avium"
"18","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1894",101,NA,NA,"Prunus avium"
"20","7742","50.85,5.68333","5.68333","50.85","0","222","130","1894",97,NA,NA,"Prunus avium"
"21","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1894",94,NA,NA,"Prunus avium"
"23","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1894",88,NA,NA,"Prunus avium"
"31","7645","52.35,5.63333","5.63333","52.35","0","222","100","1895",114,NA,NA,"Prunus avium"
"35","7996","52.0167,4.58333","4.58333","52.0167","0","222","100","1895",124,NA,NA,"Prunus avium"
"39","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1895",116,NA,NA,"Prunus avium"
"44","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1895",121,NA,NA,"Prunus avium"
"45","7645","52.35,5.63333","5.63333","52.35","0","222","130","1895",117,NA,NA,"Prunus avium"
"47","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1895",115,NA,NA,"Prunus avium"
"48","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1895",115,NA,NA,"Prunus avium"
"49","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1895",124,NA,NA,"Prunus avium"
"53","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1896",111,NA,NA,"Prunus avium"
"55","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1896",119,NA,NA,"Prunus avium"
"56","7645","52.35,5.63333","5.63333","52.35","0","222","100","1896",106,NA,NA,"Prunus avium"
"58","7923","52.1,5.11667","5.11667","52.1","0","222","100","1896",112,NA,NA,"Prunus avium"
"61","7996","52.0167,4.58333","4.58333","52.0167","0","222","100","1896",123,NA,NA,"Prunus avium"
"63","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1896",115,NA,NA,"Prunus avium"
"65","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1896",113,NA,NA,"Prunus avium"
"67","7645","52.35,5.63333","5.63333","52.35","0","222","130","1896",110,NA,NA,"Prunus avium"
"69","7742","50.85,5.68333","5.68333","50.85","0","222","130","1896",109,NA,NA,"Prunus avium"
"71","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1896",109,NA,NA,"Prunus avium"
"72","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1896",108,NA,NA,"Prunus avium"
"74","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1896",123,NA,NA,"Prunus avium"
"77","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1897",116,NA,NA,"Prunus avium"
"78","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1897",113,NA,NA,"Prunus avium"
"80","7645","52.35,5.63333","5.63333","52.35","0","222","100","1897",110,NA,NA,"Prunus avium"
"81","7742","50.85,5.68333","5.68333","50.85","0","222","100","1897",108,NA,NA,"Prunus avium"
"85","7923","52.1,5.11667","5.11667","52.1","0","222","100","1897",121,NA,NA,"Prunus avium"
"87","7996","52.0167,4.58333","4.58333","52.0167","0","222","100","1897",120,NA,NA,"Prunus avium"
"88","8005","52.15,6.2","6.2","52.15","0","222","100","1897",113,NA,NA,"Prunus avium"
"90","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1897",115,NA,NA,"Prunus avium"
"91","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1897",110,NA,NA,"Prunus avium"
"93","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1897",118,NA,NA,"Prunus avium"
"94","7645","52.35,5.63333","5.63333","52.35","0","222","130","1897",114,NA,NA,"Prunus avium"
"95","7742","50.85,5.68333","5.68333","50.85","0","222","130","1897",110,NA,NA,"Prunus avium"
"96","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1897",113,NA,NA,"Prunus avium"
"98","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1897",121,NA,NA,"Prunus avium"
"100","8005","52.15,6.2","6.2","52.15","0","222","130","1897",107,NA,NA,"Prunus avium"
"103","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1898",115,NA,NA,"Prunus avium"
"105","7923","52.1,5.11667","5.11667","52.1","0","222","100","1898",117,NA,NA,"Prunus avium"
"106","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1898",118,NA,NA,"Prunus avium"
"107","7996","52.0167,4.58333","4.58333","52.0167","0","222","100","1898",125,NA,NA,"Prunus avium"
"108","8005","52.15,6.2","6.2","52.15","0","222","100","1898",112,NA,NA,"Prunus avium"
"109","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1898",119,NA,NA,"Prunus avium"
"112","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1898",118,NA,NA,"Prunus avium"
"114","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1898",118,NA,NA,"Prunus avium"
"115","7645","52.35,5.63333","5.63333","52.35","0","222","130","1898",109,NA,NA,"Prunus avium"
"116","7742","50.85,5.68333","5.68333","50.85","0","222","130","1898",115,NA,NA,"Prunus avium"
"117","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1898",105,NA,NA,"Prunus avium"
"119","7923","52.1,5.11667","5.11667","52.1","0","222","130","1898",112,NA,NA,"Prunus avium"
"120","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1898",113,NA,NA,"Prunus avium"
"122","8005","52.15,6.2","6.2","52.15","0","222","130","1898",115,NA,NA,"Prunus avium"
"123","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1899",115,NA,NA,"Prunus avium"
"124","7742","50.85,5.68333","5.68333","50.85","0","222","100","1899",111,NA,NA,"Prunus avium"
"127","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1899",113,NA,NA,"Prunus avium"
"129","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1899",113,NA,NA,"Prunus avium"
"130","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1899",120,NA,NA,"Prunus avium"
"131","7645","52.35,5.63333","5.63333","52.35","0","222","130","1899",107,NA,NA,"Prunus avium"
"132","7742","50.85,5.68333","5.68333","50.85","0","222","130","1899",121,NA,NA,"Prunus avium"
"133","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1899",110,NA,NA,"Prunus avium"
"134","8005","52.15,6.2","6.2","52.15","0","222","130","1899",103,NA,NA,"Prunus avium"
"135","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1900",118,NA,NA,"Prunus avium"
"137","7923","52.1,5.11667","5.11667","52.1","0","222","100","1900",117,NA,NA,"Prunus avium"
"138","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1900",116,NA,NA,"Prunus avium"
"139","8005","52.15,6.2","6.2","52.15","0","222","100","1900",117,NA,NA,"Prunus avium"
"140","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1900",120,NA,NA,"Prunus avium"
"141","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1900",123,NA,NA,"Prunus avium"
"142","7645","52.35,5.63333","5.63333","52.35","0","222","130","1900",113,NA,NA,"Prunus avium"
"143","7923","52.1,5.11667","5.11667","52.1","0","222","130","1900",125,NA,NA,"Prunus avium"
"144","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1900",111,NA,NA,"Prunus avium"
