"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"581","6470","47.85,16.5333","16.5333","47.85","184","101","0","1946",111,93,-18
"593","6594","47.2167,15.6333","15.6333","47.2167","465","101","0","1946",115,96,-19
"783","6470","47.85,16.5333","16.5333","47.85","184","101","0","1947",115,105,-10
"796","6594","47.2167,15.6333","15.6333","47.2167","465","101","0","1947",116,107,-9
"1000","6470","47.85,16.5333","16.5333","47.85","184","101","0","1948",115,92,-23
"1002","6481","48.4333,15.1167","15.1167","48.4333","911","101","0","1948",150,126,-24
"1021","6594","47.2167,15.6333","15.6333","47.2167","465","101","0","1948",135,112,-23
"1023","6603","48.7,13.95","13.95","48.7","920","101","0","1948",123,113,-10
"1238","6470","47.85,16.5333","16.5333","47.85","184","101","0","1949",112,97,-15
"1258","6594","47.2167,15.6333","15.6333","47.2167","465","101","0","1949",116,108,-8
"1521","6470","47.85,16.5333","16.5333","47.85","184","101","0","1950",121,94,-27
"1524","6481","48.4333,15.1167","15.1167","48.4333","911","101","0","1950",156,126,-30
"1543","6594","47.2167,15.6333","15.6333","47.2167","465","101","0","1950",125,110,-15
"1801","110","53.5,10.4833","10.4833","53.5","40","101","0","1951",134,116,-18
"1808","142","54.5,11.1","11.1","54.5","6","101","0","1951",143,122,-21
"1810","152","54.1,10.8167","10.8167","54.1","10","101","0","1951",140,128,-12
"1817","188","54.3167,10.2167","10.2167","54.3167","15","101","0","1951",140,126,-14
"1820","199","54.1167,10.1667","10.1667","54.1167","45","101","0","1951",144,118,-26
"1821","202","54.1667,10.05","10.05","54.1667","35","101","0","1951",141,121,-20
"1822","213","54.0833,9.65","9.65","54.0833","60","101","0","1951",141,117,-24
"1826","244","54.5167,9.56667","9.56667","54.5167","18","101","0","1951",139,145,6
"1835","307","54.15,9.28333","9.28333","54.15","35","101","0","1951",145,120,-25
"1855","427","52.4,9.45","9.45","52.4","50","101","0","1951",129,144,15
"1865","480","51.5333,9.93333","9.93333","51.5333","150","101","0","1951",127,106,-21
"1866","481","51.5333,9.95","9.95","51.5333","190","101","0","1951",132,116,-16
"1876","531","51.95,9.73333","9.73333","51.95","200","101","0","1951",142,115,-27
"1881","563","51.8,10.0333","10.0333","51.8","130","101","0","1951",132,114,-18
"1884","568","51.6,10.55","10.55","51.6","340","101","0","1951",146,117,-29
"1885","569","51.8167,10.0667","10.0667","51.8167","240","101","0","1951",130,157,27
"1934","765","53.0333,9.83333","9.83333","53.0333","75","101","0","1951",152,123,-29
"1943","810","53.8167,8.76667","8.76667","53.8167","2","101","0","1951",144,117,-27
"1964","951","52.5,7.3","7.3","52.5","25","101","0","1951",132,114,-18
"1978","1072","52.3,10.4333","10.4333","52.3","80","101","0","1951",130,104,-26
"1979","1074","51.9,9.85","9.85","51.9","200","101","0","1951",134,113,-21
"1995","1129","53.15,8.2","8.2","53.15","5","101","0","1951",144,119,-25
"2004","1203","53.3333,8.48333","8.48333","53.3333","3","101","0","1951",136,120,-16
"2006","1217","53.1,8.86667","8.86667","53.1","4","101","0","1951",129,125,-4
"2019","1326","51.5833,6.25","6.25","51.5833","20","101","0","1951",129,107,-22
"2027","1372","50.9167,6.81667","6.81667","50.9167","80","101","0","1951",123,110,-13
"2034","1439","50.7667,6.08333","6.08333","50.7667","180","101","0","1951",131,109,-22
"2038","1469","50.5667,6.26667","6.26667","50.5667","530","101","0","1951",138,136,-2
"2050","1539","51.8333,7.3","7.3","51.8333","65","101","0","1951",127,109,-18
"2079","1690","52.3,8.91667","8.91667","52.3","50","101","0","1951",130,113,-17
"2082","1713","51.5833,9.3","9.3","51.5833","230","101","0","1951",138,120,-18
"2083","1723","51.9167,8.38333","8.38333","51.9167","75","101","0","1951",127,114,-13
"2094","1832","50.9167,8.1","8.1","50.9167","350","101","0","1951",145,132,-13
"2144","1981","49.7833,9.03333","9.03333","49.7833","290","101","0","1951",128,115,-13
"2155","2009","50.5167,8.81667","8.81667","50.5167","170","101","0","1951",130,110,-20
"2163","2024","50.4667,9.31667","9.31667","50.4667","460","101","0","1951",127,123,-4
"2169","2038","50,8.71667","8.71667","50","160","101","0","1951",126,111,-15
"2172","2049","50.1167,8.91667","8.91667","50.1167","110","101","0","1951",128,116,-12
"2175","2053","50.8167,8.78333","8.78333","50.8167","200","101","0","1951",132,126,-6
"2184","2075","50.9667,8.5","8.5","50.9667","420","101","0","1951",130,122,-8
"2208","2153","50.75,9.81667","9.81667","50.75","370","101","0","1951",132,121,-11
"2215","2166","51.2833,9.63333","9.63333","51.2833","220","101","0","1951",137,145,8
"2216","2168","51.3833,9.51667","9.51667","51.3833","170","101","0","1951",122,95,-27
"2234","2210","51.0333,9.9","9.9","51.0333","320","101","0","1951",146,79,-67
"2236","2217","51.0167,9.93333","9.93333","51.0167","330","101","0","1951",141,116,-25
"2254","2253","51.35,8.7","8.7","51.35","420","101","0","1951",153,144,-9
"2263","2282","51.45,9.25","9.25","51.45","250","101","0","1951",123,114,-9
"2270","2294","50.8833,9.35","9.35","50.8833","270","101","0","1951",135,126,-9
"2271","2295","50.8667,9.46667","9.46667","50.8667","330","101","0","1951",142,128,-14
"2272","2296","51,9.06667","9.06667","51","320","101","0","1951",124,116,-8
"2298","2355","50.1667,8.98333","8.98333","50.1667","120","101","0","1951",126,111,-15
"2300","2357","50.2333,8.88333","8.88333","50.2333","130","101","0","1951",126,110,-16
"2303","2360","50.45,8.03333","8.03333","50.45","160","101","0","1951",133,119,-14
"2312","2381","50.4833,8.26667","8.26667","50.4833","205","101","0","1951",130,149,19
"2316","2390","49.9833,7.96667","7.96667","49.9833","120","101","0","1951",124,101,-23
"2323","2404","50.3,9.36667","9.36667","50.3","150","101","0","1951",128,117,-11
"2327","2415","50.1667,8.06667","8.06667","50.1667","380","101","0","1951",140,118,-22
"2331","2430","50.5667,8.28333","8.28333","50.5667","200","101","0","1951",130,122,-8
"2332","2432","50.5167,8.38333","8.38333","50.5167","220","101","0","1951",137,140,3
"2335","2438","50.6167,8.35","8.35","50.6167","190","101","0","1951",134,121,-13
"2342","2496","49.75,7.3","7.3","49.75","450","101","0","1951",140,116,-24
"2348","2552","50.1667,7.55","7.55","50.1667","450","101","0","1951",143,120,-23
"2349","2565","49.9333,7.28333","7.28333","49.9333","440","101","0","1951",136,106,-30
"2350","2568","49.75,6.65","6.65","49.75","260","101","0","1951",128,108,-20
"2356","2615","50.2,6.41667","6.41667","50.2","450","101","0","1951",143,120,-23
"2364","2652","49.9833,6.88333","6.88333","49.9833","160","101","0","1951",127,110,-17
"2365","2656","49.9667,7","7","49.9667","140","101","0","1951",127,117,-10
"2373","2735","49.25,7.35","7.35","49.25","240","101","0","1951",126,110,-16
"2382","2842","48.7167,9.21667","9.21667","48.7167","391","101","0","1951",122,105,-17
"2392","2867","48.9833,9.36667","9.36667","48.9833","290","101","0","1951",102,90,-12
"2393","2869","48.9833,9.58333","9.58333","48.9833","290","101","0","1951",130,113,-17
"2402","2893","49.1333,10.1833","10.1833","49.1333","460","101","0","1951",138,109,-29
"2413","2914","48.6333,10.0167","10.0167","48.6333","620","101","0","1951",118,119,1
"2415","2916","48.6833,10.1667","10.1667","48.6833","490","101","0","1951",128,107,-21
"2428","2959","49.05,9.1","9.1","49.05","220","101","0","1951",115,112,-3
"2443","2985","48.65,9.46667","9.46667","48.65","310","101","0","1951",123,105,-18
"2460","3018","48.5,10.1167","10.1167","48.5","460","101","0","1951",138,149,11
"2476","3049","49.5333,8.48333","8.48333","49.5333","95","101","0","1951",118,114,-4
"2477","3053","49.1,8.65","8.65","49.1","140","101","0","1951",126,108,-18
"2485","3069","49.5333,9.31667","9.31667","49.5333","340","101","0","1951",137,123,-14
"2489","3076","49.4667,9.58333","9.58333","49.4667","340","101","0","1951",125,107,-18
"2492","3081","49.2833,8.73333","8.73333","49.2833","140","101","0","1951",123,117,-6
"2493","3082","49.4667,8.98333","8.98333","49.4667","130","101","0","1951",127,119,-8
"2496","3087","49.25,8.73333","8.73333","49.25","140","101","0","1951",128,121,-7
"2497","3088","49.3833,8.8","8.8","49.3833","130","101","0","1951",126,107,-19
"2498","3091","49.2667,8.75","8.75","49.2667","180","101","0","1951",118,104,-14
"2511","3124","49.4667,9.21667","9.21667","49.4667","390","101","0","1951",130,116,-14
"2514","3127","49.4167,9.28333","9.28333","49.4167","290","101","0","1951",130,114,-16
"2540","3186","47.9,8.43333","8.43333","47.9","760","101","0","1951",143,114,-29
"2549","3237","48.3333,7.88333","7.88333","48.3333","170","101","0","1951",117,97,-20
"2551","3254","47.6,7.63333","7.63333","47.6","280","101","0","1951",120,106,-14
"2571","3486","48.05,10.8833","10.8833","48.05","590","101","0","1951",127,114,-13
"2573","3490","48.1667,11.4833","11.4833","48.1667","510","101","0","1951",127,136,9
"2585","3515","47.7167,11.4167","11.4167","47.7167","620","101","0","1951",129,108,-21
"2587","3520","47.6333,13","13","47.6333","550","101","0","1951",137,123,-14
"2589","3526","48.3833,11.4167","11.4167","48.3833","470","101","0","1951",133,103,-30
"2598","3545","48.4667,11.9333","11.9333","48.4667","420","101","0","1951",128,109,-19
"2606","3563","48.7833,11.2833","11.2833","48.7833","410","101","0","1951",122,104,-18
"2637","3628","47.8,11.0167","11.0167","47.8","980","101","0","1951",143,120,-23
"2645","3642","48,11.1667","11.1667","48","560","101","0","1951",133,146,13
"2655","3669","47.9833,12.1333","12.1333","47.9833","480","101","0","1951",127,116,-11
"2666","3685","47.8833,11.0333","11.0333","47.8833","700","101","0","1951",136,137,1
"2671","3693","48.8333,12.9667","12.9667","48.8333","310","101","0","1951",125,113,-12
"2672","3694","48.8833,12.6","12.6","48.8833","330","101","0","1951",125,114,-11
"2674","3705","48.8167,12.8","12.8","48.8167","320","101","0","1951",130,109,-21
"2682","3723","48.85,13.3333","13.3333","48.85","560","101","0","1951",138,119,-19
"2689","3744","49.1333,12.7333","12.7333","49.1333","480","101","0","1951",130,107,-23
"2692","3750","48.5833,12.1833","12.1833","48.5833","390","101","0","1951",134,110,-24
"2701","3781","48.4,13","13","48.4","400","101","0","1951",145,125,-20
"2706","3792","48.7,12.0333","12.0333","48.7","450","101","0","1951",129,111,-18
"2707","3793","48.85,12.7667","12.7667","48.85","320","101","0","1951",132,105,-27
"2716","3824","48.75,13.8167","13.8167","48.75","720","101","0","1951",143,133,-10
"2718","3827","48.75,13.5167","13.5167","48.75","440","101","0","1951",124,123,-1
"2728","3849","49.6167,11.8167","11.8167","49.6167","400","101","0","1951",144,119,-25
"2730","3852","49.0333,11.4833","11.4833","49.0333","370","101","0","1951",125,117,-8
"2737","3865","49.3167,12.85","12.85","49.3167","400","101","0","1951",140,121,-19
"2738","3866","49.2167,12.7667","12.7667","49.2167","480","101","0","1951",138,110,-28
"2745","3884","49.1667,11.45","11.45","49.1667","400","101","0","1951",141,115,-26
"2749","3893","49.8333,12.05","12.05","49.8333","500","101","0","1951",145,125,-20
"2758","3912","49.15,11.6667","11.6667","49.15","520","101","0","1951",128,108,-20
"2766","3945","48.9,11.6167","11.6167","48.9","400","101","0","1951",119,109,-10
"2768","3947","49.1,12.4833","12.4833","49.1","570","101","0","1951",137,116,-21
"2775","3959","49.5333,11.6833","11.6833","49.5333","420","101","0","1951",148,117,-31
"2778","3963","49.95,12.2833","12.2833","49.95","550","101","0","1951",141,126,-15
"2781","3967","49.7833,12.3167","12.3167","49.7833","600","101","0","1951",140,145,5
"2784","3974","49.9167,12.3833","12.3833","49.9167","530","101","0","1951",149,125,-24
"2787","3978","49.6333,12.2667","12.2667","49.6333","450","101","0","1951",153,125,-28
"2788","3983","49.6167,12.35","12.35","49.6167","570","101","0","1951",142,124,-18
"2789","3984","49.3167,12.75","12.75","49.3167","420","101","0","1951",143,115,-28
"2791","3986","49.4333,12.5833","12.5833","49.4333","530","101","0","1951",139,140,1
"2792","3987","49.3833,12.7167","12.7167","49.3833","520","101","0","1951",140,118,-22
"2794","3991","50.2667,10.9667","10.9667","50.2667","300","101","0","1951",130,113,-17
"2796","3993","50.3167,11.9167","11.9167","50.3167","500","101","0","1951",137,117,-20
"2797","3995","50,12.0833","12.0833","50","530","101","0","1951",145,118,-27
"2807","4015","49.8667,11","11","49.8667","290","101","0","1951",140,123,-17
"2821","4054","49.9333,11.2833","11.2833","49.9333","400","101","0","1951",141,113,-28
"2822","4055","49.95,11.1667","11.1667","49.95","450","101","0","1951",144,128,-16
"2825","4065","49.7,10.8167","10.8167","49.7","270","101","0","1951",100,112,12
"2840","4098","50.1167,11.6167","11.6167","50.1167","370","101","0","1951",133,117,-16
"2851","4121","50.2833,11.7333","11.7333","50.2833","610","101","0","1951",140,127,-13
"2854","4128","49.85,11.6","11.6","49.85","480","101","0","1951",138,117,-21
"2856","4132","49.7667,11.55","11.55","49.7667","420","101","0","1951",144,128,-16
"2863","4146","50.0333,11","11","50.0333","320","101","0","1951",125,125,0
"2872","4157","50.1,11.8833","11.8833","50.1","620","101","0","1951",159,120,-39
"2875","4160","48.9,11.1833","11.1833","48.9","400","101","0","1951",135,115,-20
"2878","4170","49.4,10.5167","10.5167","49.4","460","101","0","1951",120,115,-5
"2880","4172","49.3333,10.8","10.8","49.3333","400","101","0","1951",138,122,-16
"2894","4198","49.1667,10.3333","10.3333","49.1667","450","101","0","1951",138,114,-24
"2899","4205","49.5,10.8","10.8","49.5","310","101","0","1951",142,121,-21
"2913","4230","49.5833,10.6","10.6","49.5833","290","101","0","1951",131,118,-13
"2918","4239","49.4,11.4","11.4","49.4","450","101","0","1951",140,126,-14
"2919","4240","49.3833,10.3333","10.3333","49.3833","440","101","0","1951",128,118,-10
"2920","4241","49.2833,10.2667","10.2667","49.2833","500","101","0","1951",133,116,-17
"2924","4251","49.3667,10.95","10.95","49.3667","380","101","0","1951",136,112,-24
"2926","4256","49.45,10.3167","10.3167","49.45","350","101","0","1951",132,115,-17
"2929","4260","49.55,10.2333","10.2333","49.55","330","101","0","1951",124,107,-17
"2932","4263","48.9,10.9333","10.9333","48.9","550","101","0","1951",140,141,1
"2951","4317","50.2833,9.91667","9.91667","50.2833","500","101","0","1951",144,127,-17
"2979","4364","50.15,10.4333","10.4333","50.15","290","101","0","1951",127,125,-2
"2988","4386","49.7167,10.2167","10.2167","49.7167","230","101","0","1951",129,112,-17
"2992","4394","50.3,10.4667","10.4667","50.3","280","101","0","1951",145,129,-16
"2993","4397","50.3333,10.35","10.35","50.3333","270","101","0","1951",130,113,-17
"3003","4419","50.4167,10.3833","10.3833","50.4167","340","101","0","1951",145,111,-34
"3004","4420","50.45,10.2667","10.2667","50.45","280","101","0","1951",116,112,-4
"3011","4434","49.7,10.0167","10.0167","49.7","190","101","0","1951",128,115,-13
"3016","4445","49.8833,10.0333","10.0333","49.8833","260","101","0","1951",126,112,-14
"3019","4452","49.7833,9.76667","9.76667","49.7833","250","101","0","1951",141,112,-29
"3021","4456","48.45,10.2667","10.2667","48.45","450","101","0","1951",134,115,-19
"3023","4458","47.7333,10.3167","10.3167","47.7333","680","101","0","1951",131,105,-26
"3030","4469","48.55,10.3","10.3","48.55","440","101","0","1951",138,117,-21
"3034","4477","48.7167,10.7833","10.7833","48.7167","410","101","0","1951",135,109,-26
"3039","4492","47.5667,10.7","10.7","47.5667","810","101","0","1951",142,119,-23
"3040","4494","47.5667,10.75","10.75","47.5667","810","101","0","1951",143,128,-15
"3041","4495","48.4333,10.4167","10.4167","48.4333","460","101","0","1951",123,111,-12
"3047","4506","48.1667,10.1167","10.1167","48.1667","530","101","0","1951",134,120,-14
"3059","4539","47.9667,10.15","10.15","47.9667","610","101","0","1951",135,126,-9
"3080","4592","48.5667,10.7333","10.7333","48.5667","430","101","0","1951",132,122,-10
