"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"61","142","54.5,11.1","11.1","54.5","6","102","40","1951",122,139,17
"65","244","54.5167,9.56667","9.56667","54.5167","18","102","40","1951",92,117,25
"69","427","52.4,9.45","9.45","52.4","50","102","40","1951",62,126,64
"112","1539","51.8333,7.3","7.3","51.8333","65","102","40","1951",56,111,55
"120","1713","51.5833,9.3","9.3","51.5833","230","102","40","1951",137,142,5
"147","2009","50.5167,8.81667","8.81667","50.5167","170","102","40","1951",58,118,60
"177","2842","48.7167,9.21667","9.21667","48.7167","391","102","40","1951",77,110,33
"199","3014","49.0833,9.88333","9.88333","49.0833","370","102","40","1951",79,113,34
"210","3087","49.25,8.73333","8.73333","49.25","140","102","40","1951",79,123,44
"211","3091","49.2667,8.75","8.75","49.2667","180","102","40","1951",87,107,20
"267","3694","48.8833,12.6","12.6","48.8833","330","102","40","1951",62,119,57
"282","3750","48.5833,12.1833","12.1833","48.5833","390","102","40","1951",77,110,33
"293","3824","48.75,13.8167","13.8167","48.75","720","102","40","1951",115,126,11
"305","3884","49.1667,11.45","11.45","49.1667","400","102","40","1951",76,119,43
"326","3986","49.4333,12.5833","12.5833","49.4333","530","102","40","1951",100,128,28
"333","4015","49.8667,11","11","49.8667","290","102","40","1951",77,117,40
"339","4055","49.95,11.1667","11.1667","49.95","450","102","40","1951",114,128,14
"366","4157","50.1,11.8833","11.8833","50.1","620","102","40","1951",135,161,26
"372","4172","49.3333,10.8","10.8","49.3333","400","102","40","1951",65,123,58
"392","4239","49.4,11.4","11.4","49.4","450","102","40","1951",59,121,62
"397","4256","49.45,10.3167","10.3167","49.45","350","102","40","1951",128,108,-20
"423","4364","50.15,10.4333","10.4333","50.15","290","102","40","1951",75,117,42
"427","4386","49.7167,10.2167","10.2167","49.7167","230","102","40","1951",122,118,-4
"441","4445","49.8833,10.0333","10.0333","49.8833","260","102","40","1951",74,118,44
"451","4495","48.4333,10.4167","10.4167","48.4333","460","102","40","1951",78,130,52
"493","142","54.5,11.1","11.1","54.5","6","102","40","1952",104,124,20
"500","244","54.5167,9.56667","9.56667","54.5167","18","102","40","1952",83,108,25
"543","1539","51.8333,7.3","7.3","51.8333","65","102","40","1952",60,99,39
"551","1713","51.5833,9.3","9.3","51.5833","230","102","40","1952",107,116,9
"582","2009","50.5167,8.81667","8.81667","50.5167","170","102","40","1952",93,110,17
"610","2842","48.7167,9.21667","9.21667","48.7167","391","102","40","1952",78,109,31
"634","3014","49.0833,9.88333","9.88333","49.0833","370","102","40","1952",64,109,45
"650","3087","49.25,8.73333","8.73333","49.25","140","102","40","1952",102,112,10
"651","3091","49.2667,8.75","8.75","49.2667","180","102","40","1952",120,106,-14
"657","3105","48.9667,8.3","8.3","48.9667","120","102","40","1952",43,109,66
"710","3694","48.8833,12.6","12.6","48.8833","330","102","40","1952",88,120,32
"729","3824","48.75,13.8167","13.8167","48.75","720","102","40","1952",103,125,22
"730","3827","48.75,13.5167","13.5167","48.75","440","102","40","1952",46,112,66
"745","3876","49.8667,11.9","11.9","49.8667","460","102","40","1952",97,90,-7
"747","3884","49.1667,11.45","11.45","49.1667","400","102","40","1952",103,118,15
"760","3986","49.4333,12.5833","12.5833","49.4333","530","102","40","1952",123,119,-4
"773","4054","49.9333,11.2833","11.2833","49.9333","400","102","40","1952",95,122,27
"774","4055","49.95,11.1667","11.1667","49.95","450","102","40","1952",75,120,45
"784","4098","50.1167,11.6167","11.6167","50.1167","370","102","40","1952",103,113,10
"803","4157","50.1,11.8833","11.8833","50.1","620","102","40","1952",136,153,17
"807","4172","49.3333,10.8","10.8","49.3333","400","102","40","1952",79,120,41
"829","4256","49.45,10.3167","10.3167","49.45","350","102","40","1952",110,110,0
"849","4364","50.15,10.4333","10.4333","50.15","290","102","40","1952",79,117,38
"866","4445","49.8833,10.0333","10.0333","49.8833","260","102","40","1952",76,109,33
"877","4495","48.4333,10.4167","10.4167","48.4333","460","102","40","1952",131,125,-6
"927","142","54.5,11.1","11.1","54.5","6","102","40","1953",86,107,21
"932","199","54.1167,10.1667","10.1667","54.1167","45","102","40","1953",68,105,37
"938","244","54.5167,9.56667","9.56667","54.5167","18","102","40","1953",67,112,45
"949","427","52.4,9.45","9.45","52.4","50","102","40","1953",60,104,44
"998","1539","51.8333,7.3","7.3","51.8333","65","102","40","1953",59,93,34
