"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"1","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1894",92,96,4,"Betula pendula"
"7","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1894",95,97,2,"Betula pendula"
"8","7857","52.1,4.28333","4.28333","52.1","0","106","20","1894",105,98,-7,"Betula pendula"
"11","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1894",87,87,0,"Betula pendula"
"12","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1895",108,111,3,"Betula pendula"
"16","7645","52.35,5.63333","5.63333","52.35","0","106","20","1895",113,113,0,"Betula pendula"
"20","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1895",112,112,0,"Betula pendula"
"21","7857","52.1,4.28333","4.28333","52.1","0","106","20","1895",120,115,-5,"Betula pendula"
"22","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1895",110,110,0,"Betula pendula"
"26","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1896",116,114,-2,"Betula pendula"
"30","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1896",111,111,0,"Betula pendula"
"31","7645","52.35,5.63333","5.63333","52.35","0","106","20","1896",108,110,2,"Betula pendula"
"35","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1896",101,108,7,"Betula pendula"
"36","7857","52.1,4.28333","4.28333","52.1","0","106","20","1896",127,111,-16,"Betula pendula"
"37","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1896",118,115,-3,"Betula pendula"
"42","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1897",110,119,9,"Betula pendula"
"44","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1897",116,116,0,"Betula pendula"
"46","7645","52.35,5.63333","5.63333","52.35","0","106","20","1897",105,104,-1,"Betula pendula"
"48","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1897",100,102,2,"Betula pendula"
"49","7857","52.1,4.28333","4.28333","52.1","0","106","20","1897",119,104,-15,"Betula pendula"
"50","7909","53.1,4.76667","4.76667","53.1","0","106","20","1897",120,115,-5,"Betula pendula"
"51","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1897",117,117,0,"Betula pendula"
"56","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1898",117,119,2,"Betula pendula"
"60","7645","52.35,5.63333","5.63333","52.35","0","106","20","1898",109,113,4,"Betula pendula"
"62","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1898",110,112,2,"Betula pendula"
"63","7857","52.1,4.28333","4.28333","52.1","0","106","20","1898",123,117,-6,"Betula pendula"
"64","7909","53.1,4.76667","4.76667","53.1","0","106","20","1898",123,117,-6,"Betula pendula"
"65","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1898",121,114,-7,"Betula pendula"
"66","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1898",116,116,0,"Betula pendula"
"69","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1899",113,116,3,"Betula pendula"
"70","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1899",120,116,-4,"Betula pendula"
"72","7645","52.35,5.63333","5.63333","52.35","0","106","20","1899",119,116,-3,"Betula pendula"
"74","7909","53.1,4.76667","4.76667","53.1","0","106","20","1899",131,119,-12,"Betula pendula"
"75","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1899",125,117,-8,"Betula pendula"
"76","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1899",118,118,0,"Betula pendula"
"79","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1900",113,115,2,"Betula pendula"
"81","7645","52.35,5.63333","5.63333","52.35","0","106","20","1900",113,112,-1,"Betula pendula"
"82","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1900",119,122,3,"Betula pendula"
"83","7857","52.1,4.28333","4.28333","52.1","0","106","20","1900",122,114,-8,"Betula pendula"
"84","7909","53.1,4.76667","4.76667","53.1","0","106","20","1900",127,124,-3,"Betula pendula"
"85","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1900",123,121,-2,"Betula pendula"
