"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"28","7230","41.638,2.355","2.355","41.638","195","107","0","1955",25,85,60,"Corylus avenula"
"29","7230","41.638,2.355","2.355","41.638","195","107","0","1969",48,77,29,"Corylus avenula"
"30","7230","41.638,2.355","2.355","41.638","195","107","0","1972",34,72,38,"Corylus avenula"
"31","7230","41.638,2.355","2.355","41.638","195","107","0","1973",38,72,34,"Corylus avenula"
"32","7230","41.638,2.355","2.355","41.638","195","107","0","1974",34,81,47,"Corylus avenula"
"33","7230","41.638,2.355","2.355","41.638","195","107","0","1975",23,75,52,"Corylus avenula"
"34","7230","41.638,2.355","2.355","41.638","195","107","0","1976",39,71,32,"Corylus avenula"
"35","7230","41.638,2.355","2.355","41.638","195","107","0","1977",11,57,46,"Corylus avenula"
"36","7230","41.638,2.355","2.355","41.638","195","107","0","1980",33,82,49,"Corylus avenula"
"37","7230","41.638,2.355","2.355","41.638","195","107","0","1983",30,76,46,"Corylus avenula"
"38","7230","41.638,2.355","2.355","41.638","195","107","0","1984",31,99,68,"Corylus avenula"
"39","7230","41.638,2.355","2.355","41.638","195","107","0","1985",38,89,51,"Corylus avenula"
"40","7230","41.638,2.355","2.355","41.638","195","107","0","1986",45,84,39,"Corylus avenula"
"41","7230","41.638,2.355","2.355","41.638","195","107","0","1989",31,79,48,"Corylus avenula"
"42","7230","41.638,2.355","2.355","41.638","195","107","0","1990",20,76,56,"Corylus avenula"
"43","7230","41.638,2.355","2.355","41.638","195","107","0","1991",42,73,31,"Corylus avenula"
"44","7230","41.638,2.355","2.355","41.638","195","107","0","1992",47,82,35,"Corylus avenula"
"45","7230","41.638,2.355","2.355","41.638","195","107","0","1993",30,69,39,"Corylus avenula"
"47","7230","41.638,2.355","2.355","41.638","195","107","0","1994",30,66,36,"Corylus avenula"
"48","7230","41.638,2.355","2.355","41.638","195","107","0","1995",29,80,51,"Corylus avenula"
"49","7230","41.638,2.355","2.355","41.638","195","107","0","1996",15,83,68,"Corylus avenula"
"50","7230","41.638,2.355","2.355","41.638","195","107","0","1997",17,59,42,"Corylus avenula"
"51","7230","41.638,2.355","2.355","41.638","195","107","0","1998",22,60,38,"Corylus avenula"
"52","7230","41.638,2.355","2.355","41.638","195","107","0","1999",27,71,44,"Corylus avenula"
"70","6450","47.7833,13.2333","13.2333","47.7833","787","107","0","2000",131,120,-11,"Corylus avenula"
"74","6477","48.05,15.2","15.2","48.05","297","107","0","2000",37,92,55,"Corylus avenula"
"75","6480","46.8,13.5667","13.5667","46.8","719","107","0","2000",43,88,45,"Corylus avenula"
"77","6494","46.7,13.6833","13.6833","46.7","748","107","0","2000",46,100,54,"Corylus avenula"
"79","6518","48.3,14.6333","14.6333","48.3","542","107","0","2000",58,92,34,"Corylus avenula"
"82","6524","46.6333,14.5333","14.5333","46.6333","453","107","0","2000",59,107,48,"Corylus avenula"
"89","6571","48.4833,16.65","16.65","48.4833","196","107","0","2000",47,106,59,"Corylus avenula"
"94","6589","47.4,16.25","16.25","47.4","615","107","0","2000",106,75,-31,"Corylus avenula"
"100","6617","47.4167,13.6333","13.6333","47.4167","1203","107","0","2000",91,121,30,"Corylus avenula"
"101","6620","46.95,14.4167","14.4167","46.95","634","107","0","2000",51,109,58,"Corylus avenula"
"103","6639","47.2333,12.5667","12.5667","47.2333","796","107","0","2000",76,123,47,"Corylus avenula"
"104","6646","47.1333,13.8667","13.8667","47.1333","1122","107","0","2000",130,117,-13,"Corylus avenula"
"107","6662","48.85,15.5","15.5","48.85","470","107","0","2000",61,111,50,"Corylus avenula"
"109","6665","47.5333,15.2333","15.2333","47.5333","784","107","0","2000",76,115,39,"Corylus avenula"
"113","6695","48.95,15.0333","15.0333","48.95","559","107","0","2000",87,109,22,"Corylus avenula"
"116","6703","48.0167,15.5833","15.5833","48.0167","681","107","0","2000",44,111,67,"Corylus avenula"
"117","6705","47.5667,12.6833","12.6833","47.5667","629","107","0","2000",84,110,26,"Corylus avenula"
"118","6708","48.0667,14.45","14.45","48.0667","340","107","0","2000",57,87,30,"Corylus avenula"
"121","6880","48.0667,18.95","18.95","48.0667","137","107","0","2000",66,94,28,"Corylus avenula"
"122","6882","48.2167,18.6","18.6","48.2167","163","107","0","2000",58,99,41,"Corylus avenula"
"124","6887","48.4667,18.3167","18.3167","48.4667","342","107","0","2000",73,111,38,"Corylus avenula"
"125","6888","48.5667,18.3","18.3","48.5667","232","107","0","2000",68,100,32,"Corylus avenula"
"127","6891","48.6833,17.6667","17.6667","48.6833","297","107","0","2000",72,114,42,"Corylus avenula"
"128","6892","48.6833,17.0167","17.0167","48.6833","159","107","0","2000",47,97,50,"Corylus avenula"
"129","6895","48.2167,19.95","19.95","48.2167","220","107","0","2000",66,111,45,"Corylus avenula"
"131","6898","48.3667,19.2","19.2","48.3667","610","107","0","2000",68,111,43,"Corylus avenula"
"132","6899","48.4333,19.7","19.7","48.4333","240","107","0","2000",89,103,14,"Corylus avenula"
"133","6900","48.4667,18.75","18.75","48.4667","310","107","0","2000",68,101,33,"Corylus avenula"
"134","6902","48.6,20.1","20.1","48.6","330","107","0","2000",85,113,28,"Corylus avenula"
"135","6903","48.6833,19.95","19.95","48.6833","460","107","0","2000",76,111,35,"Corylus avenula"
"137","6905","48.65,18.9167","18.9167","48.65","380","107","0","2000",80,112,32,"Corylus avenula"
"138","6908","48.75,18.9333","18.9333","48.75","660","107","0","2000",84,118,34,"Corylus avenula"
"140","6910","48.9167,18.8833","18.8833","48.9167","480","107","0","2000",86,111,25,"Corylus avenula"
"141","6912","49,18.2333","18.2333","49","255","107","0","2000",62,100,38,"Corylus avenula"
"142","6915","49.2167,19.3","19.3","49.2167","475","107","0","2000",80,124,44,"Corylus avenula"
"143","6916","49.3,18.7833","18.7833","49.3","355","107","0","2000",80,110,30,"Corylus avenula"
"144","6919","48.6167,20.2333","20.2333","48.6167","235","107","0","2000",76,111,35,"Corylus avenula"
"146","6922","48.55,20.4167","20.4167","48.55","270","107","0","2000",74,112,38,"Corylus avenula"
"147","6923","48.5833,21.5667","21.5667","48.5833","157","107","0","2000",60,101,41,"Corylus avenula"
"151","6928","48.6833,21.7667","21.7667","48.6833","105","107","0","2000",58,101,43,"Corylus avenula"
"152","6929","48.7333,21.6167","21.6167","48.7333","200","107","0","2000",70,94,24,"Corylus avenula"
"153","6933","48.8167,21.5667","21.5667","48.8167","348","107","0","2000",75,107,32,"Corylus avenula"
"158","6943","49.1167,21.5167","21.5167","49.1167","240","107","0","2000",80,102,22,"Corylus avenula"
"160","6947","49.3833,20.35","20.35","49.3833","499","107","0","2000",82,117,35,"Corylus avenula"
"161","6949","49.3667,18.4833","18.4833","49.3667","590","107","0","2000",91,114,23,"Corylus avenula"
"162","7012","48.25,16.35","16.35","48.25","203","107","0","2000",71,96,25,"Corylus avenula"
"166","7230","41.638,2.355","2.355","41.638","195","107","0","2000",44,73,29,"Corylus avenula"
"172","6450","47.7833,13.2333","13.2333","47.7833","787","107","0","2001",140,130,-10,"Corylus avenula"
"176","6477","48.05,15.2","15.2","48.05","297","107","0","2001",46,94,48,"Corylus avenula"
"177","6480","46.8,13.5667","13.5667","46.8","719","107","0","2001",28,84,56,"Corylus avenula"
"179","6494","46.7,13.6833","13.6833","46.7","748","107","0","2001",48,102,54,"Corylus avenula"
"182","6518","48.3,14.6333","14.6333","48.3","542","107","0","2001",44,100,56,"Corylus avenula"
"185","6540","46.6333,13.15","13.15","46.6333","646","107","0","2001",51,118,67,"Corylus avenula"
"188","6571","48.4833,16.65","16.65","48.4833","196","107","0","2001",57,111,54,"Corylus avenula"
"195","6617","47.4167,13.6333","13.6333","47.4167","1203","107","0","2001",75,115,40,"Corylus avenula"
"196","6620","46.95,14.4167","14.4167","46.95","634","107","0","2001",46,92,46,"Corylus avenula"
"199","6646","47.1333,13.8667","13.8667","47.1333","1122","107","0","2001",69,122,53,"Corylus avenula"
"202","6662","48.85,15.5","15.5","48.85","470","107","0","2001",63,123,60,"Corylus avenula"
"204","6665","47.5333,15.2333","15.2333","47.5333","784","107","0","2001",71,114,43,"Corylus avenula"
"208","6695","48.95,15.0333","15.0333","48.95","559","107","0","2001",115,100,-15,"Corylus avenula"
"211","6703","48.0167,15.5833","15.5833","48.0167","681","107","0","2001",43,112,69,"Corylus avenula"
"212","6705","47.5667,12.6833","12.6833","47.5667","629","107","0","2001",69,115,46,"Corylus avenula"
"213","6708","48.0667,14.45","14.45","48.0667","340","107","0","2001",59,82,23,"Corylus avenula"
