datetime,date,doy,time,distance,transect,lai.unmasked,sel.unmasked,lai.masked,sel.masked
2002-07-19T11:48:00,7/19/02,200,11:48:00,100,195,3.41,0.17,3.96,NA
2002-07-19T11:47:00,7/19/02,200,11:47:00,100,210,3.32,0.14,3.87,NA
2002-07-19T11:44:00,7/19/02,200,11:44:00,100,225,3.48,0.11,3.99,NA
2002-07-19T11:43:00,7/19/02,200,11:43:00,100,240,3.7,0.09,4.21,NA
2002-07-19T11:41:00,7/19/02,200,11:41:00,100,255,3.5,0.06,3.94,NA
2002-07-19T11:40:00,7/19/02,200,11:40:00,100,270,4.37,0.1,5.03,NA
2002-07-19T11:38:00,7/19/02,200,11:38:00,100,285,3.51,0.1,4.04,NA
2002-07-19T11:36:00,7/19/02,200,11:36:00,100,300,3.75,0.07,4.39,NA
2002-07-19T10:25:00,7/19/02,200,10:25:00,100,330,3.65,0.19,NA,NA
2002-07-19T11:52:00,7/19/02,200,11:52:00,200,195,3.62,0.01,4.03,NA
2002-07-19T11:55:00,7/19/02,200,11:55:00,200,210,5.44,0.07,6.42,NA
2002-07-19T11:57:00,7/19/02,200,11:57:00,200,210,3.78,0.12,4.37,NA
2002-07-19T11:58:00,7/19/02,200,11:58:00,200,225,3.71,0.16,4.38,NA
2002-07-19T12:02:00,7/19/02,200,12:02:00,200,225,3.97,0.03,4.73,NA
2002-07-19T12:04:00,7/19/02,200,12:04:00,200,240,3.74,0.11,4.36,NA
2002-07-19T12:07:00,7/19/02,200,12:07:00,200,255,4.66,0.24,5.55,NA
2002-07-19T12:09:00,7/19/02,200,12:09:00,200,270,5.85,0.2,6.67,NA
2002-07-19T12:11:00,7/19/02,200,12:11:00,200,285,5.72,0.24,6.7,NA
2002-07-19T12:14:00,7/19/02,200,12:14:00,200,300,3.43,0.09,3.95,NA
2002-07-19T12:16:00,7/19/02,200,12:16:00,200,300,4.1,0,4.55,NA
2002-07-19T12:18:00,7/19/02,200,12:18:00,200,315,3.82,0.23,4.42,NA
2002-07-19T12:20:00,7/19/02,200,12:20:00,200,330,4.52,0.09,5.26,NA
2002-07-19T12:51:00,7/19/02,200,12:51:00,300,195,3.2,0.07,3.65,NA
2002-07-19T12:47:00,7/19/02,200,12:47:00,300,210,3.64,0.18,4.2,NA
2002-07-19T12:45:00,7/19/02,200,12:45:00,300,225,4.08,0.03,4.82,NA
2002-07-19T12:42:00,7/19/02,200,12:42:00,300,240,3.73,0.09,4.33,NA
2002-07-19T12:41:00,7/19/02,200,12:41:00,300,255,4.56,0.2,5.16,NA
2002-07-19T12:37:00,7/19/02,200,12:37:00,300,270,3.95,0.07,4.54,NA
2002-07-19T12:34:00,7/19/02,200,12:34:00,300,285,3.7,0.1,4.25,NA
2002-07-19T12:31:00,7/19/02,200,12:31:00,300,300,3.66,0.12,4.34,NA
2002-07-19T12:30:00,7/19/02,200,12:30:00,300,315,4.06,0.11,4.69,NA
2002-07-19T12:25:00,7/19/02,200,12:25:00,300,330,4.2,0.09,4.8,NA
2003-09-13T06:42:00,9/13/03,256,6:42:00,100,270,4.91,0.32,5.78,NA
2003-09-13T06:39:00,9/13/03,256,6:39:00,100,285,3.87,0.11,NA,NA
2003-09-13T06:36:00,9/13/03,256,6:36:00,100,300,4.04,0.02,4.7,NA
2003-09-13T06:33:00,9/13/03,256,6:33:00,100,315,3.91,0.1,4.62,NA
2003-09-13T06:28:00,9/13/03,256,6:28:00,100,330,3.89,0.12,4.55,NA
2003-09-13T07:15:00,9/13/03,256,7:15:00,200,270,6.19,0.18,NA,NA
2003-09-13T07:10:00,9/13/03,256,7:10:00,200,285,5.95,0.18,7.03,NA
2003-09-13T06:58:00,9/13/03,256,6:58:00,200,300,4.02,0.06,NA,NA
2003-09-13T07:04:00,9/13/03,256,7:04:00,200,300,5.07,0,4.84,NA
2003-09-13T07:08:00,9/13/03,256,7:08:00,200,300,4.34,0,NA,NA
2003-09-13T06:53:00,9/13/03,256,6:53:00,200,315,3.83,0.08,4.49,NA
2003-09-13T06:49:00,9/13/03,256,6:49:00,200,330,4.48,0.06,NA,NA
2003-09-13T08:02:00,9/13/03,256,8:02:00,300,270,4.29,0.13,4.96,NA
2003-09-13T07:58:00,9/13/03,256,7:58:00,300,285,3.97,0.05,NA,NA
2003-09-13T07:54:00,9/13/03,256,7:54:00,300,300,4.03,0.27,4.7,NA
2003-09-13T07:50:00,9/13/03,256,7:50:00,300,315,4.22,0.18,NA,NA
2003-09-13T07:45:00,9/13/03,256,7:45:00,300,330,5.2,0.38,6.07,NA
2003-09-13T08:11:00,9/13/03,256,8:11:00,400,285,3.13,0.63,3.7,NA
2003-09-13T08:22:00,9/13/03,256,8:22:00,485,300,2.75,0.47,3.11,NA
2003-09-13T08:18:00,9/13/03,256,8:18:00,500,285,3.59,0.45,4.12,NA
