Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,6,14,165,2457188,1,2015,6,14,165,2457188,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,27,178,2457201,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,1
