"X","Genus","Species","Pollination","Phen.sequence","heigh_height.ft","flower_class","flo_time","av_fruit_time","name","pro","pro2","pol","class2","flo_type","fruit_bin"
28,"Sassafras","albidum","insect","syn",15.24,"dioecious",5,NA,"Sassafras_albidum",0,1,0,1,1,NA
35,"Platanus","occidentalis","wind","syn",36.576,"monoecious",5,10,"Platanus_occidentalis",0,1,1,1,1,1
20,"Liquidambar","styraxiflua","insect","syn",42.672,"monoecious",4,12,"Liquidambar_styraciflua",0,1,0,1,1,1
2,"Tilia","americana","insect","ser",39.624,"perfect",6.5,10,"Tilia_americana",0,0,0,1,0,1
6,"Acer","spicatum","insect","ser",9.144,"monoecious",6,9,"Acer_spicatum",0,0,0,0,1,1
5,"Acer","pensylvanicum","insect","syn/ser",12.192,"monoecious",5,9,"Acer_pensylvanicum",0,0,0,0,1,1
12,"Acer","negundo","wind","pro",21.336,"dioecious",4,6,"Acer_negundo",1,1,1,1,1,0
8,"Acer","saccharinum","wind","pro",30.48,"monoecious",3.5,4.5,"Acer_saccharinum",1,1,1,1,1,0
9,"Acer","rubrum","wind","pro",30.48,"monoecious",3.5,5.5,"Acer_rubrum",1,1,1,1,1,0
7,"Acer","saccarum","wind","syn",36.576,"monoecious",5,9,"Acer_saccharum",0,1,1,1,1,1
3,"Ailanthus","alyissima","insect","ser",21.336,"dioecious",6,10,"Ailanthus_altissima",0,0,0,1,1,1
69,"Populus","deltoides","wind","pro",30.48,"dioecious",3.5,NA,"Populus_deltoides",1,1,1,1,1,NA
70,"Populus","balsamifera","wind","pro",30.48,"dioecious",3.5,5.5,"Populus_balsamifera",1,1,1,1,1,0
67,"Populus","tremuloides","wind","pro",15.24,"dioecious",4,NA,"Populus_tremuloides",1,1,1,1,1,NA
64,"Salix","lucida","ambo","pro",6.096,"monoecious",4,NA,"Salix_lucida",1,1,0,0,1,NA
62,"Fagus","grandifolia","wind","syn",24.384,"monoecious",4,NA,"Fagus_grandifolia",0,1,1,1,1,NA
60,"Quercus","imbricaria","wind","syn",18.288,"monoecious",5,NA,"Quercus_imbricaria",0,1,1,1,1,NA
56,"Quercus","digitata","wind","syn",24.384,"monecious",5,NA,"Quercus_falcata",0,1,1,1,1,NA
57,"Quercus","palustris","wind","syn",21.336,"monoecious",5,NA,"Quercus_palustris",0,1,1,1,1,NA
55,"Quercus","velutina","wind","syn",45.72,"monoecious",5,NA,"Quercus_velutina",0,1,1,1,1,NA
54,"Quercus","rubra","wind","syn",42.672,"monoecious",5,NA,"Quercus_rubra",0,1,1,1,1,NA
51,"Quercus","prinus","wind","syn",30.48,"monoecious",5,NA,"Quercus_michauxii",0,1,1,1,1,NA
49,"Quercus","minor","wind","syn",18.288,"monoecious",5,NA,"Quercus_stellata",0,1,1,1,1,NA
50,"Quercus","macrocarpa","wind","syn",48.768,"monoecious",5,NA,"Quercus_macrocarpa",0,1,1,1,1,NA
48,"Quercus","alba","wind","syn",30.48,"monoecious",5,NA,"Quercus_alba",0,1,1,1,1,NA
39,"Carya","ovata","wind","ser",30.48,"monoecious",5,NA,"Carya_ovata",0,0,1,1,1,NA
38,"Carya","cordiformis","wind","syn",30.48,"monoecious",5.5,NA,"Carya_cordiformis",0,1,1,1,1,NA
41,"Carya","glabra","wind","syn",30.48,"monoecious",5.5,NA,"Carya_glabra",0,1,1,1,1,NA
37,"Juglans","cinerea","wind","syn",21.336,"monoecious",5,NA,"Juglans_cinerea",0,1,1,1,1,NA
36,"Juglans","nigra","wind","syn",30.48,"monoecious",5,NA,"Juglans_nigra",0,1,1,1,1,NA
47,"Ostrya","virginiana","wind","syn",15.24,"monoecious",4.5,NA,"Ostrya_virginiana",0,1,1,1,1,NA
45,"Betula","alleghaniensis","wind","pro",30.48,"monoecious",4,NA,"Betula_alleghaniensis",1,1,1,1,1,NA
46,"Betula","lenta","wind","pro",24.384,"monoecious",4,NA,"Betula_lenta",1,1,1,1,1,NA
44,"Betula","nigra","wind","pro",28.956,"monoecious",3.5,5.5,"Betula_nigra",1,1,1,1,1,0
43,"Betula","papyrifera","wind","pro",21.336,"monoecious",4,NA,"Betula_papyrifera",1,1,1,1,1,NA
42,"Betula","populifolia","wind","pro",9.144,"monoecious",4,NA,"Betula_populifolia",1,1,1,0,1,NA
29,"Ulmus","americana","wind","pro",36.576,"perfect",3.5,NA,"Ulmus_americana",1,1,1,1,0,NA
31,"Ulmus","alata","wind","pro",15.24,"perfect",3,NA,"Ulmus_alata",1,1,1,1,0,NA
32,"Celtis","occidentalis","wind","syn/ser",9.144,"monoecious",5,9.5,"Celtis_occidentalis",0,0,1,0,1,1
33,"Morus","rubra","wind","syn",21.336,"dioecious",5.5,7,"Morus_rubra",0,1,1,1,1,0
34,"Maclura","pomifera","wind","ser",18.288,"dioecious",6,NA,"Maclura_pomifera",0,0,1,1,1,NA
17,"Prunus","serotina","insect","syn",15.24,"perfect",5.5,8.5,"Prunus_serotina",0,1,0,1,0,0
16,"Prunus","pennsylvanica","insect","ser",12.192,"perfect",5,NA,"Prunus_pensylvanica",0,0,0,0,0,NA
13,"Robinia","pseudoacacia","insect","ser",21.336,"perfect",5,11,"Robinia_pseudoacacia",0,0,0,1,0,1
21,"Nyssa","sylvatica","insect","syn",30.48,"dioecious",5.5,10,"Nyssa_sylvatica",0,1,0,1,1,1
22,"Mohrodendron","carolinum","insect","syn",27.432,"perfect",5,12,"Halesia_carolina",0,1,0,1,0,1
27,"Chionanthus","virginicus","insect","syn",9.144,"perfect",4.5,NA,"Chionanthus_virginicus",0,1,0,0,0,NA
25,"Fraxinus","quadrangulata","wind","pro",36.576,"perfect",4,9.5,"Fraxinus_quadrangulata",1,1,1,1,0,1
24,"Fraxinus","pennsylvanica","wind","syn",12.192,"dioecious",5,12,"Fraxinus_pennsylvanica",0,1,1,0,1,1
23,"Fraxinus","americana","wind","pro",30.48,"dioecious",5,8.5,"Fraxinus_americana",1,1,1,1,1,0
