"Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruit_bin"
"Lauraceae","Lindera","benzoin","insect","pro",5,"dioecious",4,8,"moderately_tolerant","Lindera_benzoin",1,1,0,"0shrub",0,1,1,0
"Lauraceae","Sassafras","albidum","insect","syn",18,"dioecious",5,9.5,"tolerant","Sassafras_albidum",0,1,0,"1smalltree",1,1,1,1
"Magnoliaceae","Liriodendron","tulipifera","insect","ser",32,"perfect",5.5,9.5,"intolerant","Liriodendron_tulipifera",0,0,0,"2talltree",1,0,0,1
"Annonanceae","Asimina","triloba","insect","pro",9,"perfect",5.5,9.5,"tolerant","Asimina_triloba",1,1,0,"0shrub",0,0,1,1
"Platanaceae","Platanus","occidentalis","wind","syn",30,"monoecious",5,10,"intolerant","Platanus_occidentalis",0,1,1,"2talltree",1,1,0,1
"Hammamelidaceae","Liquidambar","styraciflua","wind","syn",22,"monoecious",4.5,12,"intolerant","Liquidambar_styraciflua",0,1,1,"2talltree",1,1,0,1
"Hammamelidaceae","Hamamelis","virginiana","insect","hyst",10,"perfect",10.5,10.5,"tolerant","Hamamelis_virginiana",0,0,0,"1smalltree",0,0,1,1
"Grossulariaceae","Ribes","triste","insect","syn",1,"perfect",5,7.5,"moderately_tolerant","Ribes_triste",0,1,0,"0shrub",0,0,1,0
"Staphyleaceae","Staphylea","trifolia","insect","syn/ser",4,"perfect",4.5,9.5,"moderately_tolerant","Staphylea_trifolia",0,0,0,"0shrub",0,0,1,1
"Thymelaeaceae","Dirca","palustris","insect","pro",2,"perfect",4.5,6,"tolerant","Dirca_palustris",1,1,0,"0shrub",0,0,1,0
"Malvaceae","Tilia","americana","insect","ser",30,"perfect",6.5,10,"tolerant","Tilia_americana",0,0,0,"2talltree",1,0,1,1
"Malvaceae","Tilia","cordata","insect","ser",18,"perfect",6.5,10,"tolerant","Tilia_cordata",0,0,0,"1smalltree",1,0,1,1
"Anacardiaceae","Rhus","aromatica","insect","pro",2,"dioecious",4.5,7.5,"intolerant","Rhus_aromatica",1,1,0,"0shrub",0,1,0,0
"Anacardiaceae","Rhus","glabra","insect","ser",7,"dioecious",6,9.5,"intolerant","Rhus_glabra",0,0,0,"0shrub",0,1,0,1
"Anacardiaceae","Rhus","typhina","insect","ser",9,"dioecious",6,9.5,"intolerant","Rhus_typhina",0,0,0,"0shrub",0,1,0,1
"Sapindaceae","Aesculus","glabra","insect","ser",15,"monoecious",4.5,10,"moderately_tolerant","Aesculus_glabra",0,0,0,"1smalltree",0,1,1,1
"Sapindaceae","Aesculus","hippocastanum","insect","ser",20,"perfect",6,10,"moderately_tolerant","Aesculus_hippocastanum",0,0,0,"2talltree",1,0,1,1
