Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Smilaceae,Smilax,rotundifolia,insect,ser,5,dioecious,6,10.5,intolerant,Y,N,Smilax_rotundifolia,0,0,0,0shrub,0,1,0,10.5,0
Smilaceae,Smilax,hispida,insect,ser,6,dioecious,6,10.5,intolerant,Y,N,Smilax_hispida,0,0,0,0shrub,0,1,0,10.5,0
Lauraceae,Lindera,benzoin,insect,pro,5,dioecious,4,8,moderately_tolerant,N,N,Lindera_benzoin,1,1,0,0shrub,0,1,1,8,1
Lauraceae,Sassafras,albidum,insect,syn,18,dioecious,5,9.5,tolerant,N,N,Sassafras_albidum,0,1,0,1smalltree,1,1,1,9.5,0
Magnoliaceae,Liriodendron,tulipifera,insect,ser,32,perfect,5.5,9.5,intolerant,N,N,Liriodendron_tulipifera,0,0,0,2talltree,1,0,0,9.5,0
Annonanceae,Asimina,triloba,insect,pro,9,perfect,5.5,9.5,tolerant,N,N,Asimina_triloba,1,1,0,0shrub,0,0,1,9.5,1
Platanaceae,Platanus,occidentalis,wind,syn,30,monoecious,5,10,intolerant,N,N,Platanus_occidentalis,0,1,1,2talltree,1,1,0,10,0
Menispermaceae,Menispermum,canadense,insect,ser,4,dioecious,6,8.5,intolerant,Y,N,Menispermum_canadense,0,0,0,0shrub,0,1,0,8.5,0
Ranunculaceae,Clematis,virginiana,insect,ser,5,monoecious,7.5,9,intolerant,Y,N,Clematis_virginiana,0,0,0,0shrub,0,1,0,9,0
Hammamelidaceae,Liquidambar,styraciflua,wind,syn,22,monoecious,4.5,12,intolerant,N,N,Liquidambar_styraciflua,0,1,1,2talltree,1,1,0,12,0
Hammamelidaceae,Hamamelis,virginiana,insect,hyst,10,perfect,10.5,10.5,tolerant,N,N,Hamamelis_virginiana,0,0,0,1smalltree,0,0,1,10.5,0
Grossulariaceae,Ribes,lacustre,insect,ser,1,perfect,5.5,8,moderately_tolerant,Y,N,Ribes_lacustre,0,0,0,0shrub,0,0,1,8,0
Grossulariaceae,Ribes,cynosbati,insect,ser,1.2,perfect,4.5,8,moderately_tolerant,Y,N,Ribes_cynosbati,0,0,0,0shrub,0,0,1,8,0
Grossulariaceae,Ribes,triste,insect,syn,1,perfect,5,7.5,moderately_tolerant,N,N,Ribes_triste,0,1,0,0shrub,0,0,1,7.5,0
Grossulariaceae,Ribes,americanum,insect,ser,1.5,perfect,4.5,7.5,intolerant,Y,N,Ribes_americanum,0,0,0,0shrub,0,0,0,7.5,0
Vitaceae,Parthenocissus,tricuspidata,insect,ser,18,perfect,6.5,10.5,intolerant,Y,N,Parthenocissus_tricuspidata,0,0,0,1smalltree,1,0,0,10.5,0
