Family,Genus,Species,Pollination,Phen sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred
Magnoliaceae,Liriodendron,tulipifera,insect,ser,32,perfect,5.5,9.5,intolerant,N,N
Annonanceae,Asimina,triloba,insect,pro,9,perfect,5.5,9.5,tolerant,N,N
Lauraceae,Sassafras,albidum,insect,syn,18,dioecious,5,9.5,tolerant,N,N
Platanaceae,Platanus,occidentalis,wind,syn,30,monoecious,5,10,intolerant,N,N
Hammamelidaceae,Hamamelis,virginiana,insect,hyst,10,perfect,10.5,10.5,tolerant,N,N
Hammamelidaceae,Liquidambar,styraciflua,wind,syn,22,monoecious,4.5,12,intolerant,N,N
Salicaceae,Populus,deltoides,wind,pro,32,dioecious,4.5,5.5,very_intolerant,N,N
Salicaceae,Populus,nigra,NA,pro,20,dioecious,4.5,,intolerant,N,N
Salicaceae,Populus,alba,wind,pro,24,dioecious,4.5,5.5,intolerant,N,N
Salicaceae,Populus,grandidentata,wind,pro,32,dioecious,4,5.5,intolerant,N,N
Salicaceae,Populus,tremuloides,wind,pro,32,dioecious,3.5,5.5,very_intolerant,N,N
Salicaceae,Populus,balsamifera,wind,pro,30,dioecious,4.5,5.5,intolerant,N,N
Salicaceae,Populus,heterophylla,wind,pro,18,dioecious,3.5,5.5,very_intolerant,N,N
Salicaceae,Salix,alba,ambo,syn,25,dioecious,4.5,5.5,very_intolerant,N,N
Salicaceae,Salix,amygdaloides,ambo,syn,12,dioecious,4,5,intolerant,N,N
Salicaceae,Salix,fragilis,ambo,syn,25,dioecious,4.5,5.5,very_intolerant,N,N
Salicaceae,Salix,nigra,ambo,syn,20,dioecious,4.5,6,very_intolerant,N,N
Fabaceae,Cercis,canadensis,insect,pro/syn,25,perfect,4.5,6.5,moderately_tolerant,N,N
Fabaceae,Gleditsia,triacanthos,insect,syn/ser,26,polygamo_dioecious,5.5,9.5,intolerant,N,N
Fabaceae,Gymnocladus,dioicus,insect,ser,26,polygamo_dioecious,6,9.5,intolerant,N,N
Fabaceae,Robinia,pseudoacacia,insect,ser,18,perfect,5.5,10,very_intolerant,N,N
Rosaceae,Amelanchier,arborea,insect,pro/syn,8,perfect,4.5,7,tolerant,N,N
Rosaceae,Malus,coronaria,insect,ser,7,perfect,5,10,intolerant,N,N
Rosaceae,Malus,pumila,insect,syn,12,perfect,5,8.5,moderately_tolerant,N,N
Rosaceae,Sorbus,americana,insect,ser,7,perfect,5.5,10,moderately_tolerant,N,N
Rosaceae,Prunus,nigra,insect,pro,9,perfect,4.5,8.5,intolerant,N,N
Rosaceae,Prunus,pensylvanica,insect,syn,10,perfect,5.5,7.5,intolerant,N,N
Rosaceae,Prunus,serotina,insect,syn,25,perfect,5.5,8.5,tolerant,N,N
Rosaceae,Prunus,virginiana,insect,syn/ser,10,perfect,5.5,7.5,moderately_tolerant,N,N
Rosaceae,Prunus,avium,insect,pro,18,perfect,4,8.5,moderately_tolerant,N,N
Rhamnaceae,Rhamnus,cathartica,insect,syn,7,dioecious,5,8.5,tolerant,N,N
Ulmaceae,Ulmus,americana,wind,pro,30,perfect,3.5,5,moderately_tolerant,N,N
Ulmaceae,Ulmus,thomasii,wind,pro,22,perfect,4.5,5,moderately_tolerant,N,N
Ulmaceae,Ulmus,rubra,wind,pro,24,perfect,3.5,5,moderately_tolerant,N,N
Ulmaceae,Ulmus,pumila,wind,pro,26,perfect,3.5,4,moderately_tolerant,N,N
Cannabaceae,Celtis,occidentalis,wind,syn/ser,15,monoecious,5,9.5,moderately_tolerant,N,N
Cannabaceae,Celtis,tenufolia,wind,syn/ser,6,monoecious,5,9,moderately_tolerant,N,N
Moraceae,Maclura,pomifera,wind,ser,18,dioecious,5.5,9.5,intolerant,N,N
Moraceae,Morus,alba,wind,syn,18,polygamo_dioecious,5.5,6.5,intolerant,N,N
Moraceae,Morus,rubra,wind,syn,15,dioecious,5.5,7,moderately_tolerant,N,N
