familu,genus,species,mich_pollin,mich_phen_seq,silvics_pollin,silvic_phen_seq,flower_class,high_height,notes,Proteranthous
Sapindaceae,Acer,barbatum,NA,NA,NA,pro/syn,polygamo-dio,,,1
Sapindaceae,Acer,macrophyllum,NA,NA,insect,pro,polygamous,,"""pollination by insects usually occurs within 2-4 weeks after bud burst"" might be ambo",1
Sapindaceae,Acer,nigrum,wind,syn,ambo,syn,mono,,"""mixed buds"", may have perfect flowers that are functionally mono",0
Sapindaceae,Acer,saccharum,wind,syn,NA,pro,polygamous,,,1
Sapindaceae,Acer,rubrum,NA,pro,NA,pro,polygamo-dio,,,1
Sapindaceae,Acer,saccharinum,NA,pro,NA,pro,polygamo-dio,,,1
Sapindaceae,Acer,spicatum,NA,ser,NA,NA,,,,0
Sapindaceae,Acer,pensylvanicum,NA,syn/ser,NA,ser,mono/dio,,,0
Sapindaceae,Acer,platanoides,NA,pro/syn,NA,NA,,,,1
Sapindaceae,Acer,negundo,NA,pro/syn,wind,pro/syn,dio,,,1
Sapindaceae,Aesculus,glabra,insect,ser,NA,ser,polygamo-mono,,,0
Sapindaceae,Aesculus,octandra,NA,NA,NA,ser,polygamo-mono,,,0
Sapindaceae,Aesculus,hippocastanum,insect,ser,NA,NA,,,,0
Simaroubaceae,Ailanthus,altissima,insect,ser,insect,NA,dio,,,0
Betulaceae,Alnus,incana,wind,pro,AN,NA,mono,,,1
Betulaceae,Alnus,glutinosa,wind,pro/syn,NA,NA,mono,,,1
Betulaceae,Alnus,rubra,NA,NA,wind,NA,mono,,,NA
Rosaceae,Amelanchier,arborea,insect,syn,NA,NA,,,,0
Annonanceae,Asimina,triloba,insect,pro,NA,NA,,,,1
Betulaceae,Betula,alleghaniensis,wind,pro,NA,syn,mono,,"""pistilate catkins appear with leaves""",1
Betulaceae,Betula,lenta,NA,NA,wind,syn,mono,,"""pistilate catkins appear with leaves""",0
Betulaceae,Betula,papyrifera,wind,pro/syn,NA,NA,mono,,,1
Betulaceae,Betula,pendula,wind,pro/syn,NA,NA,,,,1
Betulaceae,Betula,nigra,wind,pro/syn,wind,syn,mono,,"""pistilate catkins appear with leaves""",1
Betulaceae,Carpinus,caroliniana,wind,syn,wind,syn,mono,,,0
Juglandaceae,Carya,aquatica,NA,NA,wind,syn,mono,,,0
Juglandaceae,Carya,cordiformis,wind,syn,wind,NA,mono,,,0
Juglandaceae,Carya,glabra,wind,syn,wind,NA,mono,,,0
Juglandaceae,Carya,illinoiensis,NA,NA,wind,NA,mono,,,NA
Juglandaceae,Carya,laciniosa,wind,syn,wind,ser,mono,,,0
Juglandaceae,Carya,myristiciformis,NA,NA,wind,syn,mono,,,0
Juglandaceae,Carya,ovata,wind,syn,wind,syn/ser,mono,,,0
Juglandaceae,Carya,tomentosa,NA,NA,wind,NA,mono,,,NA
Fagaceae,Castanea,dentata,ambo,ser,NA,NA,,,,0
Bignoniaceae,Catalpa,bignonioides,insect,ser,NA,NA,,,,0
Bignoniaceae,Catalpa,speciosa,insect,ser,NA,NA,,,,0
Cannabaceae,Celtis,occidentalis,wind,syn/ser,NA,syn/ser,polygamo-mono,,,0
Cannabaceae,Celtis,laevigata,NA,NA,NA,syn,polygamo-mono,,,0
Cannabaceae,Celtis,tenuifolia,wind,syn/ser,NA,NA,,,,0
Fabaceae,Cercis,canadensis,insect,pro/syn,insect,pro,bisexual,,,1
Cornaceae,Cornus,alternifolia,insect,ser,NA,NA,,,,0
Cornaceae,Cornus,florida,insect,syn,insect,pro,,,,1
Ebenaceae,Diospyros,virginiana,NA,NA,NA,syn,dio,,,0
Fagaceae,Fagus,grandifolia,wind,syn,wind,syn,mono,,,0
Oleaceae,Fraxinus,americana,wind,pro,wind,pro/syn,dio,,,1
Oleaceae,Fraxinus,latifolia,NA,NA,NA,syn,dio,,,0
Oleaceae,Fraxinus,nigra,wind,pro,NA,pro/syn,polygamous,,,1
Oleaceae,Fraxinus,pensylvanica,wind,pro/syn,NA,pro/syn,dio,,,1
Oleaceae,Fraxinus,profunda,wind,pro/syn,NA,pro,dio,,,1
Oleaceae,Fraxinus,quadrangulata,wnd,pro,NA,NA,,,,1
Fabaceae,Gleditsia,triacanthos,NA,NA,NA,syn,polygamo-dio,,,0
Fabaceae,Gymnocladus,dioicus,insect,ser,NA,NA,,,,0
Theaceae,Gordonia,lasianthus,NA,NA,insect,ser,,,,0
Styracaceae,Halesia,carolina,NA,NA,NA,syn,perfect,,,0
Aquifoliaceae,Ilex,opaca,NA,NA,insect,NA,dio,,,NA
Hammamelidaceae,Hamamelis,virginiana,insect,hyst,NA,NA,,,,0
Juglandaceae,Juglans,cinerea,wind,syn,NA,NA,mono,,,0
Juglandaceae,Juglans,nigra,wind,syn,NA,syn,mono,,,0
Hammamelidaceae,Liquidambar,styraciflua,wind,syn,NA,NA,mono,,,0
Magnoliaceae,Liriodendron,tulipifera,insect,ser,insect,NA,perfect,,,0
Magnoliaceae,Magnolia,acuminata,NA,NA,insect,syn/ser,perfect,,,0
Magnoliaceae,Magnolia,fraseri,,,insect,NA,perfect,,,NA
Magnoliaceae,Magnolia,grandiflora,,,insect,NA,perfect,,,NA
Magnoliaceae,Magnolia,virginiana,,,insect,NA,perfect,,,NA
Moraceae,Maclura,pomifera,wind,ser,wind,ser,dio,,,0
Rosaceae,Malus,coronaria,insect,ser,NA,NA,,,,0
Rosaceae,Malus,pumila,insect,syn,NA,NA,,,,0
Moraceae,Morus,alba,wind,syn,NA,NA,,,,0
Moraceae,Morus,rubra,wind,syn,NA,NA,dio/mono,,,0
Nyssaceae,Nyssa,aquatica,NA,NA,ambo,pro/syn,polygamo-dio,,,1
Nyssaceae,Nyssa,ogeche,NA,NA,insect,ser,polygamo-dio,,,0
Nyssaceae,Nyssa,sylvatica,insect,syn,NA,NA,polygamo-dio,,,0
Betulaceae,Ostrya,virginiana,wind,syn,wind,syn,mono,,,0
Platanaceae,Platanus,occidentalis,wind,syn,NA,NA,mono,,,0
Salicaceae,Populus,deltoides,wind,pro,wind,pro,dio,,,1
Salicaceae,Populus,nigra,NA,pro,NA,NA,,,,1
Salicaceae,Populus,alba,wind,pro,NA,NA,,,,1
Salicaceae,Populus,grandidentata,wind,pro,wind,pro,dio,,,1
