genus,species,silvics_pollin,silvic_phen_seq,flower_class,av_fruit_time,locality,flower_time,flower_locality,shade,height
Acer,barbatum,NA,pro/syn,polygamo-dio,early_summer,southeast,4,,,
Acer,macrophyllum,insect,pro,polygamous,11.5,oregon?,4.5,,tolerant,30
Acer,nigrum,ambo,syn,mono,9.5,New england,4.5,range ave,very_tolerant,34
Acer,saccharum,wind,pro,polygamous,8.5,,4,,very_tolerant,37
Acer,rubrum,wind,pro,polygamo-dio,5.5,,4,,tolerant,27
Acer,saccharinum,wind,pro,polygamo-dio,5,,3.5,,tolerant,37
Acer,pensylvanicum,insect,ser,mono/dio,10.5,,5.5,,very_tolerant,15
Acer,negundo,wind,pro/syn,dio,9,,4,,tolerant,23
Aesculus,glabra,insect,ser,polygamo-mono,9.5,,4,,tolerant,21.3
Aesculus,octandra,insect,ser,polygamo-mono,9,,5,,tolerant,26
Ailthanthus,altissima,insect,ser,dio,,,5.5,,intolerant,27
Betula,alleghaniensis,wind,syn,mono,9.5,,5.5,,medium_tolerant,30.5
Betula,lenta,wind,syn,mono,10,,4.5,,intolerant,24
Betula,nigra,wind,syn,mono,late_spring/early_summer,,4.5,,intolerant,24.4
Carpinus,caroliniana,wind,syn,mono,NA,,4.5,north,very_tolerant,
Carya,aquatica,wind,syn,mono,11,,4.5,,medium_tolerant,33.5
Carya,laciniosa,wind,ser,mono,10,,5,,very_tolerant,40
Carya,myristiciformis,wind,syn,mono,10.5,,4.5,,intolerant,30
Carya,ovata,wind,syn/ser,mono,10.5,,6,north,medium_tolerant,24
Celtis,occidentalis,wind,syn/ser,polygamo-mono,9.5,,5,north,medium_tolerant,
Celtis,laevigata,NA,syn,polygamo-mono,9.5,,4,,,
Cercis,canadensis,insect,pro,bisexual,fall/winter,,4,,tolerant,
Cornus,florida,insect,pro,,9.5,,5,north,very_tolerant,12
Diospyros,virginiana,insect,syn,dio,10,,4.5,,very_tolerant,18
Fagus,grandifolia,wind,syn,mono,10,,4.5,,very_tolerant,24
Fraxinus,americana,wind,pro/syn,dio,10,,4.5,,intolerant,27
Fraxinus,latifolia,wind,syn,dio,8.5,,4.5,,medium_tolerant,24
Fraxinus,nigra,wind,pro/syn,polygamous,8.5,,5.5,,intolerant,21
Fraxinus,pensylvanica,wind,pro/syn,dio,9.5,,4.5,north,tolerant,18
Fraxinus,profunda,wind,pro,dio,11,,4.5,,medium_tolerant,40
Gleditsia,triacanthos,insect,syn,polygamo-dio,10.5,,6,north,intolerant,24
Gordonia,lasianthus,insect,ser,,10.5,,6.5,,tolerant,6.5
Halesia,carolina,insect,syn,perfect,winter,,5,,tolerant,12
Juglans,cinerea,insect,syn,,9.5,,5,,intolerant,30
Juglans,nigra,wind,syn,mono,10,,6,north,intolerant,37
Magnolia,acuminata,insect,syn/ser,perfect,9,,5.5,,medium_tolerant,30
Maclura,pomifera,wind,ser,dio,9.5,,5,,intolerant,9
Nyssa,aquatica,ambo,pro/syn,polygamo-dio,10.5,,3.5,,intolerant,23
Nyssa,ogeche,insect,ser,polygamo-dio,11.5,,4,,intolerant,10.7
Ostrya,virginiana,wind,syn,mono,9,range,6,north,tolerant,12
Populus,deltoides,wind,pro,dio,6.5,north,3,,very_intolerant,58
Populus,grandidentata,wind,pro,dio,5.5,,4.5,,very_intolerant,24
Populus,tremuloides,wind,pro,dio,5.5,,4,,very_intolerant,26
Populus,balsamifera,wind,pro,dio,5.5,range,4.5,range,very_intolerant,30
Populus,heterophylla,wind,pro,dio,5.5,,4,,intolerant,40
Prunus,pensylvanica,insect,syn,perfect,7,,5,,very_intolerant,24
Prunus,serotina,insect,syn,perfect,8.5,allegheny,5,,intolerant,25
Quercus,alba,wind,syn,mono,9.5,,4,,medium_tolerant,30
Quercus,bicolor,wind,syn,mono,9.5,,5.5,,medium_tolerant,23
Quercus,macrocarpa,wind,ser,mono,9.5,,6.5,north,medium_tolerant,30
Quercus,rubra,wind,pro/syn,mono,21,,4.5,,medium_tolerant,30
Quercus,velutina,wind,pro/syn,mono,21,,4.5,,medium,24
Quercus,palustris,wind,syn,mono,22,,NA,,intolerant,
Quercus,garryana,wind,syn,mono,9.5,,4.5,,intolerant,27
Quercus,laurifolia,wind,pro,mono,21,,2.5,,tolerant,21
Quercus,lyrata,wind,syn,mono,9.5,,4.5,,medium_tolerant,27
Quercus,michauxii,wind,syn,mono,9.5,,4.5,,intolerant,30.5
Quercus,nigra,wind,pro/syn,mono,21,,NA,,intolerant,38
Quercus,nuttallii,wind,syn,mono,11.5,,3.5,,intolerant,37
Quercus,phellos,wind,pro,mono,21,,3.5,,intolerant,37
Quercus,stellata,wind,syn,mono,10,,5,north,intolerant,18.3
Quercus,prinus,wind,syn,mono,9.5,,NA,,medium_tolerant,24
Robinia,pseudoacacia,insect,ser,perect,12.5,,5.5,,very_intolerant,18
Salix,nigra,ambo,pro/syn,dio,6.5,,4,range,very_intolerant,15
Sassafras,albidum,insect,syn,dio,8.5,,3.5,,intolerant,30
Tilia,americana,insect,ser,perfect,9.5,,6,,tolerant,40
Ulmus,alata,wind,pro,perfect,4,,3.5,,tolerant,15
Ulmus,americana,wind,pro,perfect,4.5,range,3.5,range,medium_tolerant,38
Ulmus,thomasii,wind,pro,perfect,5.5,,4,,medium_tolerant,27
Ulmus,rubra,wind,pro,perfect,5,,3.5,,tolerant,21.3
