genus,species,anthy,pollination,heigh_height (ft),flower_type,flower_time,fruit_time
Salix,nigra,pro/syn,ambo,125,unisexual,4.5,5.5
Salix,interior,ser,ambo,30,unisexual,4.5,4
Salix,agrophylla,ser,ambo,18,unisexual,5,
Salix,babylonica,ser,ambo,50,unisexual,4.5,
Salix,bebbiana,syn,ambo,24,unisexual,5,
Salix,humulis,pro,ambo,9,unisexual,,
Salix,exigua,ser,ambo,25,unisexual,,
Salix,amygdaloides,syn,ambo,40,unisexual,4.5,
Myrica,penstlvanica,ser,wind,9,unisexual,,
Juglans,cinerea,syn,wind,100,unisexual,5,9.5
Carya,ovata,ser,wind,100,unisexual,4.5,9.5
Carya,leiodermis,ser,wind,80,unisexual,,
Alnus,maritima,ser,wind,20,unisexual,8.5,
Alnus,tenuifolia,pro,wind,30,unisexual,4.5,
Ostrya,knowltonii,pro,wind,30,unisexual,,
Quercus,bicolor,syn,wind,110,unisexual,,9.5
Quercus,stellata,syn,wind,75,unisexual,4,10
Quercus ,gambelii,syn,wind,50,unisexual,5,
Quercus,nigra,syn,wind,80,unisexual,4.5,9.5
Quercus,marilandica,syn,wind,60,unisexual,4.5,
Quercus,velutina,syn,wind,90,unisexual,4.5,9.5
Celtis,occidentalis,syn,wind,120,unisexual,4.5,
Celtis,tenuifolia,syn,wind,24,unisexual,4.5,9.5
Ulmus,rubra,pro,wind,75,perfect,3,5
Ulmus,americana,pro,wind,120,perfect,3,4.5
Ulmus,alata,pro,wind,60,perfect,4.5,
Ulmus,serotina,ser,wind,60,perfect,9,11
Ulmus,pumila,pro/syn,wind,,perfect,3.5,4.5
Ulmus,thomasi,pro,wind,100,perfect,4,5.5
Morus,rubra,syn,wind,70,unisexual,4.5,6.5
Magnolia,acuminata,ser,insect,90,perfect,5,9
Asimina,triloba,pro/syn,insect,40,perfect,,
Glabraria,geniculata,pro,,9,perfect,3.5,7
Lindera,benzoin,pro,insect,20,perfect,,8.5
Fendlerella,utahensis,ser,insect?,3,bisexual,6.5,
Platanus,wrightii,syn,wind,80,unisexual,,
Craetaegus,opaca,pro,insect,30,bisexual,2.5,5
Craetaegus,rubella,syn/ser,insect,12,bisexual,4.5,9
Craetaegus,biltmoreana,syn/ser,insect,15,bisexual,5,9.5
Craetaegus,amicalis,syn/ser,insect,25,bisexual,4,10
Craetaegus,crus-galli,ser,insect,30,bisexual,5.5,10
Craetaegus,pyracanthoides,syn/ser,insect,15,bisexual,4,9
Craetaegus,iracunda,syn,insect,25,bisexual,4.5,9.5
Craetaegus,platycarpa,syn,insect,23,bisexual,4,10
Prunus,mahaleb,syn,insect,30,bisexual,4.5,7
Prunus,pumila,pro/syn,insect,6,bisexual,4.5,8
Prunus,serotina,syn,insect,100,bisexual,4.5,8
Prunus,emarginata,syn,insect,12,bisexual,5,7
Prunus,gladulosa,pro/syn,insect,5,bisexual,,4.5
Prunus,minutiflora,syn,insect,3,bisexual,3,5.5
Prunus,havardii,ser,insect,,bisexual,5.5,7
Prunus,gracilis,pro,insect,15,bisexual,3,7
Prunus,murrayana,syn,insect,6,bisexual,3.5,
Prunus,angustifolia,pro,insect,25,bisexual,3.5,6
Prunus,reverchonii,pro/syn,insect,6,bisexual,3.5,8
Prunus,rivularis,pro/syn,insect,8,bisexual,3,6
Prunus,persoca,pro,insect,24,bisexual,4,8.5
Pyrus,communis,pro/syn,insect,75,bisexual,4,8.5
Pyrus,malus,syn,insect,50,bisexual,4.5,9.5
Amelanchier,denticulata,pro/syn,insect,10,bisexual,2.5,5.5
Peraphyllum,ramosissimum,syn,insect,10,bisexual,4.5,8
Rubus,sons,ser,insect,3,bisexual,5.5,7.5
Rubus,occidentalis,ser,insect,,bisexual,5.5,
Rubus,nefrens,ser,insect,,bisexual,5.5,6.5
Rubus,serissimus,ser,insect,4,bisexual,,
Rubus,allegheniensis,ser,insect,3,bisexual,6,
Prosopis,pubescens,ser,insect,30,bisexual,,
Gymnocladus,dioica,ser,insect,100,bisexual,5.5,12
Cercis,canadensis,pro,insect,40,bisexual,4,9.5
Cercis,occidentalis,pro,insect,20,bisexual,3,
Erythrina,flavelliformis,pro/syn,insect,15,bisexual,,
Robinia,neomexicana,ser,insect,24,bisexual,6,9.5
Sophora,secundiflora,syn,insect,35,bisexual,3.5,9
Wisteria,frutescens,syn,insect,40,bisexual,5,10
Poncirus,trifoliata,pro,insect,30,bisexual,4.5,9.5
Zanthoxylem,americanum,pro,insect,25,dioecious,4.5,8
Zanthoxylem,fagara,ser,insect,30,dioecious,4.5,9
Zanthoxylem,parvum,pro/syn,insect,4.5,unisexual,,
Pistacia,texana,pro/syn,insect,30,unisexual,,
Rhus,aromatica,pro,insect,8,unisexual,,7.5
Rhus,microphylla,pro,insect,15,,,6
Ilex,decidua,syn,insect,30,unisexual,4,9
Ilex,montana,syn,insect,40,unisexual,6,10
