"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"7329","6866","46.5667,15.95","15.95","46.5667","310","129","70","1961",162,109,-53
"7332","6870","45.8,15.1833","15.1833","45.8","220","129","70","1961",173,109,-64
"7889","6866","46.5667,15.95","15.95","46.5667","310","129","70","1962",172,122,-50
"7892","6870","45.8,15.1833","15.1833","45.8","220","129","70","1962",192,127,-65
"8840","6866","46.5667,15.95","15.95","46.5667","310","129","70","1963",175,118,-57
"8843","6870","45.8,15.1833","15.1833","45.8","220","129","70","1963",178,121,-57
"9884","6866","46.5667,15.95","15.95","46.5667","310","129","70","1964",176,125,-51
"9887","6870","45.8,15.1833","15.1833","45.8","220","129","70","1964",172,125,-47
"10791","6866","46.5667,15.95","15.95","46.5667","310","129","70","1965",178,125,-53
"10794","6870","45.8,15.1833","15.1833","45.8","220","129","70","1965",182,125,-57
"11720","6866","46.5667,15.95","15.95","46.5667","310","129","70","1966",172,117,-55
"11723","6870","45.8,15.1833","15.1833","45.8","220","129","70","1966",163,106,-57
"12636","6866","46.5667,15.95","15.95","46.5667","310","129","70","1967",177,119,-58
"12639","6870","45.8,15.1833","15.1833","45.8","220","129","70","1967",176,115,-61
"13370","6866","46.5667,15.95","15.95","46.5667","310","129","70","1968",173,111,-62
"13373","6870","45.8,15.1833","15.1833","45.8","220","129","70","1968",171,106,-65
"14320","6866","46.5667,15.95","15.95","46.5667","310","129","70","1969",172,120,-52
"14323","6870","45.8,15.1833","15.1833","45.8","220","129","70","1969",171,120,-51
"15389","6866","46.5667,15.95","15.95","46.5667","310","129","70","1970",182,126,-56
"15392","6870","45.8,15.1833","15.1833","45.8","220","129","70","1970",178,119,-59
"16291","6866","46.5667,15.95","15.95","46.5667","310","129","70","1971",175,119,-56
"16294","6870","45.8,15.1833","15.1833","45.8","220","129","70","1971",169,116,-53
"17069","6866","46.5667,15.95","15.95","46.5667","310","129","70","1972",176,110,-66
"17072","6870","45.8,15.1833","15.1833","45.8","220","129","70","1972",173,105,-68
"18194","6866","46.5667,15.95","15.95","46.5667","310","129","70","1973",178,118,-60
"18197","6870","45.8,15.1833","15.1833","45.8","220","129","70","1973",174,122,-52
"18613","6866","46.5667,15.95","15.95","46.5667","310","129","70","1974",184,119,-65
"18615","6870","45.8,15.1833","15.1833","45.8","220","129","70","1974",176,113,-63
"19582","6866","46.5667,15.95","15.95","46.5667","310","129","70","1975",185,123,-62
"19585","6870","45.8,15.1833","15.1833","45.8","220","129","70","1975",166,113,-53
"20677","6866","46.5667,15.95","15.95","46.5667","310","129","70","1976",174,124,-50
"20680","6870","45.8,15.1833","15.1833","45.8","220","129","70","1976",175,121,-54
"21709","6866","46.5667,15.95","15.95","46.5667","310","129","70","1977",166,116,-50
"21710","6870","45.8,15.1833","15.1833","45.8","220","129","70","1977",175,113,-62
"22636","6866","46.5667,15.95","15.95","46.5667","310","129","70","1978",187,120,-67
"22639","6870","45.8,15.1833","15.1833","45.8","220","129","70","1978",174,123,-51
