,mod2,mod3,mod3a,mod4,mod4a,mod5,mich4cent,mod5cent
Pol,0.238,0.86,0.16,0.851,0.91,0.89,1,0.86
Flo_time,-2.57,-2.653,-2.32,-2.71,-2.39,-2.37,-12.52,-11.3
height,X,-0.052,X,-0.049,-0.046,-0.045,-1.76,-0.66
shade,X,X,X,-0.18,X,-0.07,,-1.2
fruiting,X,X,-0.23,X,-0.25,-0.25,-0.76,-0.05
,,,,,,,,
,Silv1,Silv3,Silv4cent,,,,,
Pol,1.48,0.98,0.26,,,,,
flo_time,-3.17,-3.26,-10,,,,,
av_fruit_time,X,0.08,,,,,,
fruiting,X,,-3.69,,,,,
height_cent,,,-0.51,,,,,
,,,,,,,,
,Keeler2,Keeler3(cent,,,,,,
Pol,1.16,1.89,,,,,,
flo_time,-4.16,-21.5,,,,,,
height,,-0.67,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,michXkeeler2,,,,,,,
Pol,0.83,-0.26,,,,,,
flo_time,-4.49,-14.3,,,,,,
height_cent,,0.3,,,,,,
