"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",22620189,"KANU",1969,5,14,"1969-05-14","Kansas","Osage","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189",-95.62387,38.50696,"geo_referenced"
"mexicana",22620194,"KANU",1969,4,21,"1969-04-21","Kansas","Greenwood","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620194",-95.98276,37.60606,"geo_referenced"
"mexicana",10246812,"APCR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",19212155,"UCHT",NA,NA,NA,"","Tennessee","marion","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212155",-85.6179533293738,35.1259820913653,"county_centroid"
"mexicana",12877145,"UARK",NA,NA,NA,"","Arkansas","marion","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877145",-92.681893870018,36.2636623693825,"county_centroid"
"mexicana",15836864,"FLAS",NA,NA,NA,"","Alabama","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15836864",NA,NA,"county_centroid"
"mexicana",23732155,"Harvard",NA,NA,NA,"","Louisiana","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732155",NA,NA,"county_centroid"
"mexicana",15369749,"NCU",1966,10,10,"1966-10-10","Alabama","tuscaloosa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369749",-87.5169608754408,33.2943769666044,"county_centroid"
"mexicana",5465886,"EKY",1992,8,8,"1992-08-08","Alabama","jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465886",-85.9977508929156,34.7768364559145,"county_centroid"
"mexicana",19212158,"UCHT",NA,NA,NA,"","Texas","van zandt","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212158",-95.8467423774232,32.5844122846827,"county_centroid"
"mexicana",6691939,"STAR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6691939",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",20277241,"CLEMS",1987,7,28,"1987-07-28","Texas","victoria","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20277241",-96.9774357387192,28.7901641844514,"county_centroid"
"mexicana",11535441,"LSU",1981,5,12,"1981-05-12","Mississippi","amite","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535441",-90.8094826630169,31.1763376449972,"county_centroid"
"mexicana",23732115,"Harvard",NA,NA,NA,"","Arkansas","marion ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732115",NA,NA,"county_centroid"
"mexicana",22620195,"KANU",1969,4,21,"1969-04-21","Kansas","Wilson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195",-95.73477,37.41832,"geo_referenced"
"mexicana",11535442,"LSU",1979,4,28,"1979-04-28","Mississippi","wilkinson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535442",-91.3146934178687,31.1618455453508,"county_centroid"
"mexicana",15369747,"NCU",1967,5,11,"1967-05-11","Alabama","walker","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369747",-87.2891788824212,33.8132904375486,"county_centroid"
"mexicana",22620185,"KANU",1965,5,4,"1965-05-04","Kansas","Pottawatomie","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620185",-96.41217,39.46775,"geo_referenced"
"mexicana",6345103,"MMNS",1985,3,16,"1985-03-16","Mississippi","Winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6345103",-88.8544,33.0961,"geo_referenced"
"mexicana",21268917,"UAM",1981,5,28,"1981-05-28","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268917",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",10246842,"APCR",NA,NA,NA,"","Arkansas","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246842",-92.8870999576128,33.5975916385369,"county_centroid"
"mexicana",23732185,"Harvard",1933,7,27,"1933-07-27","Oklahoma","comanche ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732185",NA,NA,"county_centroid"
"mexicana",7198131,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7198131",NA,NA,"county_centroid"
"mexicana",7198144,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7198144",NA,NA,"county_centroid"
"mexicana",23732359,"Harvard",1910,9,13,"1910-09-13","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732359",NA,NA,"county_centroid"
"mexicana",23732202,"Harvard",1913,4,14,"1913-04-14","Oklahoma","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732202",NA,NA,"county_centroid"
"mexicana",25302410,"NY",1939,8,31,"1939-08-31","Oklahoma","Oklahoma Co.","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25302410",-97.569857,35.467548,"geo_referenced"
"mexicana",12877154,"UARK",NA,NA,NA,"","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877154",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",10246791,"APCR",NA,NA,NA,"","Arkansas","johnson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246791",-93.4714218079629,35.5632314004738,"county_centroid"
"mexicana",15436547,"APSC",2006,4,1,"2006-04-01","Tennessee","wilson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15436547",-86.2929241244188,36.1564892480053,"county_centroid"
"mexicana",5465884,"EKY",1990,9,21,"1990-09-21","Tennessee","morgan","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465884",-84.6494355075296,36.1264562802324,"county_centroid"
"mexicana",15369664,"NCU",1961,7,15,"1961-07-15","South Carolina","lancaster","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369664",-80.7046097627609,34.7084981590257,"county_centroid"
"mexicana",16263381,"GA",NA,NA,NA,"","Tennessee","humphreys ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16263381",NA,NA,"county_centroid"
"mexicana",19212157,"UCHT",NA,NA,NA,"","Texas","dallas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212157",-96.7794608509167,32.7674282217554,"county_centroid"
"mexicana",3848972,"APSC",2010,7,0,"2010-07-00","Arkansas","Miller","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848972",-94.028746,33.195304,"geo_referenced"
"mexicana",15369793,"NCU",1977,5,16,"1977-05-16","Arkansas","hempstead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369793",-93.6685350705301,33.7357778292865,"county_centroid"
"mexicana",25150499,"SAT",1975,4,15,"1975-04-15","Texas","galveston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25150499",-95.0665247594404,29.423406002201,"county_centroid"
"mexicana",22709121,"KANU",2004,4,6,"2004-04-06","Kansas","Chase","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22709121",-96.5577778,38.4383333,"geo_referenced"
"mexicana",23732412,"Harvard",NA,NA,NA,"","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732412",NA,NA,"county_centroid"
"mexicana",23732344,"Harvard",1945,5,18,"1945-05-18","Texas","dallas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732344",NA,NA,"county_centroid"
"mexicana",21268927,"UAM",NA,NA,NA,"","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268927",-92.6723080115477,34.6500778458355,"county_centroid"
"mexicana",23732145,"Harvard",NA,NA,NA,"","Kansas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732145",NA,NA,"county_centroid"
"mexicana",21111174,"BRIT",2012,2,25,"2012-02-25","Texas","Parker","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21111174",-97.68056,32.75539,"geo_referenced"
"mexicana",24655982,"NY",1947,6,11,"1947-06-11","Texas","tarrant ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24655982",NA,NA,"county_centroid"
"mexicana",23732286,"Harvard",1915,3,12,"1915-03-12","Texas","dallas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732286",NA,NA,"county_centroid"
"mexicana",13364449,"EKY",2011,4,18,"2011-04-18","Kentucky","garrard","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13364449",-84.5366441613235,37.6404330637516,"county_centroid"
"mexicana",9176987,"LSU",1978,6,26,"1978-06-26","Louisiana","richland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176987",-91.7716886980206,32.4218581243476,"county_centroid"
"mexicana",23732402,"Harvard",1925,11,1,"1925-11-01","Texas","brown ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732402",NA,NA,"county_centroid"
"mexicana",23732169,"Harvard",NA,NA,NA,"","Missouri","stone ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732169",NA,NA,"county_centroid"
"mexicana",9176769,"LSU",1990,10,2,"1990-10-02","Louisiana","caldwell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176769",-92.1204061358145,32.0899538400139,"county_centroid"
"mexicana",11535443,"LSU",1979,5,24,"1979-05-24","Mississippi","claiborne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535443",-90.9117168136166,31.9812858443891,"county_centroid"
"mexicana",23732085,"Harvard",NA,NA,NA,"","Arkansas","hempstead ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732085",NA,NA,"county_centroid"
