specificEpithet,id,references,obs_number,,,,,,pental_lengh_mm,who_done_it,note
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785,1,1.208,200.778,172.963,212.572,-31.43,4.985,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246786,2,1.593,177.826,138.037,223.333,-104.534,6.481,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246787,3,0.824,190.306,161.667,224.333,-77.905,3.382,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788,4,1.098,183.773,167.407,205.815,-105.524,4.358,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246789,5,1.043,179.407,114.852,198.885,99.462,4.29,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246790,6,1.318,177.645,148.819,207.704,175.03,5.488,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246791,7,1.098,187.075,144.444,198.064,-164.476,4.4,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246792,8,1.318,192.334,175.333,215.444,84.806,5.332,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246793,9,0.989,163.584,115.296,184.307,52.431,3.906,DB,
mexicana,10246785,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246794,10,1.043,185.14,157.556,205.778,49.399,4.321,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183,1,0.46,188.541,153.357,211.204,-42.455,5.359,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620184,2,0.474,185.327,80,216.378,-21.801,5.476,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620185,3,0.366,212.606,165.6,224.667,84.289,4.258,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186,4,0.46,202.995,139.222,221.779,20.136,5.363,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620187,5,0.467,207.924,185.333,225.859,-140.08,5.411,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188,6,0.517,212.296,155.222,224.337,120.141,6.048,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189,7,0.654,222.1,177.435,239,-31.938,7.636,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190,8,0.409,221.046,198.481,234.292,97.253,4.723,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620191,9,0.352,217.522,190.556,238,86.424,4.074,DB,
mexicana,22620183,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620192,10,0.316,190.223,128.776,212.608,-24.775,3.666,DB,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812,1,1.052,214.563,194.667,230.333,-90,3.846,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246813,2,1.644,143.782,94.104,176.729,-155.556,6.196,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246814,3,1.315,183.7,155.333,218,-90,4.872,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246815,4,1.315,199.757,152.333,231,36.254,4.77,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246816,5,0.986,165.696,90.667,190.667,-135,3.626,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246817,6,2.038,177.567,75.578,196.444,-86.186,7.709,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246818,7,1.644,195.228,180.333,206.333,82.875,6.202,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246819,8,1.446,182.148,145.007,208,-140.906,5.286,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246820,9,1.512,167.481,112.138,194.612,158.199,5.523,SC,
mexicana,10246812,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246821,10,1.644,161.601,130.185,183.229,146.976,6.116,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,1,1.731,169.278,105,193.534,35.754,7.164,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,2,2.271,174.919,123.918,224.742,43.025,9.543,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,3,2.434,202.998,154.183,236.667,67.479,10.322,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,4,2.001,190.949,149.333,204,99.462,8.488,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,5,1.406,163.821,135.307,188.662,115.56,5.929,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,6,2.109,181.46,117.807,235.333,85.486,8.865,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,7,1.136,175.13,159.942,193.4,130.914,4.616,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,8,1.352,195.764,165,232.333,119.745,5.625,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,9,1.622,191.136,172.992,221,-165.964,6.712,SC,
mexicana,5465876,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,10,1.677,162.581,115.333,199.267,-156.038,6.871,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966,1,1.06,140.974,120.333,158.333,165.964,3.533,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666967,2,2.121,136.408,73.667,168.867,-78.69,7.281,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666968,3,1.631,126.54,85.626,210.667,-32.005,5.389,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666969,4,1.305,145.854,64,186,101.31,4.369,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666970,5,1.713,85.321,33.667,136,-95.711,5.74,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666971,6,1.794,148.343,82.667,224,-104.036,5.888,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666972,7,1.468,121.084,98.735,140.902,45,4.847,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666973,8,1.713,113.383,61.14,211.333,-57.095,5.783,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666974,9,1.631,106.803,61.667,128.186,55.491,5.545,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666975,10,1.631,88.807,17.489,170,108.435,5.419,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377,1,1.071,207.419,176.667,227.333,-103.241,4.26,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446378,2,1.309,179.777,138.667,205.333,115.346,5.128,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446379,3,0.892,189.017,153.333,219.333,36.027,3.317,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446380,4,1.368,197.044,160,211.667,-116.565,5.454,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446381,5,1.785,171.585,119.333,196.942,-12.095,6.984,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446382,6,0.833,184.102,149,195.673,138.013,3.281,SC,
