"specificEpithet","id","references"
"mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785"
"mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183"
"mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812"
"mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876"
"mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966"
"mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377"
"mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877129"
"mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863"
"mexicana",16920040,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920040"
"mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167"
"mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877072"
"mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025"
"mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436"
"mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188"
"mexicana",13573885,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573885"
"mexicana",10246811,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811"
"mexicana",22646915,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915"
"mexicana",5465867,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867"
"mexicana",3848982,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982"
"mexicana",19749858,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749858"
"mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186"
"mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877054"
"mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926"
"mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705"
"mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933"
"mexicana",13422268,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422268"
"mexicana",12911688,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911688"
"mexicana",12911678,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911678"
"mexicana",25160670,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160670"
"mexicana",21186197,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186197"
"americana",5113463,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5113463"
"americana",12500753,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12500753"
"americana",5267442,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5267442"
"americana",21268842,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268842"
"americana",24655965,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24655965"
"americana",19211342,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211342"
"americana",25253314,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25253314"
"americana",17027402,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17027402"
"americana",20393211,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393211"
"americana",5040021,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5040021"
"americana",24620562,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24620562"
"americana",5105722,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5105722"
"americana",5276880,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5276880"
"americana",19993322,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19993322"
"americana",11585314,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11585314"
"americana",5282433,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5282433"
"americana",4940252,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4940252"
"americana",22883929,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883929"
"americana",16658107,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658107"
"americana",5108118,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108118"
"americana",5011324,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011324"
"americana",4209112,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209112"
"americana",19211221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211221"
"americana",5041200,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041200"
"americana",24069613,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24069613"
"americana",20393209,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393209"
"americana",11583239,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583239"
"americana",9110242,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110242"
"americana",7444154,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444154"
"americana",4458084,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458084"
"angustifolia",11585664,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11585664"
