specificEpithet,id,references,fruit_type,obs_number,,,,,,fruit_diam_mm,who_done_it,note,certain
mexicana,22620205,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620205,fleshy,1,0.839,50.25,29,94.333,-70.56,9.488,SC,fleshy or dried?,U
mexicana,22620205,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620206,fleshy,2,0.869,63.834,48.152,86.578,43.919,9.864,SC,,U
mexicana,22620205,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620207,fleshy,3,0.777,61.174,29.554,159.333,81.384,8.783,SC,,U
mexicana,22620205,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620208,fleshy,4,0.885,37.357,16.684,216,86.987,10.014,SC,,U
mexicana,12877156,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156,fleshy,1,4.819,81.015,60.218,139.889,-111.14,19.613,SC,,
mexicana,16920052,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052,fleshy,1,3.188,46.711,36.123,67,101.535,12.502,SC,,
mexicana,16573966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966,fleshy,1,5.194,50.216,12.953,118.422,-79.695,20.067,SC,,
mexicana,12508923,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923,fleshy,1,4.268,86.83,38.462,195.667,10.008,17.05,SC,,
mexicana,26394342,https://midwestherbaria.org/portal/collections/individual/index.php?occid=26394342,dried,1,7.749,46.943,13.325,140.361,94.399,13.97,SC,,
mexicana,26394342,https://midwestherbaria.org/portal/collections/individual/index.php?occid=26394343,dried,2,6.888,33.454,10.494,162.333,-92.526,12.155,SC,,
mexicana,15369609,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609,pit,1,3.532,58.05,22.597,130.251,26.053,13.182,SC,,
mexicana,15369609,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369610,pit,2,3.324,53.875,23.333,97.675,160.017,12.321,SC,,
mexicana,15369609,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369611,fleshy,3,5.471,30.447,7.231,71.192,179.265,20.528,SC,,
mexicana,15369609,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369612,fleshy,4,6.371,42.111,15.137,144.611,42.316,23.844,SC,,
mexicana,12877031,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877031,dried,1,4.125,77.707,61.038,98.333,11.482,16.327,SC,,
mexicana,15436979,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15436979,dried,1,3.374,22.107,14.474,40,-116.565,11.18,SC,,
mexicana,5465865,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465865,fleshy,1,4.7,69.662,37.102,141.917,37.747,19.124,SC,,
mexicana,15369608,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608,dried,1,2.696,20.873,13.373,29.333,63.435,10.32,SC,,
mexicana,9176977,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176977,fleshy,1,4.086,49.39,26.818,210.972,15.945,15.327,SC,,
mexicana,5894905,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894905,dried,1,14.533,27.845,14.031,129.625,-80.194,24.177,SC,,
mexicana,16816167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816167,,,,,,,,,SC,partially obscured fruit,
mexicana,16491703,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491703,fleshy,1,3.685,97.699,45.431,154.306,76.691,15.169,SC,,
mexicana,16491703,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491704,fleshy,2,3.061,76.596,46.062,109.666,132.444,12.583,SC,,
mexicana,9176892,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176892,fleshy,1,3.09,39.106,25.252,94.487,-77.471,11.82,SC,,
mexicana,9176892,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176893,fleshy,2,3.55,40.469,18.667,91.414,-68.806,13.476,SC,,
mexicana,22679994,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679994,fleshy,1,0.862,54.803,37.024,126.78,-70.346,10.079,SC,or dried?,U
mexicana,22679994,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679995,fleshy,2,0.797,51.879,28.251,112.704,152.969,9.324,SC,,U
mexicana,22679994,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679996,fleshy,3,0.847,55.415,35.331,120.253,128.047,9.9,SC,,U
mexicana,22679994,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679997,fleshy,4,0.704,69.595,31.037,118.242,174.053,8.18,SC,,U
mexicana,22679994,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679998,fleshy,5,0.869,57.248,28.822,104,-89.045,10.171,SC,,U
mexicana,13626270,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270,fleshy,1,1.12,50.035,31.335,66.121,-84.806,13.103,SC,,
mexicana,13626270,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626271,fleshy,2,1.249,48.692,38.141,77.352,-43.122,14.627,SC,,
mexicana,12877017,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017,dried,1,2.948,80.547,43.995,148.37,104.859,12.07,SC,,
mexicana,12877017,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877018,dried,2,3.571,102.487,74.799,127.096,60.945,14.708,SC,,
mexicana,12876992,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876992,fleshy,1,3.51,66.085,53.278,135,50.572,14.209,SC,,
mexicana,5894930,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894930,fleshy,1,13.388,32.127,19.155,69.306,58.815,24.228,SC,,
mexicana,5894930,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894931,fleshy,2,12.496,45.431,7.595,129.028,50.548,22.605,SC,,
mexicana,5894930,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894932,fleshy,3,12.793,32.893,8.726,105.972,137.545,23.165,SC,,
mexicana,16919891,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16919891,,,,,,,,,SC,partially obscured fruit,
mexicana,22620189,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189,dried,1,0.855,38.827,22.136,196,178.059,10.006,SC,,
mexicana,22620189,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190,dried,2,0.589,40.252,24.317,68.957,-32.905,6.864,SC,,
mexicana,12508920,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508920,dried,1,4.974,74.359,45.203,99.308,61.557,20.045,SC,,
mexicana,12508920,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508921,dried,2,4.674,82.187,51.105,140.889,61.091,18.736,SC,,
mexicana,12508920,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922,dried,3,5.034,68.008,33.623,108.667,38.66,20.377,SC,,
mexicana,12508920,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923,dried,4,5.094,101.39,45.724,178,128.234,20.569,SC,,
mexicana,12508920,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508924,dried,5,5.154,54.661,35.012,182.667,-51.234,20.721,SC,,
mexicana,12508922,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922,fleshy,1,4.083,72.811,40.848,89.152,-48.077,16.257,SC,,
mexicana,12508922,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923,fleshy,2,4.083,85.978,47.079,140.076,-40.696,16.28,SC,,
mexicana,12508922,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508924,fleshy,3,3.656,70.98,48.111,111.519,45,14.663,SC,,
mexicana,12508922,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508925,fleshy,4,3.9,104.736,66.921,155.649,157.521,15.495,SC,,
mexicana,12508922,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508926,fleshy,5,4.022,66.964,31.62,202.974,33.69,16.021,SC,,
mexicana,11405926,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926,dried,1,4.665,113.616,48.114,164.492,150.866,17.901,SC,or fleshy?,U
mexicana,11405926,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405927,dried,2,4.731,112.272,61.45,175.333,133.854,18.129,SC,,U
mexicana,11535437,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437,dried,1,3.878,23.082,12.667,40.376,132.064,14.533,SC,,
mexicana,11535437,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535438,dried,2,4.363,24.682,14.197,118,71.274,16.394,SC,,
mexicana,11535437,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439,dried,3,4.086,16.839,7.497,169.222,-43.603,15.263,SC,,
mexicana,11535437,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440,dried,4,3.878,25.326,13.579,100.222,55.437,14.38,SC,,
mexicana,12877133,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133,fleshy,1,4.224,64.882,42.629,134.333,25.463,17.019,SC,,
mexicana,6344507,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507,fleshy,1,4.155,33.401,2,116.333,31.799,15.482,SC,,
mexicana,11406031,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031,fleshy,1,3.813,102.274,63.716,140.283,-22.543,14.714,SC,,
americana,7444158,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444158,dried,1,2.855,19.119,12.577,57.333,51.34,9.416,SC,,
americana,7444158,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444159,dried,2,3.114,15.824,7,36,103.241,10.273,SC,,
americana,7444158,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444160,dried,3,2.595,16.478,12.333,19.333,123.69,8.484,SC,,
americana,7444158,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444161,dried,4,2.422,18.976,10,31,90,7.941,SC,,
americana,14635065,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635065,fleshy,1,4.405,75.51,51.026,92.444,71.565,17.028,SC,,
americana,14635065,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635066,fleshy,2,4.339,73.535,43.667,88.475,112.62,16.667,SC,,
americana,24925381,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24925381,fleshy,1,6.72,44.652,14.562,58.324,50.87,12.89,SC,possibly a pit??,U
americana,5734176,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734176,fleshy,1,3.555,41.017,24.153,78.217,143.366,12.959,SC,,U
americana,5734176,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734177,fleshy,2,3.91,30.489,20.082,48.556,170.362,14.334,SC,,
americana,13793789,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793789,fleshy,1,7.54,83.74,44.321,166.674,100.46,31.475,SC,,
