"specificEpithet","id","references"
"mexicana",22620205,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620205"
"mexicana",12877156,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156"
"mexicana",16920052,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052"
"mexicana",16573966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966"
"mexicana",12508923,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923"
"mexicana",26394342,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=26394342"
"mexicana",15369609,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609"
"mexicana",12877031,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877031"
"mexicana",15436979,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15436979"
"mexicana",5465865,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465865"
"mexicana",15369608,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608"
"mexicana",9176977,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176977"
"mexicana",5894905,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894905"
"mexicana",16816167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816167"
"mexicana",16491703,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491703"
"mexicana",9176892,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176892"
"mexicana",22679994,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679994"
"mexicana",13626270,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270"
"mexicana",12877017,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017"
"mexicana",12876992,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876992"
"mexicana",5894930,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894930"
"mexicana",16919891,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16919891"
"mexicana",22620189,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189"
"mexicana",12508920,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508920"
"mexicana",12508922,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922"
"mexicana",11405926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926"
"mexicana",11535437,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437"
"mexicana",12877133,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133"
"mexicana",6344507,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507"
"mexicana",11406031,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031"
"americana",7444158,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444158"
"americana",14635065,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635065"
"americana",24925381,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24925381"
"americana",5734176,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734176"
"americana",13793789,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793789"
"americana",19700969,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19700969"
"americana",13273676,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273676"
"americana",24685186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24685186"
"americana",24451876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24451876"
"americana",22619968,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22619968"
"americana",16894813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894813"
"americana",13273682,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273682"
"americana",4991690,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991690"
"americana",5465774,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465774"
"americana",5803595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5803595"
"americana",5894074,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894074"
"americana",13273686,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273686"
