"","specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass","flowers","fruit","leaves","bbch.f","bbch.v","flagged","note","flagged_question","question_note","entered_by","imput_date.GPS","eventDate2","eventDate3","doy","doy.cent","bbch.v.scale","bbch.short"
"1","mexicana",13624214,"TEX",2008,3,2,"2008-03-02","Texas","lampasas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13624214",-98.24701438,31.19293169,"county_centroid","Y","N","N",65,0,"","","","","DB","","2008-3-2",2008-03-02,62,-42.2438057482656,1,1
"2","mexicana",16816169,"UA",1973,3,29,"1973-03-29","Alabama","Morgan","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816169",-86.85027,34.54611,"geo_referenced","Y","N","Y",65,17,"","","","","DB","","1973-3-29",1973-03-29,88,-16.2438057482656,5,3
"3","mexicana",16666966,"FSU",1980,4,15,"","Tennessee","maury","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966",-87.07726788,35.62972397,"county_centroid","Y","N","N",65,0,"","","","","DB","","1980-4-15",1980-04-15,106,1.75619425173439,1,1
"4","mexicana",16666961,"FSU",1969,4,22,"1969-04-22","Tennessee","sumner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666961",-86.45280165,36.47094427,"county_centroid","Y","N","Y",65,11,"","","","","DB","date","1969-4-22",1969-04-22,112,7.75619425173439,3,2
"5","mexicana",13497867,"TEX",1938,2,26,"1938-02-26","Texas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867",-96.4021888,30.21869973,"county_centroid","Y","N","N",65,0,"","","","","SC","","1938-2-26",1938-02-26,57,-47.2438057482656,1,1
"6","mexicana",5668028,"LSU",1971,2,28,"1971-02-28","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668028",-92.1593802,32.4833014,"county_centroid","Y","N","N",65,0,"","","Y","65?","SC","","1971-2-28",1971-02-28,59,-45.2438057482656,1,1
"7","mexicana",16920047,"NCU",1975,2,12,"1975-02-12","Louisiana","bossier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920047",-93.60464644,32.68136443,"county_centroid","Y","N","N",64,0,"","","","","SC","date","1975-2-12",1975-02-12,43,-61.2438057482656,1,1
"8","mexicana",22620186,"KANU",1969,5,8,"1969-05-08","Kansas","Brown","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186",-95.39625,39.92525,"geo_referenced","Y","N","N",65,0,"Y","two collection dates","","","SC","","1969-5-8",1969-05-08,128,23.7561942517344,1,1
"9","mexicana",3848982,"APSC",2001,4,14,"2001-04-14","Tennessee","giles","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982",-87.02670454,35.21051646,"county_centroid","Y","N","Y",65,17,"","","","","SC","","2001-4-14",2001-04-14,104,-0.243805748265615,5,3
"10","mexicana",12911152,"UARK",1978,4,2,"1978-04-02","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911152",-92.9415163,34.94234579,"county_centroid","Y","N","N",67,0,"","","","","SC","date","1978-4-2",1978-04-02,92,-12.2438057482656,1,1
"11","mexicana",13504676,"TEX",1996,4,7,"1996-04-07","Texas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13504676",-95.51374149,30.31793805,"county_centroid","Y","N","N",65,0,"","","","","SC","","1996-4-7",1996-04-07,98,-6.24380574826561,1,1
"12","mexicana",25876705,"TAC",2003,3,9,"2003-03-09","Texas","eastland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705",-98.82767183,32.32892145,"county_centroid","Y","N","N",65,0,"","","","","SC","","2003-3-9",2003-03-09,68,-36.2438057482656,1,1
"13","mexicana",16920063,"NCU",1959,3,21,"1959-03-21","Louisiana","union","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920063",-92.38028188,32.83355378,"county_centroid","Y","N","Y",65,11,"","","","","SC","date","1959-3-21",1959-03-21,80,-24.2438057482656,3,2
"14","mexicana",21186193,"ANHC",2002,4,5,"2002-04-05","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186193",-93.65831855,34.54772903,"county_centroid","Y","N","N",62,0,"","","","","SC","","2002-4-5",2002-04-05,95,-9.24380574826561,1,1
"15","mexicana",22646915,"KANU",1995,4,13,"1995-04-13","Kansas","Leavenworth","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915",-94.933664,39.368204,"geo_referenced","Y","N","Y",65,15,"","","","","SC","","1995-4-13",1995-04-13,103,-1.24380574826561,4,2
"16","mexicana",12911691,"UARK",1983,4,11,"1983-04-11","Arkansas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911691",-94.22168881,35.97609413,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1983-4-11",1983-04-11,101,-3.24380574826561,4,2
"17","mexicana",5465891,"EKY",1980,4,10,"1980-04-10","Kentucky","caldwell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465891",-87.86305395,37.14229907,"county_centroid","Y","N","Y",64,11,"","","","","SC","","1980-4-10",1980-04-10,101,-3.24380574826561,3,2
"18","mexicana",16572947,"VDB",2012,4,12,"2012-04-12","Kansas","bourbon","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16572947",-94.85958888,37.854871,"county_centroid","Y","N","N",65,0,"","","","","SC","date","2012-4-12",2012-04-12,103,-1.24380574826561,1,1
"19","mexicana",12877064,"UARK",1983,3,26,"1983-03-26","Arkansas","crawford","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877064",-94.25175754,35.5843972,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1983-3-26",1983-03-26,85,-19.2438057482656,1,1
"20","mexicana",19212167,"UCHT",2002,3,19,"2002-03-19","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167",-93.88843278,32.59124739,"county_centroid","Y","N","Y",65,10,"","","","","SC","date","2002-3-19",2002-03-19,78,-26.2438057482656,3,2
"21","mexicana",22620183,"KANU",1965,4,17,"1965-04-17","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183",-95.24192,38.30957,"geo_referenced","Y","N","Y",65,11,"","","","","SC","","1965-4-17",1965-04-17,107,2.75619425173439,3,2
"22","mexicana",12509353,"WCUH",1971,2,28,"1971-02-28","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353",-92.1593802,32.4833014,"county_centroid","Y","N","N",63,0,"","","","","SC","date","1971-2-28",1971-02-28,59,-45.2438057482656,1,1
"23","mexicana",5465876,"EKY",2003,4,15,"2003-04-15","Kentucky","owen","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",-84.82059771,38.5073583,"county_centroid","Y","N","Y",65,15,"Y","two collection dates","","","SC","","2003-4-15",2003-04-15,105,0.756194251734385,4,2
"24","mexicana",22620195,"KANU",1969,4,21,"1969-04-21","Kansas","Wilson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195",-95.73477,37.41832,"geo_referenced","Y","N","Y",67,17,"","","","","SC","","1969-4-21",1969-04-21,111,6.75619425173439,5,3
"25","mexicana",13497872,"TEX",1940,3,7,"1940-03-07","Texas","harris","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872",-95.401057,29.87217015,"county_centroid","Y","N","N",67,0,"Y","two collection dates","","","SC","","1940-3-7",1940-03-07,67,-37.2438057482656,1,1
"26","mexicana",21268918,"UAM",1993,3,29,"1993-03-29","Arkansas","faulkner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268918",-92.33094352,35.14224253,"county_centroid","Y","N","N",65,0,"","","","","SC","","1993-3-29",1993-03-29,88,-16.2438057482656,1,1
