"","species","petal_low","petal_high","color","color_2","inflor_low","inflor_high","pedicel_low","pedicel_high","inflor_type","midrib_low","midrib_high","fruit_low","fruit_high","FLS","FLORA","chin_class","meanpdsi","sdmean","minpdsi","sdmin","FLSnum","meanpdsi.z","minpdsi.z","petal.z","inflor.z","fruit.z","logFLS"
"1","americana",7,12,"white","",2,5,4,20,"umbellate_fasicle",NA,NA,15,30,"before/with","FNA","solitary",-0.160191513729942,0.231068442535945,-5.85424745155396,1.2304245894226,2,-0.314288282791211,0.666882459567642,0.60323216930603,-0.353806884978599,0.530039770151534,0.693147180559945
"2","andersonii",5,11,"white","dark_pink",1,2,1,12,"fasicle",NA,NA,10,18,"with","FNA","solitary",-0.223257613869814,0.0715151870982536,-6.83743588129679,1.16161712271611,3,-0.709569213142249,-0.720773158749621,0.398272976646066,-0.485363247843882,-0.281151530254292,1.09861228866811
"3","angustifolia",3,6,"white","",2,4,3,10,"umbellate_fasicle",NA,NA,15,20,"before/with","FNA","solitary",-0.311393018541646,0.229665779138201,-5.53397102678261,1.04384300655935,2,-1.26197763348663,1.11891522033232,-0.626522986653753,-0.397659005933693,-0.145952980186654,0.693147180559945
"4","armeniaca",8,12,"white","pink",1,1,1,3,"solitary",NA,NA,25,60,"before","FNA","solitary",-0.0519130425907919,0.228780987455315,-7.33564506423089,1.58740272326214,1,0.364371325365087,-1.42393722260723,0.60323216930603,-0.529215368798976,2.5580180211661,0
"5","avium",12,15,"white","",1,3,14,52,"umbellate_fasicle",NA,NA,13,60,"with","FNA","corymbose",-0.0190841327912024,0.145083351091805,-6.42461229934844,1.40486622881079,3,0.570133882098605,-0.138120896441846,1.21810974728592,-0.441511126888787,2.5580180211661,1.09861228866811
"6","caroliniana",1,1.5,"white","",12,30,1,4,"raceme",13,43,9,12,"before","FNA","racemose",-0.397435154658494,0.178006750545181,-5.49170080389156,0.734467848661903,1,-1.80126602357619,1.17857470218529,-1.54883935362359,0.742496138898751,-0.686747180457205,0
"7","cerasifera",7,14,"white","red-pink",1,2,4,18,"fasicle",NA,NA,15,30,"before","FNA","solitary",-0.168629960298428,0.209449069620699,-6.0852688230494,1.58168639885698,1,-0.367178139670119,0.340822780253823,1.01315055462596,-0.485363247843882,0.530039770151534,0
"8","cerasus",10,14,"white","",1,4,8,37,"umbellate_fasicle",NA,NA,13,20,"with","FNA","corymbose",-0.0791562982901399,0.177926563639384,-6.14476187550832,1.47045683492016,3,0.19361810874402,0.256855286335023,1.01315055462596,-0.397659005933693,-0.145952980186654,1.09861228866811
"9","domestica",7,14,"white","",1,2,2,20,"fasicle",NA,NA,15,35,"before/with","FNA","solitary",-0.093398220787224,0.234949473750694,-6.63839285288538,1.52259435473531,2,0.104353664579101,-0.43984717517776,1.01315055462596,-0.485363247843882,0.868036145320628,0.693147180559945
"10","dulcis",12,25,"white","pink",1,2,1,5,"fasicle",NA,NA,20,40,"before","FNA","solitary",-0.11726415483281,0.152589850500099,-7.51874995231628,0.91333672410332,1,-0.0452314309367645,-1.68236838290833,3.26770167388556,-0.485363247843882,1.20603252048972,0
"11","emarginata",3,8,"white","",3,12,3,18,"raceme/corymb",5,30,7,14,"with","FNA","corymbose",-0.0430422337564498,0.171594931229428,-6.12665367312005,1.32705076462046,3,0.419971109737803,0.282412898712837,-0.216604601333825,-0.0468420382929413,-0.551548630389567,1.09861228866811
"12","eremophila",2.5,6,"white","",1,2,0,3,"fasicle",NA,NA,9,16,"with","FNA","solitary",0.0577502474188805,NA,-8.56999969482422,NA,3,1.05171059645113,-3.16608459367301,-0.626522986653753,-0.485363247843882,-0.41635008032193,1.09861228866811
"13","fasciculata",1.4,4,"whte","yellow",1,2,0,4,"fasicle",NA,NA,7,15,"with","FNA","solitary",-0.0417709713374885,0.0948042246179971,-7.02569995721181,1.25609650348514,3,0.427939032133081,-0.986485910006383,-1.03644137197368,-0.485363247843882,-0.483949355355748,1.09861228866811
"14","fremontii",2,10,"white","pink",1,3,2,12,"umbellate_fasicle",NA,NA,8,15,"with","FNA","solitary",0.0970327902342314,0.0153988919401328,-6.57413036926933,0.563601852989923,3,1.29792274586529,-0.349148186317443,0.193313783986102,-0.441511126888787,-0.483949355355748,1.09861228866811
"15","geniculata",2,2,"white","",1,1,0,3,"solitary",NA,NA,12,25,"before","FNA","solitary",-0.478942119631885,0.0785730993371044,-5.54809908433394,0.356728915656736,1,-2.31212921114156,1.09897511745484,-1.44635975729361,-0.529215368798976,0.19204339498244,0
