"","species","meanP","meanT"
"1","alleghaniensis",8.83441114425659,10.4326848550276
"2","americana",8.11582950792815,11.3334002695586
"3","angustifolia",10.0308927622708,16.6396131267795
"4","gracilis",7.76508239016813,17.6877450606402
"5","hortulana",9.00918219674308,13.1126984785188
"6","maritima",9.4992196389607,11.9078063453947
"7","mexicana",9.50440306216478,16.1440777331591
"8","munsoniana",9.72102268740662,14.4434666022276
"9","nigra",7.27373099327087,7.72818398879746
"10","rivularis",5.73209453488255,17.5153648273365
"11","subcordata",5.89107389003038,11.3654174804688
"12","texana",5.9912802956321,21.4306945800781
"13","umbellata",10.9937115406645,18.6570478522259
