"","quant","specificEpithet","doy","species","Estimate","Est.Error","Q2.5","Q25","Q75","Q97.5"
"1","0%","alleghaniensis",105,"alleghaniensis",0.399464823811102,0.118781140676217,0.178121592872061,0.316654916506112,0.477187252269545,0.640788135097839
"2","25%","alleghaniensis",115,"alleghaniensis",0.336715721596162,0.103079087424203,0.151095522979437,0.26221197433987,0.402679690258955,0.552623991053646
"3","50%","alleghaniensis",130,"alleghaniensis",0.254226842798953,0.0914641434109906,0.100429290337687,0.191832658814598,0.309547237531141,0.459739079432375
"4","75%","alleghaniensis",133,"alleghaniensis",0.239901490399212,0.0906687696266865,0.090525782131066,0.175846036945169,0.293899043231959,0.446785441901042
"5","100%","alleghaniensis",150,"alleghaniensis",0.172878591694684,0.0905418410736501,0.0443008583052306,0.107400010086311,0.219751666261866,0.398970008995713
"6","0%","americana",66,"americana",0.706369687585775,0.109024709438956,0.479728827436272,0.632978855714615,0.787442826940046,0.896407698021232
"7","25%","americana",106,"americana",0.368270580371724,0.0574007228419457,0.2605709301297,0.327968047659098,0.406200149619491,0.483125465127819
"8","50%","americana",122,"americana",0.244429631846362,0.0451891471481188,0.163102457605792,0.211982171330515,0.275116353749737,0.337509995630239
"9","75%","americana",129,"americana",0.200777362553204,0.0444231112909218,0.121204395839059,0.168715472912236,0.230241831721514,0.292077367488822
"10","100%","americana",229,"americana",0.0111996536517217,0.0143420700804807,0.000363326550555529,0.00272139028192945,0.0141476905967969,0.0506690857311165
"11","0%","angustifolia",33,"angustifolia",0.883173875390377,0.0567734961986326,0.750664036922285,0.850393271438273,0.924991673414989,0.967715633246342
"12","25%","angustifolia",70,"angustifolia",0.701818537884331,0.0588328618335241,0.584364134211901,0.662523815354447,0.742107904424284,0.812581601810461
"13","50%","angustifolia",84,"angustifolia",0.595335537080193,0.0564697374166793,0.484335026191495,0.556964296194526,0.63437076844686,0.702840645413085
"14","75%","angustifolia",96,"angustifolia",0.494858471381536,0.0624079664251189,0.371062045641389,0.454139731045489,0.537343804930063,0.612928704457217
"15","100%","angustifolia",167,"angustifolia",0.0985516099731854,0.0691488122908047,0.0136981762778538,0.0484171613012873,0.131038603157186,0.27746631192924
"16","0%","gracilis",65,"gracilis",0.608330141437856,0.082542060251287,0.444002287582913,0.553240498791872,0.664863678074887,0.770721665023343
"17","25%","gracilis",80.5,"gracilis",0.483610504350412,0.0594871474795954,0.370243514478344,0.442426499608178,0.524182399277866,0.600499002310872
"18","50%","gracilis",91,"gracilis",0.397791370888106,0.0515276026035066,0.298166881841176,0.361637659941584,0.433099665557722,0.500729106492348
"19","75%","gracilis",99,"gracilis",0.33652723906371,0.0534082949636936,0.232769027363415,0.299701219255003,0.372037973810212,0.442787919550319
