"","specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass","flowers","fruit","leaves","bbch.f","bbch.v","flagged","note","flagged_question","question_note","entered_by","imput_date.GPS","pdsi","pdsi.sd","pdsi.min","eventDate2","eventDate3","doy"
"1","mexicana",10246796,"APCR",1972,5,13,"1972-05-13","Arkansas","conway","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246796",-92.69835872,35.25373435,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.545109272003174,1.73238277435303,-5.98999977111816,"1972-5-13",1972-05-13,134
"2","mexicana",16920052,"NCU",1979,6,3,"1979-06-03","Louisiana","claiborne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052",-92.99514158,32.82545749,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.364045053720474,1.65973091125488,-4.90000009536743,"1979-6-3",1979-06-03,154
"3","mexicana",12877156,"UARK",2006,8,11,"2006-08-11","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156",-93.65831855,34.54772903,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.551703095436096,1.88089954853058,-5.21000003814697,"2006-8-11",2006-08-11,223
"4","mexicana",22723098,"KANU",2014,7,27,"2014-07-27","Kansas","Douglas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22723098",-95.15432,38.8025,"geo_referenced","N","Y","Y",89,19,"","","","","SC","",-0.242841526865959,1.91329097747803,-6.6399998664856,"2014-7-27",2014-07-27,208
"5","mexicana",12877065,"UARK",2003,7,22,"2003-07-22","Arkansas","cross","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877065",-90.77551081,35.28915734,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.416429877281189,1.7233327627182,-5.57999992370605,"2003-7-22",2003-07-22,203
"6","mexicana",15369609,"NCU",1937,8,30,"1937-08-30","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609",-79.1273705,36.05478028,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.285765260457993,1.5121591091156,-4.51000022888184,"1937-8-30",1937-08-30,242
"7","mexicana",16573966,"VDB",1997,7,1,"1997-07-01","Arkansas","sevier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966",-94.25270738,34.00088746,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.387522041797638,1.6444319486618,-4.5,"1997-7-1",1997-07-01,182
"8","mexicana",12877017,"UARK",1929,5,24,"1929-05-24","Arkansas","benton","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017",-94.26402599,36.34167755,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.494371592998505,1.79110813140869,-6.48000001907349,"1929-5-24",1929-05-24,144
"9","mexicana",12877089,"UARK",1925,4,21,"1925-04-21","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877089",-93.14444412,34.57644159,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.537577390670776,1.79575514793396,-5.34999990463257,"1925-4-21",1925-04-21,111
"10","mexicana",13626270,"TEX",2004,4,19,"2004-04-19","TEXAS","Bell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270",-97.558333,31.182778,"geo_referenced","N","Y","Y",89,19,"","","","","SC","",0.0906660109758377,1.97826457023621,-5.76000022888184,"2004-4-19",2004-04-19,110
"11","mexicana",9176992,"LSU",1975,6,13,"1975-06-13","Louisiana","red river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176992",-93.33878346,32.0992281,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.227659150958061,1.54964113235474,-5.76000022888184,"1975-6-13",1975-06-13,164
"12","mexicana",12508922,"DUKE",1998,7,20,"1998-07-20","Mississippi","amite","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922",-90.80948266,31.17633764,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.498829305171967,1.58511757850647,-4.69000005722046,"1998-7-20",1998-07-20,201
"13","mexicana",11406031,"UCAC",2002,8,7,"2002-08-07","Arkansas","yell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031",-93.41370271,35.00455982,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.547222197055817,1.77077865600586,-5.46999979019165,"2002-8-7",2002-08-07,219
"14","mexicana",11405926,"UCAC",2002,8,9,"2002-08-09","Arkansas","yell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926",-93.41370271,35.00455982,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.547222197055817,1.77077865600586,-5.46999979019165,"2002-8-9",2002-08-09,221
"15","mexicana",5465862,"EKY",1988,8,24,"1988-08-24","Kentucky","estill","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465862",-83.96132227,37.69163301,"county_centroid","N","Y","Y",89,19,"","","","","SC","",0.101427711546421,1.36001420021057,-6.19999980926514,"1988-8-24",1988-08-24,237
"16","mexicana",16080187,"FLAS",2010,6,4,"2010-06-04","Georgia","peach","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080187",-83.83366018,32.57429119,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.401839077472687,1.53792035579681,-6.40000009536743,"2010-6-4",2010-06-04,155
"17","mexicana",15369608,"NCU",1937,5,19,"1937-05-19","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608",-79.1273705,36.05478028,"county_centroid","N","Y","Y",89,19,"","","","","SC","",-0.285765260457993,1.5121591091156,-4.51000022888184,"1937-5-19",1937-05-19,139
"18","mexicana",6344507,"MMNS",1984,6,28,"1984-06-28","Mississippi","Winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507",-89.05,33.0463,"geo_referenced","N","Y","Y",89,19,"","","","","SC","",-0.514968752861023,1.39491701126099,-4.8600001335144,"1984-6-28",1984-06-28,180
"19","mexicana",12508923,"DUKE",1969,6,19,"1969-06-19","Mississippi","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923",-89.53954909,32.41092604,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.57622879743576,1.572110414505,-5.55999994277954,"1969-6-19",1969-06-19,170
