"","specificEpithet","id","references","fruit_type","obs_number","fruit_diam_mm","who_done_it","note","certain"
"1","mexicana",22620205,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620205","fleshy",1,9.488,"SC","fleshy or dried?","U"
"2","mexicana",22620205,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620206","fleshy",2,9.864,"SC","","U"
"3","mexicana",22620205,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620207","fleshy",3,8.783,"SC","","U"
"4","mexicana",22620205,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620208","fleshy",4,10.014,"SC","","U"
"5","mexicana",12877156,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156","fleshy",1,19.613,"SC","",""
"6","mexicana",16920052,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052","fleshy",1,12.502,"SC","",""
"7","mexicana",16573966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966","fleshy",1,20.067,"SC","",""
"8","mexicana",12508923,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923","fleshy",1,17.05,"SC","",""
"9","mexicana",26394342,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=26394342","dried",1,13.97,"SC","",""
"10","mexicana",26394342,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=26394343","dried",2,12.155,"SC","",""
"11","mexicana",15369609,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609","pit",1,13.182,"SC","",""
"12","mexicana",15369609,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369610","pit",2,12.321,"SC","",""
"13","mexicana",15369609,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369611","fleshy",3,20.528,"SC","",""
"14","mexicana",15369609,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369612","fleshy",4,23.844,"SC","",""
"15","mexicana",12877031,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877031","dried",1,16.327,"SC","",""
"16","mexicana",15436979,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15436979","dried",1,11.18,"SC","",""
"17","mexicana",5465865,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465865","fleshy",1,19.124,"SC","",""
"18","mexicana",15369608,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608","dried",1,10.32,"SC","",""
"19","mexicana",9176977,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176977","fleshy",1,15.327,"SC","",""
"20","mexicana",5894905,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894905","dried",1,24.177,"SC","",""
"21","mexicana",16816167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816167","",NA,NA,"SC","partially obscured fruit",""
"22","mexicana",16491703,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491703","fleshy",1,15.169,"SC","",""
"23","mexicana",16491703,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491704","fleshy",2,12.583,"SC","",""
"24","mexicana",9176892,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176892","fleshy",1,11.82,"SC","",""
"25","mexicana",9176892,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176893","fleshy",2,13.476,"SC","",""
"26","mexicana",22679994,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679994","fleshy",1,10.079,"SC","or dried?","U"
"27","mexicana",22679994,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22679995","fleshy",2,9.324,"SC","","U"
