"","X","specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass","flowers","fruit","leaves","bbch.f","bbch.v","flagged","note","flagged_question","question_note","entered_by","imput_date.GPS","pdsi","pdsi.sd","pdsi.min","spiyear.min","spispring.min","spisummer.min","spiyear.mean","spispring.mean","spisummer.mean"
"1",1,"mexicana",13624214,"TEX",2008,3,2,"2008-03-02","Texas","lampasas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13624214",-98.24701438,31.19293169,"county_centroid","Y","N","N",65,0,"","","","","DB","",0.244491514907676,2.16927323013126,-5.44000005722046,-2.85093641281128,-2.57130169868469,-2.85093641281128,0.000200988914002664,-0.000134185975184664,-0.000134185975184664
"2",2,"mexicana",12877039,"UARK",1958,5,25,"1958-05-25","Arkansas","craighead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877039",-90.6430341,35.82915721,"county_centroid","N","N","Y",NA,NA,"","","","","DB","",0.0801694972945725,1.79336096338825,-4.82999992370605,-2.47344970703125,-2.17729496955872,-2.47344970703125,-0.000135800961288624,-0.000153970628161915,-0.000153970628161915
"3",3,"mexicana",12911685,"UARK",2008,12,11,"2008-12-11","Arkansas","sebastian","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911685",-94.28039312,35.2038252,"county_centroid","N","N","Y",NA,NA,"","","","","DB","date",0.157711860455446,1.96495682958066,-3.91000008583069,-2.6824324131012,-2.51543378829956,-2.6824324131012,0.000150603300426155,0.000122900048154406,0.000122900048154406
"4",4,"mexicana",16816169,"UA",1973,3,29,"1973-03-29","Alabama","Morgan","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816169",-86.85027,34.54611,"geo_referenced","Y","N","Y",65,17,"","","","","DB","",0.156016954236617,1.69043621377617,-4.44999980926514,-3.66707539558411,-3.66707539558411,-3.60939717292786,0.000280559848761186,0.000228839897317812,0.000228839897317812
"5",5,"mexicana",12595677,"EKY",1980,6,14,"1980-06-14","Kentucky","franklin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12595677",-84.8770812,38.22962421,"county_centroid","N","N","Y",NA,NA,"","","","","DB","",0.307203392845468,1.7170576540139,-5.40000009536743,-3.52294111251831,-3.30079698562622,-3.52294111251831,1.07834011942032e-05,-6.95182552590268e-06,-6.95182552590268e-06
"6",6,"mexicana",5465886,"EKY",1992,8,8,"1992-08-08","Alabama","jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465886",-85.99775089,34.77683646,"county_centroid","N","N","Y",NA,NA,"","","","","DB","",0.100254235931246,1.71153275066702,-3.95000004768372,-2.89903426170349,-2.89903426170349,-2.82841014862061,0.000172517728060484,0.000120649106975179,0.000120649106975179
"7",7,"mexicana",16666966,"FSU",NA,NA,NA,"","Tennessee","maury","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966",-87.07726788,35.62972397,"county_centroid","Y","N","N",65,0,"","","","","DB","",0.137542378409939,1.72128551635289,-3.66000008583069,-2.40070605278015,-2.32940578460693,-2.40070605278015,-5.16663603775669e-05,-1.81827272172086e-05,-1.81827272172086e-05
"8",8,"mexicana",16666961,"FSU",1969,4,22,"1969-04-22","Tennessee","sumner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666961",-86.45280165,36.47094427,"county_centroid","Y","N","Y",65,11,"","","","","DB","date",0.174830506650447,1.67810929727826,-4.09999990463257,-2.39461088180542,-2.20544838905334,-2.39461088180542,-0.000101261910458561,-4.64323347841855e-05,-4.64323347841855e-05
"9",9,"mexicana",11321337,"SELU",1964,3,11,"1964-03-11","Louisiana","tangipahoa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11321337",-90.41384802,30.65334726,"county_centroid","N","N","Y",NA,NA,"","","Y","fruit on one branch?","SC","",-0.112457622805516,1.88056953563897,-4.8600001335144,-2.85727524757385,-2.55926775932312,-2.85727524757385,5.86415226280224e-05,-3.94220078305807e-05,-3.94220078305807e-05
"10",10,"mexicana",13497867,"TEX",1938,2,26,"1938-02-26","Texas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867",-96.4021888,30.21869973,"county_centroid","Y","N","N",65,0,"","","","","SC","",0.295508468649903,1.96210490779102,-4.69000005722046,-2.88545942306519,-2.66368126869202,-2.88545942306519,0.000503097428008914,0.000262504676356912,0.000262504676356912
