"","specificEpithet","id","references","obs_number","pental_lengh_mm","who_done_it","note"
"1","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785",1,4.985,"DB",""
"2","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246786",2,6.481,"DB",""
"3","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246787",3,3.382,"DB",""
"4","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788",4,4.358,"DB",""
"5","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246789",5,4.29,"DB",""
"6","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246790",6,5.488,"DB",""
"7","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246791",7,4.4,"DB",""
"8","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246792",8,5.332,"DB",""
"9","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246793",9,3.906,"DB",""
"10","mexicana",10246785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246794",10,4.321,"DB",""
"11","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183",1,5.359,"DB",""
"12","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620184",2,5.476,"DB",""
"13","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620185",3,4.258,"DB",""
"14","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186",4,5.363,"DB",""
"15","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620187",5,5.411,"DB",""
"16","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188",6,6.048,"DB",""
"17","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189",7,7.636,"DB",""
"18","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190",8,4.723,"DB",""
"19","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620191",9,4.074,"DB",""
"20","mexicana",22620183,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620192",10,3.666,"DB",""
"21","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812",1,3.846,"SC",""
"22","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246813",2,6.196,"SC",""
"23","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246814",3,4.872,"SC",""
"24","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246815",4,4.77,"SC",""
"25","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246816",5,3.626,"SC",""
"26","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246817",6,7.709,"SC",""
"27","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246818",7,6.202,"SC",""
"28","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246819",8,5.286,"SC",""
"29","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246820",9,5.523,"SC",""
"30","mexicana",10246812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246821",10,6.116,"SC",""
"31","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",1,7.164,"SC",""
"32","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",2,9.543,"SC",""
"33","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",3,10.322,"SC",""
"34","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",4,8.488,"SC",""
"35","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",5,5.929,"SC",""
"36","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",6,8.865,"SC",""
"37","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",7,4.616,"SC",""
"38","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",8,5.625,"SC",""
"39","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",9,6.712,"SC",""
"40","mexicana",5465876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",10,6.871,"SC",""
"41","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966",1,3.533,"SC",""
"42","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666967",2,7.281,"SC",""
"43","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666968",3,5.389,"SC",""
"44","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666969",4,4.369,"SC",""
"45","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666970",5,5.74,"SC",""
"46","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666971",6,5.888,"SC",""
"47","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666972",7,4.847,"SC",""
"48","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666973",8,5.783,"SC",""
"49","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666974",9,5.545,"SC",""
"50","mexicana",16666966,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666975",10,5.419,"SC",""
"51","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377",1,4.26,"SC",""
"52","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446378",2,5.128,"SC",""
"53","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446379",3,3.317,"SC",""
"54","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446380",4,5.454,"SC",""
"55","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446381",5,6.984,"SC",""
"56","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446382",6,3.281,"SC",""
"57","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446383",7,4.21,"SC",""
"58","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446384",8,4.634,"SC",""
"59","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446385",9,4.86,"SC",""
"60","mexicana",19446377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446386",10,4.089,"SC",""
"61","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877129",1,5.093,"SC",""
"62","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877130",2,3.715,"SC",""
"63","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877131",3,5.715,"SC",""
"64","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877132",4,4.397,"SC",""
"65","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133",5,6.17,"SC",""
"66","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877134",6,5.022,"SC",""
"67","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877135",7,4.66,"SC",""
"68","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877136",8,5.371,"SC",""
"69","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877137",9,4.685,"SC",""
"70","mexicana",12877129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877138",10,4.139,"SC",""
"71","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863",1,3.278,"SC",""
"72","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497864",2,5.232,"SC",""
"73","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497865",3,5.349,"SC",""
"74","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497866",4,4.413,"SC",""
"75","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867",5,3.157,"SC",""
"76","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497868",6,5.455,"SC",""
"77","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497869",7,4.545,"SC",""
"78","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497870",8,6.818,"SC",""
"79","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497871",9,5.927,"SC",""
"80","mexicana",13497863,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872",10,4.246,"SC",""
"81","mexicana",16920040,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920040",1,3.421,"SC","not enough to measure 10"
"82","mexicana",16920040,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920041",2,5.11,"SC",""
"83","mexicana",16920040,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920042",3,4.026,"SC",""
"84","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167",1,5.099,"SC",""
"85","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212168",2,5.483,"SC",""
"86","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212169",3,3.889,"SC",""
"87","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212170",4,7.387,"SC",""
"88","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212171",5,6.865,"SC",""
"89","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212172",6,4.279,"SC",""
"90","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212173",7,5.534,"SC",""
"91","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212174",8,6.052,"SC",""
"92","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212175",9,4.25,"SC",""
"93","mexicana",19212167,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212176",10,5.852,"SC",""
"94","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877072",1,4.036,"SC",""
"95","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877073",2,3.932,"SC",""
"96","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877074",3,3.016,"SC",""
"97","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877075",4,3.179,"SC",""
"98","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877076",5,3.939,"SC",""
"99","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877077",6,6.4,"SC",""
"100","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877078",7,5.386,"SC",""
"101","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877079",8,5.872,"SC",""
"102","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877080",9,5.348,"SC",""
"103","mexicana",12877072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877081",10,4.626,"SC",""
"104","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025",1,4.26,"SC",""
"105","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877026",2,4.736,"SC",""
"106","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877027",3,5.567,"SC",""
"107","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877028",4,5.854,"SC",""
"108","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877029",5,4.878,"SC",""
"109","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877030",6,5.276,"SC",""
"110","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877031",7,4.685,"SC",""
"111","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877032",8,5.349,"SC",""
"112","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877033",9,6.829,"SC",""
"113","mexicana",12877025,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877034",10,4.139,"SC",""
"114","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436",1,3.239,"SC",""
"115","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437",2,5.556,"SC",""
"116","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535438",3,4.581,"SC",""
"117","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439",4,6.211,"SC",""
"118","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440",5,5.8,"SC",""
"119","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535441",6,4.231,"SC",""
"120","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535442",7,4.747,"SC",""
"121","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535443",8,4.714,"SC",""
"122","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535444",9,6.136,"SC",""
"123","mexicana",11535436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535445",10,5.122,"SC",""
"124","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188",1,4.041,"SC",""
"125","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189",2,3.517,"SC",""
"126","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190",3,2.879,"SC",""
"127","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620191",4,4.072,"SC",""
"128","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620192",5,2.945,"SC",""
"129","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620193",6,3.214,"SC",""
"130","mexicana",22620188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620194",7,2.6,"SC",""
