specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,fruit,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,imput_date/GPS
mexicana,13624214,TEX,2008,3,2,2008-03-02,Texas,lampasas,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13624214,-98.24701438,31.19293169,county_centroid,Y,N,N,65,0,,,,,DB,
mexicana,12877039,UARK,1958,5,25,1958-05-25,Arkansas,craighead,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877039,-90.6430341,35.82915721,county_centroid,N,N,Y,,,,,,,DB,
mexicana,12911685,UARK,2008,12,11,2008-12-11,Arkansas,sebastian,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911685,-94.28039312,35.2038252,county_centroid,N,N,Y,,,,,,,DB,date
mexicana,16816169,UA,1973,3,29,1973-03-29,Alabama,Morgan,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816169,-86.85027,34.54611,geo_referenced,Y,N,Y,65,17,,,,,DB,
mexicana,12595677,EKY,1980,6,14,1980-06-14,Kentucky,franklin,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12595677,-84.8770812,38.22962421,county_centroid,N,N,Y,,,,,,,DB,
mexicana,5465886,EKY,1992,8,8,1992-08-08,Alabama,jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465886,-85.99775089,34.77683646,county_centroid,N,N,Y,,,,,,,DB,
mexicana,16666966,FSU,NA,NA,NA,,Tennessee,maury,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966,-87.07726788,35.62972397,county_centroid,Y,N,N,65,0,,,,,DB,
mexicana,16666961,FSU,1969,4,22,1969-04-22,Tennessee,sumner,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666961,-86.45280165,36.47094427,county_centroid,Y,N,Y,65,11,,,,,DB,date
mexicana,11321337,SELU,1964,3,11,1964-03-11,Louisiana,tangipahoa,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11321337,-90.41384802,30.65334726,county_centroid,N,N,Y,,,,,Y,fruit on one branch?,SC,
mexicana,13497867,TEX,1938,2,26,1938-02-26,Texas,washington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867,-96.4021888,30.21869973,county_centroid,Y,N,N,65,0,,,,,SC,
