specificEpithet,references,catalogNumber,flowers,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,question_addressed
umbellata,http://data.huh.harvard.edu/2b3c8a19-64ee-44fc-a6e6-b98bb32a6afc/image,barcode-01724908,Y,Y,65,11,,,,,DB,
umbellata,http://data.huh.harvard.edu/b07cda28-54a0-4b4b-8943-6741b8172035/image,barcode-01725017,Y,Y,67,17,,,,,DB,
umbellata,http://data.huh.harvard.edu/416b0547-cb03-498a-ad59-602a0d8cb519/image,barcode-01724914,N,Y,,,,,,,DB,
umbellata,http://data.huh.harvard.edu/bd11fb2b-fe80-4d8d-81d3-c364d2a0ffa5/image,barcode-01724876,Y,N,65,0,,,,,SC,
umbellata,http://data.huh.harvard.edu/814c928b-bce4-441c-bda0-e38671f0ec76/image,barcode-01724939,N,Y,,,,,,,SC,
umbellata,http://data.huh.harvard.edu/b833835c-8a0d-45c3-8ef8-e1d99271da2d/image,barcode-01724949,N,Y,,,,,,,SC,
umbellata,http://data.huh.harvard.edu/3c85ddb4-a531-4551-a823-a21bf48a1c35/image,barcode-01724940,N,Y,,,,,,,SC,
umbellata,http://data.huh.harvard.edu/4e90a24f-dd2b-4461-8588-395e6431043a/image,barcode-01724836,Y,N,65,0,,,,,SC,
umbellata,http://data.huh.harvard.edu/b3362e5b-4cd7-4449-a5ee-ff8260224624/image,barcode-01724847,N,Y,,,,,,,SC,
umbellata,http://data.huh.harvard.edu/587c7236-e7cd-4611-b94f-e0bb2948d54f/image,barcode-01724985,N,Y,,,,,,,SC,
hortulana,http://data.huh.harvard.edu/baee0adc-d123-4cc4-8439-6c67f84a6247/image,barcode-01722220,N,Y,,,,,,,DB,
hortulana,http://data.huh.harvard.edu/c7312185-d617-4b48-a147-d0a167bb6edf/image,barcode-01722096,N,Y,,,,,,,DB,
hortulana,http://data.huh.harvard.edu/a93a85d0-7f10-4956-827a-21df88b36975/image,barcode-01722168,N,Y,,,,,,,DB,
hortulana,http://data.huh.harvard.edu/66e1ba7a-19eb-4ee6-a49e-10706809ea9e/image,barcode-01722199,N,Y,,,,,,,DB,
hortulana,http://data.huh.harvard.edu/4f66fc38-e5af-442b-b559-951ce4f68b12/image,barcode-01722071,N,Y,,,,,,,DB,
hortulana,http://data.huh.harvard.edu/4175e02b-b7e2-4cbf-a95b-cbb28501db70/image,barcode-01722222,N,Y,,,,,,,SC,
hortulana,http://data.huh.harvard.edu/6a2993e9-e842-4f57-a3af-1e4a6e765577/image,barcode-01722090,N,Y,,,,,,,SC,
hortulana,http://data.huh.harvard.edu/5918a2df-bfb2-49df-8c32-77523f0c44e5/image,barcode-01722225,N,Y,,,,,,,SC,
hortulana,http://data.huh.harvard.edu/07b32970-0a8f-4829-8584-4fefe84f2dd3/image,barcode-01722116,Y,Y,65,11,Y,two collection dates,,,SC,
hortulana,http://data.huh.harvard.edu/409089c2-72a0-4d1b-8ae7-b8de673a6d96/image,barcode-01722072,Y,Y,89,,,,,,SC,
americana,http://data.huh.harvard.edu/aea50088-84fc-4238-b286-22f6b4f16af6/image,barcode-00484003,Y,Y,65,17,,,,,DB,
americana,http://data.huh.harvard.edu/7c70e041-5470-43a5-873c-3627ed95a88f/image,barcode-01705492,N,Y,,,,,,,,
americana,http://data.huh.harvard.edu/4e2b1d88-5cde-4e0a-a9d9-8a62d9ca7094/image,barcode-01705336,Y,Y,65,10,Y,Two collection dates,,,SC,
americana,http://data.huh.harvard.edu/ee9898bc-b6f6-4ac1-b8df-220d1475c60b/image,barcode-00484020,N,Y,,,,,,,SC,
americana,http://data.huh.harvard.edu/f5cc1ac3-13ec-4c34-8434-d6aa22b3ef0d/image,barcode-01705239,N,Y,,,,,,,SC,
americana,http://data.huh.harvard.edu/959c91f5-8a1a-46cd-b56a-df1bf5d83309/image,barcode-01705897,N,Y,,,,,,,SC,
americana,http://data.huh.harvard.edu/d90b8597-b03b-4782-a900-a792bf0a0825/image,barcode-01705522,N,Y,,,,,,,SC,
americana,http://data.huh.harvard.edu/c715d8b3-eace-4e32-9746-489a3c5f3b86/image,barcode-01705403,Y,Y,65,17,,,Y,2 branches -are they at same stage?,SC,Y
americana,http://data.huh.harvard.edu/e99374b9-fc9d-4638-aae8-d0f806847538/image,barcode-01705161,Y,Y,69,19,,,Y,Buds visible?,SC,Y
americana,http://data.huh.harvard.edu/5aac765f-f4ea-4705-8cc6-3321469b644e/image,barcode-01705467,N,Y,,,,,,,SC,
rivularis,http://data.huh.harvard.edu/60b92e6f-d2ad-41c2-880c-55b89e00addb/image,barcode-01723893,Y,Y,65,19,,,,,DB,
rivularis,http://data.huh.harvard.edu/5e67c8ac-e092-4ff3-afad-02a80c74a629/image,barcode-00026972,Y,Y,67,15,Y,two collection dates,Y,67?,SC,Y
