"(specificEpithet)","meanpdsi","sdpdsi","minpdsi","sdminpdsi"
"alleghaniensis",-0.0213902555653347,0.194122057560319,-5.50884959339041,1.39037687846473
"americana",-0.170196108690222,0.236038952266517,-5.89690352454403,1.19231849920044
"angustifolia",-0.321202872026408,0.200086936921166,-5.52994898022438,1.02226871718879
"geniculata",-0.478942119631885,0.0785730993371044,-5.54809908433394,0.356728915656736
"gracilis",-0.0438851153897122,0.241530010299638,-5.94665004730225,0.87032211231427
"hortulana",-0.220604075775482,0.202147682542817,-6.30964998245239,1.38108807082967
"maritima",0.022377621684046,0.061955986549016,-6.49019048327491,0.6631510023309
"mexicana",-0.331557480103802,0.230389657063431,-5.70069998145103,0.886423858856432
"munsoniana",-0.245285285669543,0.193614178373847,-5.96386933206913,1.22341653730578
"murrayana",0.28769850730896,NA,-5.57999992370605,NA
"nigra",-0.1329528750599,0.173173008922796,-6.37438502286207,1.40016474680638
"rivularis",0.106765065705404,0.217796839827578,-6.35989996910095,1.24160293560744
"subcordata",-0.110699304686083,0.147552556847589,-7.16366661389669,0.991875583159911
"texana",0.0507961640026993,0.0649751434967563,-6.61435901201688,0.578190479844618
"umbellata",-0.427439599240921,0.143771457692196,-5.40795915710683,0.831319547182199
