Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone
1372-84*D,1372-84,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),1372-84,11/19/84,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Hortus Botanicus, 04352 Kosice, Czechoslovakia",,,,1983,1577,,,,Czechoslovakia,,,Eupanonicum,,,,,,,,,,,27-SW,27,SW,42.2997216,-71.12101174,9/26/17,Poor,,9/26/17,40,C,basal,,,,,,,,,2.4
195-91*C,195-91,Rosaceae,Prunus,spinosa,,Prunus spinosa,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Davis, P.H. 1972. Flora of Turkey and East Aegean islands. Rosaceae to Dipsacaceae. Volume 4. 657 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus kurdica,"Blackthorn, Sloe",Intermediate (shrub/tree),195-91,4/1/91,Seed,Prunus spinosa,Pr. spinosa,,,Collected directly from the wild; origin known,,,,"Jean Massart Experimental Garden, B-1160 Bruxelles, Belgium",,,,1990,69,,,,Belgium,"Walloon Brabant, Lasne",,"Ohain, bord de chemin",,,,,,,,,,,49-NE,49,NE,42.29503749,-71.12903166,7/30/15,Fair,,7/30/15,13.4,C,basal,,,,,,,,,4.6
226-94*A,1226-63,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,226-94,4/12/94,Scion,Prunus hortulana,Pr. hortulana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. H.",,,United States,"Kansas, Parsons",,,,,,,,,,,,,49-NE,49,NE,42.2949959,-71.12876899,6/1/20,Alive,,7/30/15,30.9,C,basal,,,,,,,,"Dario Chavez and Jose Chaparro, 10 Oct 2012, Prunus hortulana, 3",4.6
262-92*A,262-92,Rosaceae,Prunus,maritima,,Prunus maritima forma flava,Accepted name,Gray Herbarium Card Index no date. Access Via the Internet - Gopher.,,,,Tree,262-92,4/9/92,Scion,Prunus maritima f. flava,Pr. mar. f. flava,forma,flava,Collected directly from the wild; origin known,,,,"Mr. Ken Turkington, Brookline, NH, United States",,,,,,"Turkington, K.",,4/8/92,United States,"MA, Plum Island",,Parker River Nat'l Wildlife Refuge ca. 5 miles S. of entry gate - along road,,,,,,Sand dunes.,,,,,49-NE,49,NE,42.29502882,-71.12880925,7/30/15,Good,,7/30/15,19.9,C,basal,,,,,,,,"Dario Chavez and Jose Chaparro, 10 Oct 2012, Prunus maritima forma flava, 3",4.6
183-2008*B,183-2008,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,183-2008,4/15/08,Seed,Prunus serotina,Pr. serotina,,,Collected directly from the wild; origin known,XX,X,SA,"Botanic Garden of Smith College, Northampton, MA, United States",,,,8-Jul,111,,,7/1/07,United States,"Massachusetts, Hampshire Co., Northampton (Lowland)",,,42.317452,-72.644205,42,M,,Disturbed floodplain forest.,,,,,26-SW,26,SW,42.30010424,-71.1233591,2/24/20,Alive,,8/15/17,9.5,C,,,,,,,,,,2.12
568-2008*B,568-2008,Rosaceae,Prunus,virginiana,,Prunus virginiana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Common Chokecherry,Intermediate (shrub/tree),568-2008,10/16/08,Seed,Prunus virginiana,Pr. virginiana,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,28,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",28,10/7/08,United States,"New York, Franklin Co., Paul Smiths",,6. Black Pond near Adirondack Park Visitor Interpretive Center - ca 15.0 m from edge of Black Pond.,44.43245,-74.297033,496,M,10?° N,Roadside edge growing in full sun.,Very sandy.,"Multistemmed shrub, 1.5 m in height and bright red to purple fruit.",,"Abies balsamea, Betula papyrifera, Gaultheria procumbens, Pinus strobus, Prunus virginiana, Spiraea latifolia, Tsuga canadensis, Vaccinium angustifolium, Vaccinium myrtilloides",23-NW,23,NW,42.30174461,-71.11715903,7/16/18,Good,,7/16/18,2.8,C,,,4,M,C,,,,,1.1
613-78*B,613-78,Rosaceae,Prunus,sogdiana,,Prunus sogdiana,Accepted name,"Taylor, G. 1966. Index Kewensis, Supplement 13. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,613-78,4/7/78,Seed,Prunus sogdiana,Pr. sogdiana,,,Collected directly from the wild; origin known,,,,"Cary Arboretum, Millbrook, NY, United States",,,,,,,,,Kyrgyzstan,Kirghiz Soviet Socialist Republic,Sary Chelec Reserve,Kirgizskiy Range [Khrebet] of the W Tien Shan Mts.,,,1800-1900,M,,,,,,,49-NE,49,NE,42.29528899,-71.12863936,4/10/18,Fair,,4/10/18,,,,,2.5,M,C,,,,,4.8
121-2017*MASS,727-90,Rosaceae,Prunus,pumila,Gus Mehlquist,Prunus pumila var. depressa 'Gus Mehlquist',Accepted name,"2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * 1993. Proceedings of the International Plant Propagators' Society 43.",,Prunus depressa 'Gus Mehlquist',Cultivar of sprawling sand cherry,Shrub,121-2017,4/27/17,Layer,Prunus pumila var. depressa 'Gus Mehlquist',Pr. pum. depr. 'Gus Mehlquist',var.,depressa,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. Robert G. Nicholson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Boufford, D., & Nicholson, R.",,5/4/90,United States,"New Hampshire, Cheshire/Walpole",,Shore of Ct. River just below hydroelectric dam.,,,90,M,,Boulder strewn shore of river with mixed scrub and herb cover.,,,Thick taproots; difficult to remove good root mass.,,3-NW,3,NW,42.30728109,-71.12052743,10/15/19,Good,,10/15/19,,,,,0.4,M,,,,,,1.1
208-2013*A,208-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,208-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",AMES 32079,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Along Old Channel Creek, near Sand Creek Bottom Road, NE 1/4 of SW 1/4 of SE 1/4 of Section 27, Connesville Quad",40.318055,-92.672499,235,M,,,,Fruit diameter ranged between 18 mm and 22 mm. Fruits slightly oblong (2 mm longer than wide). Approximately 20 feet in height and 20 feet in spread. Leaves papery thin to the touch and glabrous.,Abundant fruit production. Fruits mostly green or starting to turn red at time of collection.,"Acer saccharinum, Parthenocissus sp., Solidago sp., Ulmus sp., Vitis riparia",49-SE,49,SE,42.29464569,-71.12917824,6/10/20,Alive,,6/18/19,,,,,1.8,M,C,,,,,4.6
256-2002*A,1729-77,Rosaceae,Prunus,ssiori,,Prunus ssiori,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd.",,,Japanese Bird Cherry,Tree,256-2002,5/10/02,Cutting,Prunus ssiori,Pr. ssiori,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",20,8/5/77,Japan,"Hokkaido Prefecture, Jyozankei",,,,,140,M,,,,,"Collected for SAS and REW for '77 Expedition to Japan and Korea by Samejima, J., prior to trip, given S&W colleciton number.",,26-NW,26,NW,42.30070938,-71.12345133,9/7/17,Fair,,9/7/17,13,C,basal,,,,,,,,,2.1
