coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
1906363,"A.D. Flesch.",,2004-02-08,,"Prunus serotina var. virens",0,"(Woot. & Standl.) McVaugh",,,,,,,urn:uuid:17bd8c0d-9157-42f6-bd0f-787c45d44db9,"2014-07-25 16:26:02"
1909384,"A.D. Flesch",,2004-01-01,,"Prunus serotina var. virens",0,"(Woot. & Standl.) McVaugh",,,,,,,urn:uuid:3af39c04-5d4e-4ef0-9c32-f231780cbc41,"2014-07-25 16:26:02"
1910279,"P.D. Jenkins",,1994-01-01,,"Prunus virginiana var. melanocarpa",0,"(A. Nels.) Sarg.",,,,,,,urn:uuid:00044fdc-6f11-45bc-b1ac-ca4b3dd3fece,"2014-07-25 16:26:02"
1910797,"Deming Gustafson",,2010-01-01,,"Prunus serotina",0,Ehrh.,,,,,,,urn:uuid:7f30200a-9c4f-4215-9536-4ca8795cbda1,"2014-07-25 16:26:02"
3239788,"M.E. Caldwell",,1953-01-01,,"Prunus virens",0,"(Woot. And Standl.) Shreve",,,,,,,urn:uuid:9ced5ced-ac43-4840-9fb9-b1ff887a0424,"2014-07-25 16:26:02"
3239928,"Mark Philippart",,1991-01-01,,"Prunus virginiana",0,L.,,,,,,,urn:uuid:bd0e2d65-c236-4656-af8c-2eabc2ecd702,"2014-07-25 16:26:02"
3239928,"J. L. Carter",,1992-01-06,,"Prunus serotina",0,Ehrh.,,,,,,,urn:uuid:74ae84e7-e843-45b4-bfb5-3f3a0c37aa8b,"2014-07-25 16:26:02"
3241204,"A.L. Reina G.",,2010-01-01,,"Prunus serotina",0,Ehrh.,,,,,,,urn:uuid:95f16db8-d46c-462a-927d-cc6bb1718f36,"2014-07-25 16:26:02"
3241225,"A.L. Reina-G.",,2010-01-01,,"Prunus serotina",0,Ehrh.,,,,,,,urn:uuid:ee1cc44d-f378-4147-a68b-6f29dc139745,"2014-07-25 16:26:02"
859163,"Richard R. Halse",,1972,,"Prunus persica",0,"(L.) Batsch",,,,,,,urn:uuid:dc34024e-57ec-4f3c-b35d-114d95d841f2,"2016-05-14 21:21:15"
859163,"Joseph R. Rohrer",,2002,,"Prunus persica",0,"(L.) Batsch",,,,,,,urn:uuid:f8cc585d-70f6-4c07-a938-1e4b423fca18,"2016-05-14 21:21:15"
859163,"Joseph R. Rohrer",,2002-01-01,,"Prunus persica",0,"(L.) Batsch",,,,,,,urn:uuid:75a6b494-a549-454c-bd5f-ccf07b58f405,"2014-07-25 16:26:02"
859167,"L.R. Landrum",,1988-05-03,,"Prunus serotina",0,Ehrh.,,,,,,,urn:uuid:185fd08e-dfe8-4424-87f5-3d12d6d6684f,"2014-07-25 16:26:02"
859178,"Marc A. Baker",,1992-05-01,,"Prunus serotina var. virens",0,"(Woot. & Standl.) McVaugh",,,,,,,urn:uuid:6f3b4fe9-4795-4730-88e2-fcf73392f9b0,"2014-07-25 16:26:02"
859181,"L.J. Toolin",,1980-05-17,,"Prunus serotina var. virens",0,"(Woot. & Standl.) McVaugh",,,,,,,urn:uuid:fba22fff-5bcc-4cc3-b2e2-30341674a04c,"2014-07-25 16:26:02"
859199,"Steve McLaughlin",,1974-04-27,,"Prunus serotina var. virens",0,"(Woot. & Standl.) McVaugh",,,,,,,urn:uuid:860e0522-7b22-45c5-ae05-e05a468ecbd8,"2014-07-25 16:26:02"
859201,"Jack Carter",,1978-04-19,,"Prunus virginiana var. melanocarpa",0,"(A. Nels.) Sarg.",,,,,,,urn:uuid:427ba07c-0bfe-49cd-b274-8ebc00a3bfe9,"2014-07-25 16:26:02"
859203,"Leslie N. Goodding",,1948,,"Prunus virginiana var. melanocarpa",0,"(A. Nels.) Sarg.",,,,,,,urn:uuid:16a69b9d-5135-45aa-8fc6-ac692d4d7004,"2016-11-14 14:22:33"
859203,"Leslie N. Goodding",,1948-09-21,,"Prunus virginiana var. melanocarpa",0,"(A. Nels.) Sarg.",,,,,,,urn:uuid:53d5bb57-486c-4552-9a0d-88e30945e30e,"2014-07-25 16:26:02"
859207,"Gregory J. Imdorf",,1994-04-17,,"Prunus virginiana",0,L.,,,,,,,urn:uuid:d8b53d25-1a13-444a-911b-19ac06f69277,"2014-07-25 16:26:02"
859208,"Vorsila L. Bohrer",,1962-08-19,,"Prunus virginiana",0,L.,,,,,,,urn:uuid:86b730a7-da3e-4c5b-ad92-2823cf5b9c55,"2014-07-25 16:26:02"
859209,"Richard R. Halse",,1971-06-27,,"Prunus virginiana",0,L.,,,,,,,urn:uuid:53e3f48a-834e-4587-b6d7-cd3e417af737,"2014-07-25 16:26:02"
859210,"G. Rink",,2001-05-16,,"Prunus virginiana",0,L.,,,,,,,urn:uuid:b5181ff6-1533-44cb-80f7-a7affe8fd13c,"2014-07-25 16:26:02"
859229,"Elizabeth McClintock",,1952-05-07,,"Prunus fasciculata",0,"(Torr.) A. Gray",,,,,,,urn:uuid:15a583dd-d30c-49c2-8870-473a2b4924de,"2014-07-25 16:26:02"
859230,"G. J. Harrison",,1931-03-24,,"Prunus fasciculata",0,"(Torr.) A. Gray",,,,,,,urn:uuid:22e484f9-268e-412c-8e9b-923c9cb259d7,"2014-07-25 16:26:02"
859234,"H. J. Fulton",,1932-04-20,,"Prunus fasciculata",0,"(Torr.) A. Gray",,,,,,,urn:uuid:62b5262a-a390-4dec-93b4-59a4fca492a0,"2014-07-25 16:26:02"
