specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
mexicana,13624214,TEX,2008,3,2,3/2/08,Texas,lampasas,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13624214,-98.24701438,31.19293169,county_centroid,Y,N,65,0,62,1,mexicana,28
mexicana,16816169,UA,1973,3,29,3/29/73,Alabama,Morgan,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816169,-86.85027,34.54611,geo_referenced,Y,Y,65,17,88,5,mexicana,0
mexicana,16666966,FSU,1980,4,15,,Tennessee,maury,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966,-87.07726788,35.62972397,county_centroid,Y,N,65,0,106,1,mexicana,0
mexicana,16666961,FSU,1969,4,22,4/22/69,Tennessee,sumner,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666961,-86.45280165,36.47094427,county_centroid,Y,Y,65,11,112,3,mexicana,0
mexicana,13497867,TEX,1938,2,26,2/26/38,Texas,washington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867,-96.4021888,30.21869973,county_centroid,Y,N,65,0,57,1,mexicana,0
mexicana,5668028,LSU,1971,2,28,2/28/71,Louisiana,ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668028,-92.1593802,32.4833014,county_centroid,Y,N,65,0,59,1,mexicana,0
mexicana,16920047,NCU,1975,2,12,2/12/75,Louisiana,bossier,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920047,-93.60464644,32.68136443,county_centroid,Y,N,64,0,43,1,mexicana,0
mexicana,22620186,KANU,1969,5,8,5/8/69,Kansas,Brown,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186,-95.39625,39.92525,geo_referenced,Y,N,65,0,128,1,mexicana,0
mexicana,3848982,APSC,2001,4,14,4/14/01,Tennessee,giles,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982,-87.02670454,35.21051646,county_centroid,Y,Y,65,17,104,5,mexicana,21
mexicana,12911152,UARK,1978,4,2,4/2/78,Arkansas,perry,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911152,-92.9415163,34.94234579,county_centroid,Y,N,67,0,92,1,mexicana,0
mexicana,13504676,TEX,1996,4,7,4/7/96,Texas,montgomery,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13504676,-95.51374149,30.31793805,county_centroid,Y,N,65,0,98,1,mexicana,16
mexicana,25876705,TAC,2003,3,9,3/9/03,Texas,eastland,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705,-98.82767183,32.32892145,county_centroid,Y,N,65,0,68,1,mexicana,23
mexicana,16920063,NCU,1959,3,21,3/21/59,Louisiana,union,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920063,-92.38028188,32.83355378,county_centroid,Y,Y,65,11,80,3,mexicana,0
mexicana,21186193,ANHC,2002,4,5,4/5/02,Arkansas,montgomery,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186193,-93.65831855,34.54772903,county_centroid,Y,N,62,0,95,1,mexicana,22
mexicana,22646915,KANU,1995,4,13,4/13/95,Kansas,Leavenworth,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915,-94.933664,39.368204,geo_referenced,Y,Y,65,15,103,4,mexicana,15
mexicana,12911691,UARK,1983,4,11,4/11/83,Arkansas,washington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911691,-94.22168881,35.97609413,county_centroid,Y,Y,65,15,101,4,mexicana,3
mexicana,5465891,EKY,1980,4,10,4/10/80,Kentucky,caldwell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465891,-87.86305395,37.14229907,county_centroid,Y,Y,64,11,101,3,mexicana,0
mexicana,16572947,VDB,2012,4,12,4/12/12,Kansas,bourbon,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16572947,-94.85958888,37.854871,county_centroid,Y,N,65,0,103,1,mexicana,32
mexicana,12877064,UARK,1983,3,26,3/26/83,Arkansas,crawford,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877064,-94.25175754,35.5843972,county_centroid,Y,N,65,0,85,1,mexicana,3
mexicana,19212167,UCHT,2002,3,19,3/19/02,Louisiana,caddo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167,-93.88843278,32.59124739,county_centroid,Y,Y,65,10,78,3,mexicana,22
mexicana,22620183,KANU,1965,4,17,4/17/65,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183,-95.24192,38.30957,geo_referenced,Y,Y,65,11,107,3,mexicana,0
mexicana,12509353,WCUH,1971,2,28,2/28/71,Louisiana,ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353,-92.1593802,32.4833014,county_centroid,Y,N,63,0,59,1,mexicana,0
mexicana,5465876,EKY,2003,4,15,4/15/03,Kentucky,owen,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,-84.82059771,38.5073583,county_centroid,Y,Y,65,15,105,4,mexicana,23
mexicana,22620195,KANU,1969,4,21,4/21/69,Kansas,Wilson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195,-95.73477,37.41832,geo_referenced,Y,Y,67,17,111,5,mexicana,0
mexicana,13497872,TEX,1940,3,7,3/7/40,Texas,harris,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872,-95.401057,29.87217015,county_centroid,Y,N,67,0,67,1,mexicana,0
mexicana,21268918,UAM,1993,3,29,3/29/93,Arkansas,faulkner,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268918,-92.33094352,35.14224253,county_centroid,Y,N,65,0,88,1,mexicana,13
mexicana,3077568,DES,1971,2,28,2/28/71,Louisiana,Ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3077568,-91.985,32.56861,geo_referenced,Y,N,60,0,59,1,mexicana,0
mexicana,11535439,LSU,1987,3,12,3/12/87,Arkansas,drew,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439,-91.72331533,33.58639516,county_centroid,Y,N,65,0,71,1,mexicana,7
mexicana,10246788,APCR,1979,3,30,3/30/79,Arkansas,garland,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788,-93.14444412,34.57644159,county_centroid,Y,N,65,0,89,1,mexicana,0
mexicana,19446377,BEREA,1983,3,10,3/10/83,Louisiana,caddo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377,-93.88843278,32.59124739,county_centroid,Y,N,65,0,69,1,mexicana,3
mexicana,25174217,SAT,2008,3,30,3/30/08,Texas,mcculloch,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25174217,-99.36576394,31.20210662,county_centroid,Y,Y,65,10,90,3,mexicana,28
mexicana,21268914,UAM,1990,3,20,3/20/90,Arkansas,lincoln,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268914,-91.72609781,33.96344474,county_centroid,Y,N,67,0,79,1,mexicana,10
mexicana,11535436,LSU,1977,4,26,4/26/77,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436,-89.42050383,43.06816145,county_centroid,Y,Y,65,15,116,4,mexicana,0
mexicana,22519514,KANU,2005,4,16,4/16/05,Kansas,Jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22519514,-95.5969444,39.4488889,geo_referenced,Y,Y,65,11,106,3,mexicana,25
mexicana,14221706,BRIT,1979,3,14,3/14/79,Texas,Smith,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14221706,-95.269183,32.375035,geo_referenced,Y,N,65,0,73,1,mexicana,0
mexicana,22620202,KANU,1969,4,20,4/20/69,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620202,-95.24183,38.32978,geo_referenced,Y,Y,65,17,110,5,mexicana,0
