"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,13624214,"TEX",2008,3,2,"2008-03-02","Texas","lampasas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13624214",-98.2470143800344,31.1929316919894,"county_centroid"
"mexicana",200,12877039,"UARK",1958,5,25,"1958-05-25","Arkansas","craighead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877039",-90.6430341027994,35.8291572139313,"county_centroid"
"mexicana",200,12911685,"UARK",NA,NA,NA,"","Arkansas","sebastian","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911685",-94.2803931186354,35.2038251980023,"county_centroid"
"mexicana",200,16816169,"UA",1973,3,29,"1973-03-29","Alabama","Morgan","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16816169",-86.85027,34.54611,"geo_referenced"
"mexicana",200,12595677,"EKY",1980,6,14,"1980-06-14","Kentucky","franklin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12595677",-84.8770812037364,38.2296242127311,"county_centroid"
"mexicana",200,5465886,"EKY",1992,8,8,"1992-08-08","Alabama","jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465886",-85.9977508929156,34.7768364559145,"county_centroid"
"mexicana",200,16666966,"FSU",NA,NA,NA,"","Tennessee","maury","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666966",-87.077267876634,35.6297239677556,"county_centroid"
"mexicana",200,16666961,"FSU",NA,NA,NA,"","Tennessee","sumner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666961",-86.4528016459951,36.4709442672388,"county_centroid"
"mexicana",200,11321337,"SELU",1964,3,11,"1964-03-11","Louisiana","tangipahoa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11321337",-90.4138480213223,30.6533472562472,"county_centroid"
"mexicana",200,13497867,"TEX",1938,2,26,"1938-02-26","Texas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867",-96.4021888007441,30.2186997253777,"county_centroid"
"mexicana",200,5668028,"LSU",1971,2,28,"1971-02-28","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668028",-92.1593802032179,32.4833014034865,"county_centroid"
"mexicana",200,16920047,"NCU",NA,NA,NA,"","Louisiana","bossier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920047",-93.6046464400351,32.681364434344,"county_centroid"
"mexicana",200,22620186,"KANU",1969,5,8,"1969-05-08","Kansas","Brown","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186",-95.39625,39.92525,"geo_referenced"
"mexicana",200,13205117,"EKY",1988,8,1,"1988-08-01","Kentucky","wolfe","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13205117",-83.4871865143167,37.7401080822499,"county_centroid"
"mexicana",200,3848982,"APSC",2001,4,14,"2001-04-14","Tennessee","giles","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982",-87.0267045417274,35.2105164570611,"county_centroid"
"mexicana",200,12911152,"UARK",NA,NA,NA,"","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911152",-92.9415163009449,34.9423457912257,"county_centroid"
"mexicana",200,5894914,"MISS",2000,10,18,"2000-10-18","Mississippi","Lafayette","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894914",-89.494233,34.36543,"geo_referenced"
"mexicana",200,13504676,"TEX",1996,4,7,"1996-04-07","Texas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13504676",-95.5137414926267,30.3179380515322,"county_centroid"
"mexicana",200,16919890,"NCU",NA,NA,NA,"","Alabama","blount","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16919890",-86.5627114049891,33.9904400117864,"county_centroid"
"mexicana",200,6339120,"DSC",1999,5,17,"1999-05-17","Mississippi","leflore","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6339120",-90.3053751367642,33.5528211333081,"county_centroid"
"mexicana",200,25876705,"TAC",2003,3,9,"2003-03-09","Texas","eastland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705",-98.8276718308853,32.3289214455705,"county_centroid"
"mexicana",200,21204455,"APSC",NA,NA,NA,"","Mississippi","clay","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204455",-88.7822852479268,33.6570335514404,"county_centroid"
"mexicana",200,12877100,"UARK",NA,NA,NA,"","Arkansas","hempstead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877100",-93.6685350705301,33.7357778292865,"county_centroid"
